"adap-org/9810007","Jordi Garcia-Ojalvo","J. Garcia-Ojalvo, J. Casademont, C.R. Mirasso, M.C. Torrent and J.M.
  Sancho","Coherence and synchronization in diode-laser arrays with delayed global
  coupling","8 pages, LaTeX, 6 PS figures, to appear in International Journal of
  Bifurcation and Chaos",,"10.1142/S021812749900167X",,"adap-org cond-mat nlin.AO physics.optics",,"  The dynamics of a semiconductor-laser array whose individual elements are
coupled in a global way through an external mirror is numerically analysed. A
coherent in-phase solution is seen to be preferred by the system at
intermediate values of the feedback coupling strength. At low values of this
parameter, a strong amplification of the spontaneous emission noise is
observed. A tendency towards chaos synchronization is also observed at large
values of the feedback strength.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 10:39:18 GMT""}]","2015-06-24"
"astro-ph/9810467",,"Daniel A. Dale (1,2), Riccardo Giovanelli (1), Martha P. Haynes (1),
  Luis E. Campusano (3), Eduardo Hardy (4), and Stefano Borgani (5) ((1)
  Cornell University, (2) IPAC/Caltech, (3) Universidad de Chile, (4) NRAO, (5)
  INFN, Perugia)","Seeking the Local Convergence Depth. The Abell Cluster Dipole Flow to
  200 Mpc/h","11 pages, uses AAS LaTeX; to appear in the Astrophysical Journal
  Letters",,"10.1086/311800",,"astro-ph",,"  We have obtained new Tully-Fisher (TF) peculiar velocity measurements for 52
Abell galaxy clusters distributed throughout the sky between ~ 50 and 200
Mpc/h.The measurements are based on I band photometry and optical rotation
curves for a sample of 522 spiral galaxies, from which an accurate TF template
relation has been constructed. Individual cluster TF relations are referred to
the template to compute cluster peculiar motions.
  The reflex motion of the Local Group of galaxies is measured with respect to
the reference frame defined by our cluster sample and the distant portion of
the Giovanelli et al. (1998) cluster set. We find the Local Group motion in
this frame to be 565+/-113 km/s in the direction (l,b)=(267,26)+/-10 when
peculiar velocities are weighted according to their errors. After optimizing
the dipole calculation to sample equal volumes equally, the vector is 509+/-195
km/s towards (255,33)+/-22. Both solutions agree, to within 1-sigma or better,
with the Local Group motion as inferred from the cosmic microwave background
(CMB) dipole. Thus, the cluster sample as a whole moves slowly in the CMB
reference frame, its bulk flow being at most 200 km/s.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 22:52:32 GMT""}]","2009-10-31"
"astro-ph/9810468","Mark Wardle","Mark Wardle (U. Sydney) and Cindy Ng (U. Tasmania)","The conductivity of dense molecular gas","MNRAS accepted; 9 pp incl 8 figs, LaTeX, uses epsf.sty mn.sty","Mon.Not.Roy.Astron.Soc. 303 (1999) 239-246","10.1046/j.1365-8711.1999.02211.x",,"astro-ph",,"  We evaluate the conductivity tensor for molecular gas at densities ranging
from 10^4 to 10^15 cm^-3 for a variety of grain models. The Hall contribution
to the conductivity has generally been neglected in treatments of the dynamics
of molecular gas. We find that it is not important if only 0.1 micron grains
are considered, but for a Mathis-Rumpl-Nordsieck grain-size distribution (with
or without PAHs) it becomes important for densities between 10^7 and 10^11
cm^-3. If PAHs are included, this range is reduced to 10^9 -- 10^10 cm^-3.
  The consequences for the magnetic field evolution and dynamics of dense
molecular gas are profound. To illustrate this, we consider the propagation of
Alfven waves under these conditions. A linear analysis yields a dispersion
relation valid for frequencies below the neutral collision frequencies of the
charged species. The dispersion relation shows that there is a pair of
circularly polarised modes with distinct propagation speeds and damping rates.
We note that the gravitational collapse of dense cloud cores may be
substantially modified by the Hall term.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 23:25:53 GMT""}]","2009-10-31"
"astro-ph/9810469","Joss Bland-Hawthorn","J. Bland-Hawthorn (AAO, Sydney) & P.R. Maloney (CASA, Boulder)","The Escape of Ionizing Photons from the Galaxy","4 pages; LaTeX2e, emulateapj.sty, apjfonts.sty; 4 encapsulated PS
  figures. For correct labels, may need to print Fig. 3 separately due to psfig
  limitation. Astrophysical Journal (Letters), accepted",,"10.1086/311797",,"astro-ph",,"  The Magellanic Stream and several high velocity clouds have now been detected
in optical line emission. The observed emission measures and kinematics are
most plausibly explained by photoionization due to hot, young stars in the
Galactic disk. The highly favorable orientation of the Stream allows an
unambiguous determination of the fraction of ionizing photons, F_esc, which
escape the disk. We have modelled the production and transport of ionizing
photons through an opaque interstellar medium. Normalization to the Stream
detections requires F_esc = 6%, in reasonable agreement with the flux required
to ionize the Reynolds layer. Neither shock heating nor emission within a hot
Galactic corona can be important in producing the observed H-alpha emission. If
such a large escape fraction is typical of L_* galaxies, star-forming systems
dominate the extragalactic ionizing background. Within the context of this
model, both the three-dimensional orientation of the Stream and the distances
to high-velocity clouds can be determined by sensitive H-alpha observations.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 00:59:51 GMT""}]","2009-10-31"
"astro-ph/9810470","Stephanie Cote","Stephanie Cote (DAO,HIA,NRC), Tom Broadhurst (UC Berkeley), Jon
  Loveday (U of Chicago), Shannon Kolind (U of Victoria)","An HI Survey of LSB galaxies selected from the APM Survey","8 pages incl. 5 postscript figures. To be published in ""The Low
  Surface Brightness Universe, IAU Coll 171, eds. J.I.Davies et al, A.S.P.
  Conference Series",,,,"astro-ph",,"  We present preliminary results of a neutral hydrogen (HI) redshift survey to
find low surface brightness (LSB) galaxies in the very nearby universe. Our
sample consists of all galaxies in the APM catalog (Maddox et al 1990) with a
mean surface brightness of mu > 24 mag/arcsec^2, down to a magnitude limit of
b_j < 17. With the Parkes 64m Radiotelescope 35 objects were detected at v <
4300 km/s. The resulting luminosity function, HI mass function, and for the
first time field mass function are presented. It is found that LSBs make a
negligible contribution to the overall integrated luminosity, HI mass, and
total mass contained in galaxies.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 01:00:41 GMT""}]","2007-05-23"
"astro-ph/9810471","Yuri Levin","Yuri Levin","Runaway Heating By R-modes of Neutron Stars in Low Mass X-ray Binaries","20 pages, 1 ps figure",,"10.1086/307196",,"astro-ph gr-qc",,"  Recently Andersson et. al., and Bildsten have independently suggested that an
r-mode instability might be responsible for stalling the neutron-star spin-up
in strongly accreting, Low Mass X-ray Binaries (LMXBs). We show that if this
does occur, then there are two possibilities for the resulting neutron-star
evolution:
  If the r-mode damping is a decreasing function of temperature, then the star
undergoes a cyclic evolution: (i) accretional spin-up triggers the instability
near the observed maximum spin rate; (ii) the r-modes become highly excited
through gravitational-radiation reaction, and in a fraction of a year they
viscously heat the star; (iii) r-mode gravitational-radiation reaction then
spins the star down in a fraction of a year to some limiting rotational
frequency; (iv) the r-mode instability shuts off; (v) the neutron star slowly
cools and is spun up by accretion, until it once again reaches the instability
point, closing the cycle. The shortness of the epoch of r-mode activity makes
it unlikely that r-modes are currently excited in the neutron star of any
galactic LMXBs. Nevertheless, this cyclic evolution could be responsible for
keeping the rotational frequencies within the observed LMXB frequency range.
  If, on the other hand, the r-mode damping is temperature independent, then a
steady state with constant angular velocity and $T_{\rm core}\simeq 4\times
10^8$K is reached, in which r-mode viscous heating is balanced by neutrino
cooling and accretional spin-up torque is balanced by
gravitational-radiation-reaction spin-down torque. In this case the neutron
stars in LMXBs could be potential sources of periodic gravitational waves,
detectable by enhanced LIGO interferometers.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 03:23:56 GMT""}]","2009-10-31"
"astro-ph/9810472","Bryan Gaensler","B. M. Gaensler (1,2), K. T. S. Brazier (3), R. N. Manchester (2), S.
  Johnston (1), A. J. Green (1) ((1) U Sydney, (2) ATNF, (3) U Durham)","Radio observations of G320.4-01.2 and PSR B1509-58","6 pages, 3 embedded PS figures. Presented at the workshop ""The
  Relationship between Neutron Stars and Supernova Remnants"", and to appear in
  a special edition of ""Memorie della Societa' Astronomica Italiana""",,,,"astro-ph",,"  G320.4-01.2 is a complex radio and X-ray source, coinciding on the sky with
the young energetic pulsar B1509-58. A young pulsar embedded in a SNR would
seem to accord with expectations, but previous observations suggest that all
may not be what it seems. Controversy persists over whether the pulsar and the
SNR are associated, and as to what causes the remnant's unusual appearance. To
answer these questions, we have undertaken a set of high-resolution radio
observations of the system. We present the results of this study, which provide
new evidence that PSR B1509-58 is associated with and is interacting with
G320.4-01.2.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 06:29:50 GMT""}]","2007-05-23"
"astro-ph/9810473","Jacques Moret-Bailly","Jacques Moret-Bailly","A Doppler-looking redshift observed in the labs; application to quasars","4 pages",,,,"astro-ph",,"  It is known since 1968 that the interaction of a pulse of light with matter
redshifts the spectrum; the theory is clarified, to obtain the conditions for
which, with incoherent light, one gets a redshift similar to a Doppler shift
rather than Raman lines. The explanation of the appearance of the same
absorption line with various z becomes trivial, requiring. only a static halo
and a static magnetic field.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 09:54:11 GMT""}]","2007-05-23"
"astro-ph/9810474","Lancon A.","A. Lancon","A critical look at the role of AGB stars in stellar population synthesis","10 pages, 3 figures. In ""Asymptotic Giant Branch Stars"", IAU
  Symposium 191 (Aug. 1998). To be published in PASP Conf. Series",,,,"astro-ph",,"  Asymptotic giant branch stars are essential contributors to the near and
mid-IR emission of intermediate age (0.1-1Gyr old) stellar populations.
Detecting this light sets constraints on the star formation history in galaxies
and, conversely, the search for AGB signatures in well studied populations will
help us reduce some of the still large uncertainties in AGB models. This paper
reviews how AGB stars are currently included in population synthesis models and
which spectral features can be used to identify their emission in galaxy light;
targets for observational tests are suggested, and some observational and
theoretical difficulties are discussed.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 10:31:05 GMT""}]","2007-05-23"
"astro-ph/9810475","Jean Kaplan","B. Revenu, F. Couchot, J. Delabrouille, J. Kaplan","Destriping Polarised data","5 pages, 5 encapsulated postscript figures. Proceedings of the
  Workshop The Cosmic Microwave Background & The Planck Mission, held at
  Santander on June 22 - June 26, 1998",,,,"astro-ph",,"  We show how to take advantage of a circle scanning strategy, such as that
planned for the Planck mission, to get rid of low frequency noises for
polarised data.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 14:03:44 GMT""}]","2007-05-23"
"astro-ph/9810476","John Peacock","J.A. Peacock (Institute for Astronomy, University of Edinburgh)","Models for large-scale structure","To appear in the Proceedings of the MPA/ESO Conference ""Evolution of
  large-scale structure"", Garching, August 1998",,,,"astro-ph",,"  This paper reviews selected aspects of the growth of cosmological structure,
covering the following general areas: (1) expected characteristics of linear
density perturbations according to various candidate theories for the origin of
structure; (2) low-order theory for statistical measures of fluctuations; (3)
formation of nonlinear structures and nonlinear evolution of the mass
distribution; (4) the relation between the density field and the galaxy
distribution; (5) constraints on cosmological models from galaxy clustering and
its evolution.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 12:40:51 GMT""}]","2007-05-23"
"astro-ph/9810477","Albert Zijlstra","Dante Minniti, Albert Zijlstra and M. Victoria Alonso","The Stellar Populations of NGC 3109: Another Dwarf Irregular Galaxy with
  a Population II Stellar Halo","Accepted for publication in the Astronomical Journal 23 pages, latex,
  12 Figures (Fig 1 not available in electronic format)",,"10.1086/300735","UMIST/PHYS/AST/98-17","astro-ph",,"  We have obtained V and I-band photometry for about 17500 stars in the field
of the dwarf irregular galaxy NGC3109, located in the outskirts of the Local
Group. The photometry allows us to study the stellar populations present inside
and outside the disk of this galaxy. From the VI color-magnitude diagram we
infer metallicities and ages for the stellar populations in the main body and
in the halo of NGC3109. The stars in the disk of this galaxy have a wide
variety of ages, including very young stars with approximately 10^7 yr. Our
main result is to establish the presence of a halo consisting of population II
stars, extending out to about 4.5 arcmin (or 1.8 kpc) above and below the plane
of this galaxy. For these old stars we derive an age of > 10 Gyr and a
metallicity of [Fe/H] = -1.8 +/- 0.2. We construct a deep luminosity function,
obtaining an accurate distance modulus (m-M)_0 = 25.62 +/- 0.1 for this galaxy
based on the I-magnitude of the red giant branch (RGB) tip and adopting E(V-I)
= 0.05.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 12:54:33 GMT""}]","2009-10-31"
"astro-ph/9810478","Jacques Delabrouille","J. Delabrouille, J.-L. Puget, R. Gispert and J.-M. Lamarre","Scanning strategies for the Planck mission","7 pages TEX, 1 eps figure, invited talk at the workshop ""The Cosmic
  Microwave Background and the Planck Mission"", Santander, June 22-26th",,,,"astro-ph",,"  This paper discusses the problem of the optimisation of the scanning strategy
for the Planck mission.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 13:53:05 GMT""}]","2007-05-23"
"astro-ph/9810479","Ming Deng","Bradley E. Schaefer (Yale University)","Severe Limits on Variations of the Speed of Light with Frequency","7 pages, Submitted to PRL","Phys.Rev.Lett.82:4964-4966,1999","10.1103/PhysRevLett.82.4964",,"astro-ph",,"  Explosive astrophysical events at high red shift can be used to place severe
limits on the fractional variation in the speed of light ($\Delta c/c$), the
photon mass ($m_{\gamma}$), and the energy scale of quantum gravity ($E_{QG}$).
I find $\Delta c/c < 6.3 \times 10^{-21}$ based on the simultaneous arrival of
a flare in GRB 930229 with a rise time of $220 \pm 30 \mu s$ for photons of 30
keV and 200 keV. The limit on $m_{\gamma}$ is $4.2 \times 10^{-44} g$ for GRB
980703 from radio to gamma ray observations. The limit on $E_{QG}$ is $8.3
\times 10^{16}$ GeV for GRB 930131 from 30 keV to 80 MeV photons.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 14:31:19 GMT""}]","2008-11-26"
"chao-dyn/9810034","Didier Sornette","P. Yiou (IGPP, UCLA and CEA Saclay), D. Sornette (IGPP and ESS, UCLA
  and CNRS and Univ. Nice, France) and M. Ghil (IGPP and Atmospheric Sciences,
  UCLA)","Data-Adaptive Wavelets and Multi-Scale Singular Spectrum Analysis","24 pages, 19 figures","Physica D 142 N3-4:254-290 (2000 AUG 15)","10.1016/S0167-2789(00)00045-2",,"chao-dyn cond-mat.stat-mech nlin.CD",,"  Using multi-scale ideas from wavelet analysis, we extend singular-spectrum
analysis (SSA) to the study of nonstationary time series of length $N$ whose
intermittency can give rise to the divergence of their variance. SSA relies on
the construction of the lag-covariance matrix C on M lagged copies of the time
series over a fixed window width W to detect the regular part of the
variability in that window in terms of the minimal number of oscillatory
components; here W = M Dt, with Dt the time step. The proposed multi-scale SSA
is a local SSA analysis within a moving window of width M <= W <= N.
Multi-scale SSA varies W, while keeping a fixed W/M ratio, and uses the
eigenvectors of the corresponding lag-covariance matrix C_M as a data-adaptive
wavelets; successive eigenvectors of C_M correspond approximately to successive
derivatives of the first mother wavelet in standard wavelet analysis.
Multi-scale SSA thus solves objectively the delicate problem of optimizing the
analyzing wavelet in the time-frequency domain, by a suitable localization of
the signal's covariance matrix. We present several examples of application to
synthetic signals with fractal or power-law behavior which mimic selected
features of certain climatic and geophysical time series. A real application is
to the Southern Oscillation index (SOI) monthly values for 1933-1996. Our
methodology highlights an abrupt periodicity shift in the SOI near 1960. This
abrupt shift between 4 and 3 years supports the Devil's staircase scenario for
the El Nino/Southern Oscillation phenomenon.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 06:35:08 GMT""}]","2015-06-24"
"chao-dyn/9810035","Guido Gentile","Alberto Berretti, Guido Gentile","Bryuno Function and the Standard Map","120 K, Latex, 33 pages",,,"FM 98-17","chao-dyn nlin.CD",,"  For the standard map the homotopically non-trivial invariant curves of
rotation number satisfying the Bryuno condition are shown to be analytic in the
perturbative parameter, provided the latter is small enough. The radius of
convergence of the Lindstedt series -- sometimes called critical function of
the standard map -- is studied and the relation with the Bryuno function is
derived: the logarithm of the radius of convergence plus twice the Bryuno
function is proved to be bounded (from below and from above) uniformily in the
rotation number.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 09:14:47 GMT""}]","2007-05-23"
