"adap-org/9810005","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Emergence and Growth of Complex Networks in Adaptive Systems","10 pages (including figures), 3 Postscript figures",,"10.1016/S0010-4655(99)00293-3","IISc-CTS/10/98","adap-org cond-mat nlin.AO",,"  We consider the population dynamics of a set of species whose network of
catalytic interactions is described by a directed graph. The relationship
between the attractors of this dynamics and the underlying graph theoretic
structures like cycles and autocatalytic sets is discussed. It is shown that
when the population dynamics is suitably coupled to a slow dynamics of the
graph itself, the network evolves towards increasing complexity driven by
autocatalytic sets. Some quantitative measures of network complexity are
described.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:48:48 GMT""}]","2009-10-30"
"cond-mat/9810186","Jozsef Cserti","J. Cserti","Analogy between two-dimensional dislocation systems and layered
  superconductors","4 pages, 1 Postscript figure",,,,"cond-mat.mtrl-sci cond-mat.supr-con",,"  We propose a consistent treatment of the applied external stress on a
two-dimensional dislocation systems by using the analogy between our model and
the layered superconductors. Using the results of a mathematically rigorous,
real-space renormalization-group (RG) calculations in the latter model we
extend the original model developed by Khantha {\it et al.} From our recursion
relations a nonlinear equation is derived for the transition temperature as a
function of the applied stress. Our results are compared with the predictions
of Khantha's model for three particular materials and the reasons for the
deviations are discussed. Possible extensions of our model are outlined.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:43:27 GMT""}]","2007-05-23"
"cond-mat/9810187","Masaru Kato","Masaru Kato and Kazumi Maki","Quasi-particle spectrum around a single vortex in s-wave superconductors","9pages, 23figures",,"10.1063/1.59582",,"cond-mat.supr-con",,"  Making use of the Bogoliubov-de Gennes equation, we study the quasi-particle
spectrum and the vortex core structure of a single vortex in quasi 2D s-wave
superconductors for small $p_F\xi_0$, where $p_F$ is the Fermi momentum and
$\xi_0=v_F/\Delta_0$ is the coherence length($\hbar=1$). In particular we find
that the number of bound states decreases rapidly for decreasing $p_F\xi_0$.
Also for $p_F\xi_0\sim 1$, the Kramer-Pesch effect stops around $T/T_c\simeq
0.3$.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 17:16:29 GMT""}]","2009-10-31"
"cond-mat/9810188","Tom C. Lubensky","A.S. Issaenko, A.B. Harris, and T.C. Lubensky","Quantum Theory of Chiral Interactions in Cholesteric Liquid Crystals","29 pages with 10 postscript figures",,,,"cond-mat.soft",,"  We study the effective chiral interaction between molecules arising from
quantum dispersion interactions within a model in which a) the dominant excited
states of a molecule form a band whose width is small compared to the average
excitation energy and b) biaxial orientational correlation between adjacent
molecules can be neglected. Previous treatments of quantum chiral interactions
were based on a multipole expansion of the intermolecular interaction. However,
because real liquid crystals are composed of elongated molecules, we utilize an
expansion in terms of only coordinates transverse to the long molecular axes.
We identify two distinct physical limits depending on whether one or both of
the interacting molecules are excited in the virtual state. When both molecules
are excited, our results are similar to those found previously by van der Meer
et al. Previously unidentified terms in which only one molecule is excited
involve the interactions of local dipole moments, which exist even when the
global dipole moment of the molecule vanishes. We present analytic and
numerical results for helical molecules. Our results do not indicate whether
the dominant chiral interaction in cholesterics results from quantum or from
steric interactions.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 21:04:03 GMT""}]","2007-05-23"
"cond-mat/9810189","Yung Tae Kim","Yung-Tae Kim (1), Nikolas Provatas (1 and 2), Nigel Goldenfeld (1),
  Jonathan Dantzig (2) ((1) University of Illinois at Urbana-Champaign,
  Department of Physics, Urbana, IL (2) University of Illinois at
  Urbana-Champaign, Department of Mechanical and Industrial Engineering,
  Urbana, IL)","Universal Dynamics of Phase-Field Models for Dendritic Growth","4 pages, 3 postscript figures, in latex, (revtex)",,"10.1103/PhysRevE.59.R2546",,"cond-mat.mtrl-sci nlin.PS patt-sol",,"  We compare time-dependent solutions of different phase-field models for
dendritic solidification in two dimensions, including a thermodynamically
consistent model and several ad hoc models. The results are identical when the
phase-field equations are operating in their appropriate sharp interface limit.
The long time steady state results are all in agreement with solvability
theory. No computational advantage accrues from using a thermodynamically
consistent phase-field model.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 00:01:22 GMT""}]","2009-10-31"
"cond-mat/9810190","Didier Sornette","J.-R. Grasso (LGIT/IRIGM Grenoble, France) and D. Sornette (ESS/IGPP
  at UCLA and LPMC at CNRS and University of Nice, France)","Testing self-organized criticality by induced seismicity","15 pages, 3 tables, 14 figures (in press in Journal of Geophysical
  Research)","J. Geophys.Res. 103 (B12), 29965-29987 (1998)","10.1029/97JB01344",,"cond-mat.stat-mech",,"  We examine the hypothesis proposed in recent years by several authors that
the crust is in a self-organized critical (SOC) state by exploring how the SOC
concept can help in understanding the observed earthquake clustering on
relatively narrow fault domains and the phenomenon of induced seismicity. We
review the major reported cases of induced seismicity in various parts of the
world and find that both pore pressure changes (+/-p) and mass transfers (+/-m)
leading to incremental deviatoric stresses of <<1 MPa are sufficient to trigger
seismic instabilities in the uppermost crust with magnitude ranging up to 7.0
in otherwise historically aseismic areas. Once triggered, stress variations of
at least 1 order of magnitude less but still larger than the ~0.01 MPa tidal
stress are enough to sustain seismic activity. We argue that these observations
are in accord with the SOC hypothesis as they show that a significant fraction
of the crust is not far from instability and can thus be made unstable by
minute perturbations. Not all perturbations, however, trigger seismic activity;
this is also compatible with the SOC hypothesis which embodies naturally the
existence of large heterogeneities in the stress field. In conclusion, the
properties of induced seismicity and their rationalization in terms of the SOC
concept provide further evidence that potential seismic hazards extend over a
much larger area than that where earthquakes are frequent.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 00:22:48 GMT""}]","2015-06-25"
"cond-mat/9810191","Alex Kamenev","Alex Kamenev (Santa Barbara), and Anton Andreev (Boulder, CO)","Electron--electron Interactions in Disordered Metals: Keldysh Formalism","RevTeX, 22 pages with 6 figures",,"10.1103/PhysRevB.60.2218",,"cond-mat.dis-nn",,"  We develop a field theory formalism for the disordered interacting electron
liquid in the dynamical Keldysh formulation. This formalism is an alternative
to the previously used replica technique. In addition it naturally allows for
the treatment of non-equilibrium effects. Employing the gauge invariance of the
theory and carefully choosing the saddle point in the $Q$-matrix manifold, we
separate purely phase effects of the fluctuating potential from the ones that
change quasi-particle dynamics. As a result, the cancellation of
super-divergent diagrams (double logarithms in d=2) is automatically build in
the formalism. As a byproduct we derive a non--perturbative expression for the
single particle density of states. The remaining low-energy sigma--model
describes the quantum fluctuations of the electron distribution function. Its
saddle point equation appears to be the quantum kinetic equation with an
appropriate collision integral along with collisionless terms. Altshuler-Aronov
corrections to conductivity are shown to arise from the one-loop quantum
fluctuation effects.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 02:22:29 GMT""}]","2009-10-31"
"cond-mat/9810192","Christian Preis","Ch. Preis, Ch. Helm, J. Keller, A. Sergeev and R. Kleiner","Coupling of intrinsic Josephson oscillations in layered superconductors
  by charge fluctuations","To be published in proceedings of SPIE conference San Diego 1998",,"10.1117/12.332438",,"cond-mat.supr-con",,"  The coupling of Josephson oscillations in layered superconductors is studied
with help of a tunneling Hamiltonian formalism. The general form of the current
density across the barriers between the superconducting layers is derived. The
induced charge fluctuations on the superconducting layers lead to a coupling of
the Josephson oscillations in different junctions. A simplified set of
equations is then used to study the non-linear dynamics of the system. In
particular the influence of the coupling on the current-voltage characteristics
is investigated and upper limits for the coupling strength are estimated from a
comparison with experiments on cuprate superconductors.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 08:48:03 GMT""}]","2015-06-25"
"cond-mat/9810193","Romualdo Pastor-Satorras","M.-Carmen Miguel and R. Pastor-Satorras (MIT)","Kinetic growth of field-oriented chains in dipolar colloidal solutions","10 pages, REVTEX, 15 eps figures. Phys. Rev. E (in press)",,,,"cond-mat.stat-mech cond-mat.soft",,"  Experimental studies on the irreversible growth of field-induced chains of
dipolar particles suggest an asymptotic power-law behavior of several relevant
quantities. We introduce a Monte Carlo model of chain growth that explicitly
incorporates the anisotropic diffusion characteristic of a rod-like object.
Assuming a simple power-law form for the mean cluster size, $S(t) \sim t^z$,
the results of our model are in good agreement with the experimental
measurements of the dynamic exponent $z$. Nevertheless, an alternative
scenario, including logarithmic corrections to the standard power-law behavior,
provides a better and more insightful interpretation of the anomalous dynamic
exponent. In contrast to some experimental findings, we do not observe any
dependence of the exponents on the volume fraction of particles $\phi$.
Finite-size effects are also explored by simulating very long time evolutions
or highly concentrated systems. Two different behaviors are found, namely,
saturation and a crossover to a quasi one-dimensional regime.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 10:45:39 GMT""}]","2007-05-23"
"cond-mat/9810194","Denis Gorokhov","D. A. Gorokhov, R. A. Suris, and V. V. Cheianov","Electron-energy-loss spectroscopy of the C60 molecule","RevTeX, 7 pages, 1 figure inserted","Phys. Lett. A 223 (1996) 116","10.1016/S0375-9601(96)00707-4",,"cond-mat.mes-hall cond-mat.mtrl-sci",,"  In this work we present a theoretical study of EELS (electron-energy-loss
spectroscopy) experiments on the ${\rm C}_{60}$ molecule. Our treatment of the
problem is based on the simple two-fluid model originally proposed for the
description of plasma oscillations in graphite and fullerenes (see
Refs.\cite{14,15,16}). It is shown that in spite of the simplicity of the model
the calculated intensities of the EELS peaks are in good agreement with
experimental data which may indicate that the model can be used as a simple and
effective tool for the investigation of the collective behaviour of electrons
in fullerene systems.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 11:50:24 GMT""}]","2009-10-31"
"cond-mat/9810195","Bogdan R. Bulka","J. Martinek, J.Barnas, G. Michalek, B.R. Bulka and A. Fert","Spin effects in single-electron tunneling in magnetic junctions","14 pages, 3 eps-figures included",,"10.1016/S0304-8853(99)00525-9",,"cond-mat.mes-hall cond-mat.mtrl-sci",,"  Spin dependent single electron tunneling in ferromagnetic double junctions is
analysed theoretically in the limit of sequential tunneling. The influence of
discrete energy spectrum of the central electrode (island)on the spin
accumulation, spin fluctuations and tunnel magnetoresistance is analysed
numerically in the case of a nonmagnetic island. It is shown that spin
fluctuations are significant in magnetic as well as in nonmagnetic junctions.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 12:08:14 GMT""}]","2009-10-31"
"cond-mat/9810196","Christian Gruber","J.Piasecki and Ch. Gruber","From the adiabatic piston to macroscopic motion induced by fluctuations","14 pages,1 figure",,"10.1016/S0378-4371(98)00553-6",,"cond-mat.stat-mech",,"  The controversial problem of an isolated system with an internal adiabatic
wall is investigated with the use of a simple microscopic model and the
Boltzmann equation. In the case of two infinite volume one-dimensional ideal
fluids separated by a piston whose mass is equal to the mass of the fluid
particles we obtain a rigorous explicit stationary non-equilibrium solution of
the Boltzmann equation. It is shown that at equal pressures on both sides of
the piston, the temperature difference induces a non-zero average velocity,
oriented toward the region of higher temperature. It thus turns out that
despite the absence of macroscopic forces the asymmetry of fluctuations results
in a systematic macroscopic motion. This remarkable effect is analogous to the
dynamics of stochastic ratchets, where fluctuations conspire with spatial
anisotropy to generate direct motion. However, a different mechanism is
involved here. The relevance of the discovered motion to the adiabatic piston
problem is discussed.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 12:36:51 GMT""}]","2015-06-25"
"cond-mat/9810197","Mehmet Bayindir","M. Bayindir, B. Tanatar, and Z. Gedik","Bose-Einstein condensation in a one-dimensional interacting system due
  to power-law trapping potentials","LaTeX, 6 pages, 8 figures, uses grafik.sty (included), to be
  published in Phys. Rev. A",,"10.1103/PhysRevA.59.1468","BIL-PHYS-MB-BT-2","cond-mat.stat-mech",,"  We examine the possibility of Bose-Einstein condensation in one-dimensional
interacting Bose gas subjected to confining potentials of the form $V_{\rm
ext}(x)=V_0(|x|/a)^\gamma$, in which $\gamma < 2$, by solving the
Gross-Pitaevskii equation within the semi-classical two-fluid model. The
condensate fraction, chemical potential, ground state energy, and specific heat
of the system are calculated for various values of interaction strengths. Our
results show that a significant fraction of the particles is in the lowest
energy state for finite number of particles at low temperature indicating a
phase transition for weakly interacting systems.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 13:17:38 GMT""}]","2009-10-31"
"cond-mat/9810198","Pep Espanol","Pep Espa\~nol and Mar Serrano","Dynamical regimes in DPD","8 pages, 6 figures, submitted to Phys. Rev. E",,,,"cond-mat.stat-mech cond-mat.soft",,"  We discuss theoretically the behavior of the velocity autocorrelation
function in the Dissipative Particle Dynamics model. Two dynamical regimes are
identified depending on the dimensionless model parameters. For low frictions a
mean field behavior is observed in which the kinetic theory for DPD provides
good predictions. For high frictions, collective hydrodynamic effects are
dominant. We have performed numerical simulations that validate the theory
presented.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 14:26:29 GMT""}]","2007-05-23"
"cond-mat/9810199","William A. Atkinson","W.A. Atkinson","Disorder and chain superconductivity in YBa_2Cu_3O_{7-\delta}","4 pages, 2 figures, submitted to PRB rapid communications","Physical Review B 59, 3377 (1999)","10.1103/PhysRevB.59.3377","IUCM98-015","cond-mat.supr-con",,"  The effects of chain disorder on superconductivity in YBa_2Cu_3O_{7-\delta}
are discussed within the context of a proximity model. Chain disorder causes
both pair-breaking and localization. The hybridization of chain and plane
wavefunctions reduces the importance of localization, so that the transport
anisotropy remains large in the presence of a finite fraction $\delta$ of
oxygen vacancies. Penetration depth and specific heat measurements probe the
pair-breaking effects of chain disorder, and are discussed in detail at the
level of the self-consistent T-matrix approximation. Quantitative agreement
with these experiments is found when chain disorder is present.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 14:19:17 GMT""},{""version"":""v2"",""created"":""Sat, 17 Oct 1998 18:03:38 GMT""}]","2009-10-31"
"cond-mat/9810200","Mehmet Bayindir","Z. Gedik and M. Bayindir (Bilkent University, Turkey)","Disorder and Localization in the Lowest Landau Level","LaTeX, 4 pages, 4 figures, uses grafik.sty (included)",,,"BIL-PHYS-MB-ZG-2","cond-mat.mes-hall",,"  We study the localization property of a two-dimensional noninteracting
electron gas in the presence of randomly distributed short-range scatterers. We
evaluate the participation number of the eigenstates obtained by exact
diagonalization technique. At low impurity concentrations we obtain
self-averaged values showing that all states, except those exactly at the
Landau level, are localized with finite localization length. We conclude that
there is no universal localization exponent and at least at low impurity
concentrations localization length does not diverge.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 15:09:12 GMT""},{""version"":""v2"",""created"":""Thu, 19 Nov 1998 07:58:20 GMT""}]","2007-05-23"
"cond-mat/9810202","Mehmet Bayindir","M. Bayindir and Z. Gedik (Bilkent University, Turkey)","Suppression of superconductivity in high-$T_c$ cuprates due to
  nonmagnetic impurities: Implications for the order parameter symmetry","LaTeX, 5 pages, 4 figures, uses grafik.sty (included)",,"10.1007/s100510050857","BIL-PHYS-MB-ZG-3","cond-mat.supr-con",,"  We studied the effects of nonmagnetic impurities on high-temperature
superconductors by solving the Bogoliubov-de Gennes equations on a
two-dimensional lattice via exact diagonalization technique in a fully
self-consistent way. We found that s-wave order parameter is almost unaffected
by impurities at low concentrations while $d_{x^2-y^2}$-wave order parameter
exhibits a strong linear decrease with impurity concentration. We evaluated the
critical impurity concentration $n_i^c$ at which superconductivity ceases to be
0.1 which is in good agreement with experimental values. We also investigated
how the orthorhombic nature of the crystal structure affects the suppression of
superconductivity and found that anisotropy induces an additional s-wave
component. Our results support $d_{x^2-y^2}$-wave symmetry for tetragonal and
$s+d_{x^2-y^2}$-wave symmetry for orthorhombic structure.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 15:40:10 GMT""},{""version"":""v2"",""created"":""Thu, 19 Nov 1998 07:36:45 GMT""}]","2009-10-31"
