"adap-org/9810002","Gafiychuk","I.A.Lubshevsky, V.V.Gafiychuk, M.G.Keijan","Nonlinear theory of autooscillations of quasiplanar interface during
  directional solidification","17 pages, 10 figures, REVTEX",,,,"adap-org nlin.AO",,"  Within the framework of the frozen temperature approximation we develop a
strongly-nonlinear theory of one-dimensional pattern formation during
directional solidification of binary mixture under nonequilibrium segregation.
In the case of small partition coefficient the full problem is reduced to the
system of two ordinary differential equations describing the interface motion
in terms of its velocity and position coordinate. The type of the oscillatory
instability bifurcation is studied in detail in different limits. For the
subcrytical bifurcaton relaxation interface oscillations are analyzed
analytically and numerically. We show that these oscillation exibit a number of
anomalous properies. In particular, such oscillations can be weakly- or
strongly-dissipative depending on the physical parameters and the amplitude of
the strongly-dissipative oscillations is determined not only by the form of the
corresponding nullcline but also by the behavior of the system for small values
of the interface velocity. Characteristic parameters of the superlattice
occuring in the growing crystal are estimated.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 11:22:47 GMT""}]","2007-05-23"
"astro-ph/9810079",,"O. Bienaym\'e (Observatoire Astronomique de Strasbourg, France)","The local stellar velocity distribution of the Galaxy. Galactic
  structure and potential","12 pages, Latex, 8 figures, to be published in A&A Main Journal",,,"98-09","astro-ph",,"  The velocity distribution of neighbouring stars is deduced from the Hipparcos
proper motions. We have used a classical Schwarzschild decomposition and also
developed a dynamical model for quasi-exponential stellar discs. This model is
a 3-D derivation of Shu's model in the framework of St\""ackel potentials with
three integrals of motion. We determine the solar motion relative to the local
standard of rest (LSR), the density and kinematic radial gradients, as well as
the local slope of the velocity curve. From the stellar disc dynamical model,
we determine explicitly the link between the tangential-vertical velocity
(v_\theta, v_z) coupling and the local shape of the potential. Using a
restricted sample of 3-D velocity data, we measure $z_o$, the focus of the
spheroidal coordinate system defining the best fitted St\""ackel potential. The
parameter $z_o$ is related to the tilt of the velocity ellipsoid and more
fundamentally to the mass gradient in the galactic disc. This parameter is
found to be 5.7\pm1.4 kpc. This implies that the galactic potential is not
extremly flat and that the dark matter component is not confined in the
galactic plane.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 09:29:14 GMT""}]","2007-05-23"
"astro-ph/9810080","Biman","Biman Nath (RRI, India), Shiv Sethi (IAP, France) and Yuri Shchekinov
  (OAA, Italy; Rostov State University, Russia)","Photoelectric heating for dust grains at high redshifts","Latex file (26 pages) with 12 figures. Accepted for publication in
  the Monthly Notices of RAS",,"10.1046/j.1365-8711.1999.02182.x",,"astro-ph",,"  Lyman-$\alpha$ absorption systems at $z \sim 3$ with $N_{HI} \ga 3 \times
10^{14}$ cm$^{-2}$ have been found to be enriched with a mean metallicity of
$Z/Z_{\odot} \sim 10^{-2.5}$, and a large scatter in the metallicity. It is
reasonable to assume that the process of initial enrichment of the
intergalactic medium (IGM) at $z \ga 3$ also produced dust grains. We explore
the implications of the presence of dust grains in the IGM at high redshift, in
particular, the contribution of photoelectric emission from grains by hard
background photons to the net heating rate of the IGM.
  We show that (i) the charge on dust particles and the characteristics of
photo-emitted electrons differ substantially from those in the interstellar
medium (ISM) in several respects: a) grains are exposed to and charged by
photons beyond the Lyman limit, and b) because of this, the photoelectrons have
typical energy of tens of eV. We also show that ii) silicates are more
efficient heating agents than graphites; iii) small grains contribute mostly to
the net heating; iv) at densities typical of the IGM at $z\sim 3$ and for
Lyman-$\alpha$ absorbers, dust heating can be comparable or exceed
photoionization heating within an order of magnitude; v) this increases the
temperature of overdense regions, compared to the case of no dust heating, by
factor of $\sim 2$. We discuss the implications of this extra heating source in
Lyman-$\alpha$ absorbing systems.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 09:33:06 GMT""}]","2009-10-31"
"astro-ph/9810081","Jens Kube","Jens Kube, Boris T. Gaensicke, Klaus Beuermann (University Observatory
  Goettingen, Germany)","Observing the Accretion Stream in Polars","4 pages, 3 figures containing 13 subfigures in total. To appear in
  Annapolis workshop on magnetic cataclysmic variables (MCV2), ASP Conf. Ser.,
  in press. Additional mpeg-video at http://www.uni-sw.gwdg.de/~jkube/video.mpg",,,,"astro-ph",,"  We have developed a 3D computer model of polars which includes the accretion
stream, the accretion column, the secondary star, and the white dwarf. Each
component is represented by a fine grid of surface elements. With brightness
values attributed to each surface element, this model generates synthetic light
curves of the various components. As a first application, we present our
simulated light curves of the accretion stream, fitted to high-speed HST
spectroscopy of the eclipsing polar UZ Fornacis by the means of an evolution
strategy.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 09:38:31 GMT""}]","2007-05-23"
"astro-ph/9810082","Dirk Grupe","D. Grupe, Beverley J. Wills, D. Wills, Karen M. Leighly","Absorption and scattering properties in polarized bright soft X-ray
  selected ROSAT AGN","3 pages, including 3 pages, to appear in the proc. of ""Highlights in
  X-ray Astronomy"" (Garching, June 1998), B Aschenbach et al. (eds); MPE
  preprint 448, also available at:
  http://www.xray.mpe.mpg.de/~dgrupe/research/unrefereed.html",,,,"astro-ph",,"  We have surveyed the optical linear polarimetric properties of 65 soft X-ray
selected ROSAT Active Galactic Nuclei (AGN). Most of these sources show low
polarization (<1%) and no optical reddening. This is in agreement with the
X-ray results suggesting a direct view on the center. However, two of our AGN
show polarization as high as 7--8% and high reddening. This optical reddening
suggests a high column of dusty gas, but why does this gas not absorb the soft
X-rays? We suggest that the dusty gas is actually ionized. There is evidence
for these 'warm' absorbers from X-ray absorption features seen in ROSAT and
ASCA spectra.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 09:44:21 GMT""}]","2007-05-23"
"astro-ph/9810083","Barbara Ricci","G. Fiorentini, V. Berezinsky, S. Degl'Innocenti and B. Ricci","Bounds on hep neutrinos","7 pages, RevTeX file","Phys.Lett.B444:387-390,1998","10.1016/S0370-2693(98)01417-8","INFN-FE-15-98","astro-ph",,"  The excess of highest energy solar-neutrino events recently observed by
Superkamiokande can be in principle explained by anomalously high
$hep$-neutrino flux $\Phi_{\nu}(hep)$. Without using SSM calculations, from the
solar luminosity constraint we derive that $\Phi_\nu(hep)/S_{13}$ cannot exceed
the SSM estimate by more than a factor three. If one makes the additional
hypothesis that $hep$ neutrino production occurs where the $^3$He concentration
is at equilibrium, helioseismology gives an upper bound which is (less then)
two times the SSM prediction. We argue that the anomalous $hep$-neutrino flux
of order of that observed by Superkamiokande cannot be explained by
astrophysics, but rather by a large production cross-section.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 11:19:09 GMT""}]","2008-12-18"
"astro-ph/9810084","Henry E. Kandrup","Henry E. Kandrup and John Drury (University of Florida)","Chaos in cosmological Hamiltonians","16 pages LaTeX, including 5 figures, no macros required",,"10.1111/j.1749-6632.1998.tb11266.x",,"astro-ph",,"  This paper summarises a numerical investigation which aimed to identify and
characterise regular and chaotic behaviour in time-dependent Hamiltonians
H(r,p,t) = p^2/2 + U(r,t), with U=R(t)V(r) or U=V[R(t)r], where V(r) is a
polynomial in x, y, and/or z, and R = const * t^p is a time-dependent scale
factor. When p is not too negative, one can distinguish between regular and
chaotic behaviour by determining whether an orbit segment exhibits a sensitive
dependence on initial conditions. However, chaotic segments in these potentials
differ from chaotic segments in time-independent potentials in that a small
initial perturbation will usually exhibit a sub- or super-exponential growth in
time. Although not periodic, regular segments typically exhibit simpler shapes,
topologies, and Fourier spectra than do chaotic segments. This distinction
between regular and chaotic behaviour is not absolute since a single orbit
segment can seemingly change from regular to chaotic and visa versa. All these
observed phenomena can be understood in terms of a simple theoretical model.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 12:02:05 GMT""}]","2009-10-31"
"astro-ph/9810085","Abraham Loeb","Rosalba Perna and Abraham Loeb (Harvard University)","Constraining the Beaming of Gamma-Ray Bursts With Radio Surveys","12 pages, 3 figures, submitted to ApJ",,"10.1086/311784",,"astro-ph",,"  The degree of beaming in Gamma-Ray Bursts (GRBs) is currently unknown. The
uncertainty in the gamma-ray beaming angle, theta, leaves the total energy
release (proportional to theta^2) and the event rate per galaxy (proportional
to 1/theta^2) unknown to within orders of magnitude. Since the delayed radio
emission of GRB sources originates from a mildly relativistic shock and
receives only weak relativistic beaming, the rate of radio-selected transients
with no GRB counterpart can be used to set an upper limit on 1/theta^2. We find
that a VLA survey with a sensitivity of 0.1 mJy at 10 GHz could identify more
than 2e4/(theta/10degrees)^2 radio afterglows across the sky if each source is
sampled at least twice over a period of one month or longer. From the total
number of >0.1 mJy sources observed at 8.44 GHz and the fraction of fading
sources at 1.44 GHz, we get the crude limit, theta>6 degrees.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 15:08:58 GMT""}]","2009-10-31"
"astro-ph/9810086","Matteo Guainazzi","M.Guainazzi (1), G.Vacanti (1), A.Malizia (2,3), K.S.O'Flaherty (1),
  E.Palazzi (4), A.N.Parmar (1) ((1) Astrophysics Division, SSD/ESA, Noordwijk,
  NL; (2) BeppoSAX SDC, Rome, I; (3) Southampton University, UK; (4)
  ITESRE/CNR, Bologna, I)","The quiescent state broadband X-ray spectrum and variability of Mkn421","7 pages, Latex, 8 Postscript figures, accepted for publication in
  Astronomy and Astrophysics",,,,"astro-ph",,"  The BL Lac object Mkn~421 was observed three times by the X-ray observatory
BeppoSAX in consecutive days during 1997 April and May. The source was in a
quiescent state, with an average 2-10 keV flux of 9.0 x 10^(-11) erg/cm/cm/s.
Flux variation by a factor of ~2 on timescales as short as a few 10 ks were
more pronounced in the hard (i.e. above ~3 keV) than in the soft X-rays. The
broadband (0.1-40 keV) spectrum is concave and can be most easily explained
with a power-law model which steepens gradually with energy. In this framework,
neither photoabsorption edges nor resonant absorption lines are required,
strengthening the case against the ubiquity of such features in BL Lac objects,
which had been previously suggested by Einstein observations. The broadband
spectrum hardens with hard X-ray flux, mostly due to a flattening above ~4 keV.
This suggests that the relativistic highest energy electron distribution
properties drive the X-ray spectral dynamics: either a stratification of the
distribution in the jet with energy or inhomogeneities in the electron
injection mechanism could be consistent with the observed variability pattern.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 15:43:04 GMT""}]","2007-05-23"
"astro-ph/9810087","Robert A. Benjamin","Robert A. Benjamin, Evan D. Skillman, Derck P. Smits","Improving Predictions for Helium Emission Lines","ApJ, accepted",,"10.1086/306923",,"astro-ph",,"  We have combined the detailed He I recombination model of Smits with the
collisional transitions of Sawey & Berrington in order to produce new accurate
helium emissivities that include the effects of collisional excitation from
both the 2 (3)S and 2 (1) S levels. We present a grid of emissivities for a
range of temperature and densities along with analytical fits and error
estimates.
  Fits accurate to within 1% are given for the emissivities of the brightest
lines over a restricted range for estimates of primordial helium abundance. We
characterize the analysis uncertainties associated with uncertainties in
temperature, density, fitting functions, and input atomic data. We estimate
that atomic data uncertainties alone may limit abundance estimates to an
accuracy of 1.5%; systematic errors may be greater than this. This analysis
uncertainty must be incorporated when attempting to make high accuracy
estimates of the helium abundance. For example, in recent determinations of the
primordial helium abundance, uncertainties in the input atomic data have been
neglected.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 15:58:05 GMT""}]","2009-10-31"
"cond-mat/9810043",,"Girish S. Setlur and Yia-Chung Chang","Exact Single-Particle Green Functions of Fermi Systems Without Using
  Bosonization or Are Hartree-Fock and Random Phase Approximations 'Controlled
  Approximations' ?","3 pages, RevTex, N(k,k^{'}) is given explicitly",,,"UIUC preprint 1998","cond-mat.str-el",,"  In this article, we revisit the question of the validity of Hartree-Fock and
random-phase approximations. We show that there is a connection between the two
and while the RPA as it is known in much of the physics literature is of
limited validity, there is a generalised sense in which the random phase
approximation is of much wider applicability including to systems that do not
possess Fermi surfaces. The main conclusion is that the Hartree-Fock
approximation is a mean-field idea applied to the density operator, and the
random-phase approximation is a mean-field idea applied to the number operator.
The generalised RPA is used to compute single-particle properties such as
momentum distribution and spectral functions. It is found that we have to go
beyond the generalised RPA and include fluctuations in the momentum
distribution in order to recover a nonzero imaginary part of the one-particle
self energy, which is also explicitly computed, all this in any number of
spatial dimensions and no bosonization is needed.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 18:39:34 GMT""},{""version"":""v2"",""created"":""Wed, 28 Oct 1998 03:37:11 GMT""}]","2007-05-23"
"cond-mat/9810044","Josh Deutsch","J.M.Deutsch","Equilibrium size of large ring molecules","11 pages, 3 eps figures, latex, psfig",,"10.1103/PhysRevE.59.R2539",,"cond-mat.soft cond-mat.stat-mech",,"  The equilibrium properties of isolated ring molecules were investigated using
an off-lattice model with no excluded volume but with dynamics that preserve
the topological class. Using an efficient set of long range moves, chains of
more than 2000 monomers were studied. Despite the lack of any excluded volume
interaction, the radius of gyration scaled like that of a self avoiding walk,
as had been previously conjectured. However this scaling was only seen for
chains greater than 500 monomers.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 01:15:00 GMT""}]","2009-10-31"
"cond-mat/9810045","Hiroyuki Mori","Hiroyuki Mori","Localizations in coupled electronic chains","no figure, to appear in Phys. Rev. B",,"10.1103/PhysRevB.58.12699",,"cond-mat.str-el cond-mat.dis-nn",,"  We studied effects of random potentials and roles of electron-electron
interactions in the gapless phase of coupled Hubbard chains, using a
renormalization group technique. For non-interacting electrons, we obtained the
localization length proportional to the number of chains, as already shown in
the other approaches. For interacting electrons, the localization length is
longer for stronger interactions, that is, the interactions counteract the
random potentials. Accordingly, the localization length is not a simple linear
function of the number of chains. This interaction effect is strongest when
there is only a single chain. We also calculate the effects of interactions and
random potentials on charge stiffness.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 07:24:59 GMT""}]","2009-10-31"
"cond-mat/9810046","Slava Yukalov","S. Gluzman and V. I. Yukalov","Unified Approach to Crossover Phenomena","1 file, 19 pages, RevTex","Phys. Rev. E 58 (1998) 4197-4209","10.1103/PhysRevE.58.4197",,"cond-mat.stat-mech",,"  A general analytical method is developed for describing crossover phenomena
of arbitrary nature. The method is based on the algebraic self-similar
renormalization of asymptotic series, with control functions defined by
crossover conditions. The method can be employed for such difficult problems
for which only a few terms of asymptotic expansions are available, and no other
techniques are applicable. As an illustration, analytical solutions for several
important physical problems are presented.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 09:35:29 GMT""}]","2009-10-31"
"cond-mat/9810047","Colin Denniston","Colin Denniston and Hao Li","Dynamics and stress in gravity driven granular flow","4 pages, 3 eps figures, RevTex",,"10.1103/PhysRevE.59.3289",,"cond-mat.soft cond-mat.dis-nn cond-mat.mtrl-sci cond-mat.stat-mech",,"  We study, using simulations, the steady-state flow of dry sand driven by
gravity in two-dimensions. An investigation of the microscopic grain dynamics
reveals that grains remain separated but with a power-law distribution of
distances and times between collisions.
  While there are large random grain velocities, many of these fluctuations are
correlated across the system and local rearrangements are very slow. Stresses
in the system are almost entirely transfered by collisions and the structure of
the stress tensor comes almost entirely from a bias in the directions in which
collisions occur.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 09:36:39 GMT""}]","2016-08-31"
"cond-mat/9810048","Antoni Mickael","Mickael Antoni, Haye Hinrichsen and Stefano Ruffo","On the microcanonical solution of a system of globally coupled rotators","Invited paper to the Denton workshop (April 3-6, 2000). 5 LaTeX
  pages, 2 figures. To appear in a special issue of ""Chaos, Solitons and
  Fractals""",,,,"cond-mat",,"  We study the Hamiltonian Mean Field (HMF) model, a system of $N$ fully
coupled particles, in the microcanonical ensemble. We use the previously
obtained free energy in the canonical ensemble to derive entropy as a function
of energy, using Legendre transform techniques. The temperature-energy relation
is found to coincide with the one obtained in the canonical ensemble and
includes a {\it metastable} branch which represents spatially homogeneous
states below the critical energy. ""Water bag"" states, with removed tails
momentum distribution, lying on this branch, are shown to relax to equilibrium
on a time which diverges linearly with $N$ in an energy region just below the
phase transition.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 11:10:44 GMT""},{""version"":""v2"",""created"":""Thu, 13 Jul 2000 08:53:49 GMT""}]","2007-05-23"
"cond-mat/9810049","Kikuo Harigaya","Kikuo Harigaya (ETL & NIMC - Tsukuba, KIT - Kanazawa)","Coupled exciton model with off-diagonal disorder for optical excitations
  in extended dendrimers","to be published in ""Physical Chemistry Chemical Physics""","Phys. Chem. Chem. Phys. 1 (1999) 1687-1689","10.1039/A900666D",,"cond-mat physics.chem-ph physics.optics quant-ph",,"  A phenomenological coupled exciton model is proposed in order to characterize
optical excitations in extended dendrimers. An onsite exciton state is assigned
at each phenyl rings and a nearest neighbor hopping integral which obeys the
Gaussian distribution is considered between the exciton states. The decreasing
optical excitation energy with respect to the dendrimer size indicates the
presence of exciton funnels along the backbone of the dendrimers. Therefore,
the extended dendrimers can work as artificial fractal antenna systems which
capture energy of light.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 12:36:12 GMT""},{""version"":""v2"",""created"":""Tue, 9 Feb 1999 09:17:38 GMT""}]","2017-09-13"
"cond-mat/9810050","Arne Brataas","Jeroen B.A.N. van Hoof, Kees M. Schep, Arne Brataas, Gerrit E.W.
  Bauer, and Paul J. Kelly","Ballistic electron transport through magnetic domain walls","4 pages, 2 figures; to appear in PRB as a brief report",,"10.1103/PhysRevB.59.138",,"cond-mat.mes-hall",,"  Electron transport limited by the rotating exchange-potential of domain walls
is calculated in the ballistic limit for the itinerant ferromagnets Fe, Co, and
Ni. When realistic band structures are used, the domain wall magnetoresistance
is enhanced by orders of magnitude compared to the results for previously
studied two-band models. Increasing the pitch of a domain wall by confinement
in a nano-structured point contact is predicted to give rise to a strongly
enhanced magnetoresistance.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 12:40:10 GMT""}]","2009-10-31"
"cond-mat/9810051","Friederike Schmid","K. Binder, M. Mueller, F. Schmid, A. Werner","Interfacial profiles between coexisting phases in thin films: Cahn
  Hilliard treatment versus capillary waves","to appear in J. Stat. Phys","J. Stat. Phys. 95, 1045 (1999).","10.1023/A:1004510702716",,"cond-mat.stat-mech cond-mat.soft",,"  We consider an interface between two demixed A and B phases, confined in a
thin film between two antisymmetric walls, one of which prefers A and the other
B. Above the wetting transition, the interface is stabilized in the center of
the film. Based on a suitable extension of the Cahn-Hilliard gradient-square
theory in combination with the capillary wave theory, we argue that the
confinement influences the interfacial structure in two ways: It squeezes the
intrinsic structure and cuts off the capillary wave spectrum. As a result, the
interfacial width is proportional to the film thickness D in very thin films,
and proportional to the square root of D in thicker films. These effects are
then discussed in detail for the special case of an interface between demixed
homopolymer phases. The width of the intrinsic profile is calculated
analytically as a function of film thickness in the Cahn-Hilliard approximation
(weak segregation limit) and in the Helfand theory (strong segregation limit),
and numerically in the self-consistent field approximation. The results are
confirmed by Monte Carlo simulations of a lattice model for a polymer mixture.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 13:40:21 GMT""}]","2015-06-25"
"cond-mat/9810052","Horatiu Covlescu","D. Andru Vangheli, H. Covlescu, Gh. Ardelean, C. Stelia (West Univ.of
  Timisoara, Timisoara, Romania)","Lattice Models for Magnetic Fluids: Correlations Between Order
  Parameters","5 pages, 2 figures",,,,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  Magnetic fluids are colloidal suspensions of ferromagnetic particles covered
with a surfactant layer, dispersed in a host liquid. The existence of
cooperative phenomena in such magnetic colloidal systems, makes the determining
of their physical properties a difficult task. In the framework of statistical
mechanics, taking into consideration interparticle interactions, the study of
equilibrium properties and phase transitions of magnetic fluids can be best
done. In this paper we analyze some basic aspects about the real possibility of
describing the critical properties of these systems in the language of spin-1
lattice-gas model and we also propose the use of a higher spin (3/2) model.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 12:53:25 GMT""}]","2007-05-23"
"cond-mat/9810053","Kanzieper Eugene","E. Kanzieper, V. Freilikher","Higher order parametric level statistics in disordered systems",,"Physical Review E 59, 3720 (1999)","10.1103/PhysRevE.59.3720",,"cond-mat.dis-nn chao-dyn cond-mat.stat-mech nlin.CD",,"  Higher order parametric level correlations in disordered systems with broken
time-reversal symmetry are studied by mapping the problem onto a model of
coupled Hermitian random matrices. Closed analytical expression is derived for
parametric density-density correlation function which corresponds to a
perturbation of disordered system by a multicomponent flux.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 13:29:18 GMT""}]","2009-10-31"
"cond-mat/9810054","Shinji Watanabe","S. Watanabe, Y. Kuramoto, T. Nishino, and N. Shibata","Spin, Charge and Quasiparticle Gaps in the One-Dimensional Kondo Lattice
  with f^2 Configuration","7 pages, 7 figures, submitted to J. Phys. Soc. Jpn",,"10.1143/JPSJ.68.159",,"cond-mat.str-el",,"  The ground state properties of the one-dimensional Kondo lattice with an f^2
configuration at each site are studied by the density matrix renormalization
group method. At half-filling, competition between the Kondo exchange J and the
antiferromagnetic intra f-shell exchange I leads to reduction of energy gaps
for spin, quasi-particle and charge excitations. The attractive force among
conduction electrons is induced by the competition and the bound state is
formed. As J/I increases the f^2 singlet gives way to the Kondo singlet as the
dominant local correlation. The remarkable change of the quasi-particle gap is
driven by the change of the spin-1/2 excitation character from the itinerant
one to the localized one. Possible metal-insulator transition is discussed
which may occur as the ratio J/I is varied by reference to mean-field results
in the f^2 lattice system and the two impurity Kondo system.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 13:22:09 GMT""}]","2009-10-31"
"cond-mat/9810055","Arnaud Buhot","Arnaud Buhot","Critical packing fraction at the phase separation transition in
  hard-core mixtures","4 pages and 1 figure","Phys. Rev. Lett. 82 pp960-963 (1999)","10.1103/PhysRevLett.82.960",,"cond-mat.stat-mech",,"  In this paper, I relate the phase separation transition in binary hard-core
mixtures in the limit of small size ratio to a bond percolation transition. It
allows to estimate the critical packing fraction at the transition as a
function of the size ratio and the composition of the mixture for different
shapes of objects. The theoretical predictions are in excellent quantitative
agreement with numerical simulations of binary parallel hard squares mixtures.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 13:32:31 GMT""}]","2009-10-31"
"cond-mat/9810056","^","Kikuo Harigaya","Photophysical Properties in C60 and Higher Fullerenes",,"J. Luminescence 76&77 (1998) 652-654","10.1016/S0022-2313(97)00262-7",,"cond-mat physics.chem-ph physics.optics quant-ph",,"  The optical excitations in C$_{60}$ and higher fullerenes, including isomers
of C$_{76}$, C$_{78}$, and C$_{84}$, are theoretically investigated. We use a
tight binding model with long-range Coulomb interactions, treated by the
Hartree-Fock and configuration-interaction methods. We find that the optical
excitations in the energy region smaller than about 4 eV have most of their
amplitudes at the pentagons. The oscillator strengths of projected absorption
almost accord with those of the total absorption. Next, off-resonant third
order susceptibilities are investigated. We find that third order
susceptibilities of higher fullerenes are a few times larger than those of
C$_{60}$. The magnitude of nonlinearity increases as the optical gap decreases
in higher fullerenes. The nonlinearity is nearly proportional to the fourth
power of the carbon number when the onsite Coulomb repulsion is $2t$ or $4t$,
$t$ being the nearest neighbor hopping integral. This result, indicating
important roles of Coulomb interactions, agrees with quantum chemical
calculations of higher fullerenes.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 13:44:11 GMT""}]","2007-05-23"
"cond-mat/9810057","Robert Shrock","Robert Shrock and Shan-Ho Tsai","Ground State Entropy of Potts Antiferromagnets: Cases with Noncompact W
  Boundaries Having Multiple Points at 1/q = 0","29 pages, Latex, 10 encapsulated postscript figures, J. Phys. A, in
  press","J. Phys. A 31, 9641 (1998)","10.1088/0305-4470/31/48/003",,"cond-mat.stat-mech hep-lat math.CO",,"  We present exact calculations of the zero-temperature partition function,
$Z(G,q,T=0)$, and ground-state degeneracy (per site), $W({G},q)$, for the
$q$-state Potts antiferromagnet on a number of families of graphs ${G}$ for
which the boundary ${\cal B}$ of regions of analyticity of $W$ in the complex
$q$ plane is noncompact and has the properties that (i) in the $z=1/q$ plane,
the point $z=0$ is a multiple point on ${\cal B}$ and (ii) ${\cal B}$ includes
support for $Re(q) < 0$. These families are generated by the method of
homeomorphic expansion. Our results give further insight into the conditions
for the validity of large--$q$ series expansions for the reduced function
$W_{red.}=q^{-1}W$.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 14:53:29 GMT""}]","2009-10-31"
"cond-mat/9810058","Gerard Barkema","G.T. Barkema (Utrecht) and Normand Mousseau (Ohio Univ.)","Exploring structural mechanisms in disordered materials using the
  activation-relaxation technique","proceedings of the 1998 conference on computational physics; 6 pages,
  2 figures",,"10.1016/S0010-4655(99)00314-8","THU-98/41","cond-mat",,"  Structural mechanisms in disordered materials like amorphous semi-conductors
and glasses can be explored with the activation-relaxation technique (ART). The
application of a sequence of such mechanisms allows for the generation of
well-relaxed structures. The method and its application in the study of the
microscopic changes in amorphous silicon and silica glass are reviewed, and two
recent improvements are presented.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 15:37:57 GMT""}]","2009-10-31"
"cs/9810005","Kate Larson","Tuomas Sandholm, Kate Larson, Martin Andersson, Onn Shehory, Fernando
  Tohme","Anytime Coalition Structure Generation with Worst Case Guarantees",,"Proceedings of the National Conference on Artificial Intelligence,
  pp 46-53, Madison, WI, July 1998",,,"cs.MA cs.AI",,"  Coalition formation is a key topic in multiagent systems. One would prefer a
coalition structure that maximizes the sum of the values of the coalitions, but
often the number of coalition structures is too large to allow exhaustive
search for the optimal one. But then, can the coalition structure found via a
partial search be guaranteed to be within a bound from optimum? We show that
none of the previous coalition structure generation algorithms can establish
any bound because they search fewer nodes than a threshold that we show
necessary for establishing a bound. We present an algorithm that establishes a
tight bound within this minimal amount of search, and show that any other
algorithm would have to search strictly more. The fraction of nodes needed to
be searched approaches zero as the number of agents grows. If additional time
remains, our anytime algorithm searches further, and establishes a
progressively lower tight bound. Surprisingly, just searching one more node
drops the bound in half. As desired, our algorithm lowers the bound rapidly
early on, and exhibits diminishing returns to computation. It also drastically
outperforms its obvious contenders. Finally, we show how to distribute the
desired search across self-interested manipulative agents.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 16:08:41 GMT""}]","2007-05-23"
"cs/9810006","Kersten Barney","Nick McKeown (Stanford University), Martin Izzard (Texas Instruments),
  Adisak Mekkittikul (Stanford University), Bill Ellersick (Stanford
  University) and Mark Horowitz (Stanford University)","The Tiny Tera: A Packet Switch Core","13 pages, 10 figures","Hot Interconnects V, Stanford University, August 1996; IEEE Micro
  Jan/Feb 1997, pp 26-33",,,"cs.NI",,"  The objective is to design and build a small, high-bandwidth switch.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 17:50:02 GMT""}]","2007-05-23"
"gr-qc/9810012","WU Zhong Chao","Wu Zhong Chao (Beijing Normal University)","Pair Creation of Black Hole in Anti-de Sitter Space Background",,"Phys.Lett.B445:274,1999","10.1016/S0370-2693(98)01509-3","Beijing Preprint 98-108","gr-qc astro-ph hep-th",,"  In the absence of a general no-boundary proposal for open creation, the
complex constrained instanton is used as the seed for the open pair creations
of black holes in the Kerr-Newman-anti-de Sitter family. The relative
probability of the chargeless and nonrotating black hole pair is the
exponential of the negative of the entropy, and that of the charged and (or)
rotating black hole pair is the exponential of the negative of one quarter of
the sum of the outer and inner black hole horizon areas.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 22:08:02 GMT""},{""version"":""v2"",""created"":""Wed, 7 Oct 1998 16:00:49 GMT""},{""version"":""v3"",""created"":""Wed, 14 Oct 1998 19:44:35 GMT""},{""version"":""v4"",""created"":""Thu, 28 Jan 1999 15:58:08 GMT""}]","2008-11-26"
