"adap-org/9801001","Vipul Periwal","Vipul Periwal","Geometric statistical inference","7 pages, RevTeX",,,"PUPT-1741","adap-org nlin.AO",,"  Finite sample size corrections to the reparametrization-invariant solution of
the inverse problem of probability are computed, and shown to converge
uniformly to the correct distribution.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 20:04:28 GMT""}]","2007-05-23"
"astro-ph/9801001","Tsvi Piran","Tsvi Piran","Gamma-Ray Bursts and Related Phenomena","Latex 8 pages, a short review paper that will appear in the
  proceedings of the Fifth Conference on Underground Physics (TAUP97)","Nucl.Phys.Proc.Suppl.70:431-438,1999","10.1016/S0920-5632(98)00464-2",,"astro-ph",,"  Gamma-ray bursts (GRBs) have puzzled astronomers since their accidental
discovery in the sixties. The BATSE detector on the COMPTON-GRO satellite has
been detecting one burst per day for the last six years. Its findings have
revolutionized our ideas about the nature of these objects. They have shown
that GRBs are at cosmological distances. This idea was accepted with
difficulties at first. However, the recent discovery of an x-ray afterglow by
the Italian/Dutch satellite BeppoSAX led to a detection of high red-shift
absorption lines in the optical afterglow of GRB970508 and to a confirmation of
its cosmological origin. The simplest and practically inevitable interpretation
of these observations is that GRBs result from the conversion of the kinetic
energy of ultra-relativistic particles flux to radiation in an optically thin
region. The ""inner engine"" that accelerates the particles or generates the
Poynting flux is hidden from direct observations. Recent studies suggest the
``internal-external'' model: internal shocks that take place within the
relativistic flow produce the GRB while the subsequent interaction of the flow
with the external medium produce the afterglow. The ``inner engine'' that
produces the flow is, however, hidden from direct observations. We review this
model with a specific emphasis on its implications to underground physics.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 10:35:59 GMT""}]","2014-10-13"
"astro-ph/9801002","Patricia Whitelock","Patricia A Whitelock (South African Astronomical Observatory)","``Real-Time'' Evolution in Mira Variables","Invited Review for JD8 at IAU General Assembly, to appear in:
  ``Stellar Evolution on Human Time Scale'' Eds. Guinan & Koch, New Astronomy
  Reviews, 7 Pages, no figures, LaTeX","New Astron.Rev. 43 (1999) 437-440","10.1016/S1387-6473(99)00031-7","SAAO-PDOC 1424","astro-ph",,"  After a brief review of our current understanding of Miras and their
evolutionary status, three aspects of ``real-time'' evolution in these and
related stars are examined: # Chemical changes (O-rich to C-rich) due to third
dredge-up # Period changes due to the effects of the helium-shell flash # The
existence of ``fossil'' dust and gas shells. Studies of resolved gas and dust
shells are highlighted as particularly interesting. They will enable us to
examine the mass-loss histories of many late-type stars over the last ten
thousand years or so. Such observations have only recently become technically
feasible and they are expected to provide important new insights into the late
stages of stellar evolution.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 12:57:02 GMT""}]","2009-10-30"
"chao-dyn/9801003","De Bi\`evre","S. De Bi\`evre and G. Forni","Transport properties of kicked and quasi-periodic Hamiltonians","23 pages",,"10.1023/A:1023227327494",,"chao-dyn nlin.CD",,"  We study transport properties of Schr\""odinger operators depending on one or
more parameters. Examples include the kicked rotor and operators with
quasi-periodic potentials. We show that the mean growth exponent of the kinetic
energy in the kicked rotor and of the mean square displacement in
quasi-periodic potentials is generically equal to 2: this means that the motion
remains ballistic, at least in a weak sense, even away from the resonances of
the models. Stronger results are obtained for a class of tight-binding
Hamiltonians with an electric field $E(t)= E_0 + E_1\cos\omega t$. For $$
H=\sum a_{n-k}(\mid n-k><n\mid + \mid n>< n-k\mid) + E(t)\mid n><n\mid $$ with
$a_n\sim\mid n\mid^{-\nu} (\nu>3/2)$ we show that the mean square displacement
satisfies $\bar{<\psi_t, N^2\psi_t>}\geq C_\epsilon t^{2/(\nu+1/2)-\epsilon}$
for suitable choices of $\omega, E_0$ and $E_1$. We relate this behaviour to
the spectral properties of the Floquet operator of the problem.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 16:08:18 GMT""}]","2015-06-24"
"cond-mat/9712326","P. Dai","H. A. Mook, P. Dai, R. D. Hunt, and F. Dogan","Neutron Scattering Studies of the Magnetic Fluctuations in
  YBa_2Cu_3O_{7-\delta}","9 pages, 4 gif figures, Proceedings of Spectroscopies in Novel
  Superconductors, Cape Cod, Massachusetts, Sept, 1997",,"10.1016/S0022-3697(98)00196-6",,"cond-mat.supr-con cond-mat.str-el",,"  Neutron scattering measurements have been made on the spin fluctuations in
YBa_2Cu_3O_{7-\delta} for different oxygen doping levels. Incommensurability is
clearly observed for oxygen concentrations of 6.6 and 6.7 and is suggested for
the 6.93. Measurements of the resonance for the O_{6.6} concentration show that
it exists in a broadened and less intense form at temperatures much higher than
T_c.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 18:25:10 GMT""}]","2016-08-31"
"cond-mat/9712327","Jonathan Katz","J. I. Katz (Washington University, St. Louis)","Temperature Dependence of the Index of Refraction of Fused Silica","3 pp, tex, Answer to Question # 50 in Am. J. Phys","Am. J. Phys. 65, 942 (1997)","10.1119/1.18711",,"cond-mat.mtrl-sci physics.optics",,"  In order to explain the positive temperature coefficient of the visible index
of refraction of fused silica I develop a simple model which assumes a single
ultraviolet resonance. Assuming thermal broadening and using the Kramers-
Kronig relations leads to a temperature coefficient in qualitative, but not
quantitative, agreement with measurement.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 20:31:57 GMT""}]","2009-10-30"
"cond-mat/9712328","Aram Galstyan","A. G. Galstyan and M. E. Raikh (University of Utah)","Disorder-Induced Broadening of the Density of States for 2D Electrons
  with Strong Spin-Orbit Coupling","12 pages, REVTeX, 4 figures",,"10.1103/PhysRevB.58.6736",,"cond-mat.mes-hall",,"  We study theoretically the disorder-induced smearing of the density of states
in a two-dimensional electron system taking into account a spin-orbit term in
the Hamiltonian of a free electron. We show that the characteristic energy
scale for the smearing increases with increasing the spin-orbit coupling. We
also demonstrate that in the limit of a strong spin-orbit coupling the diagrams
with self-intersections give a parametrically small contribution to the
self-energy. As a result, the coherent potential approximation becomes
asymptotically exact in this limit. The tail of the density of states has the
energy scale which is much smaller than the magnitude of the smearing. We find
the shape of the tail using the instanton approach.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 22:54:20 GMT""}]","2009-10-30"
"cond-mat/9801001","Valeri Kotov","V.N. Kotov, J. Oitmaa, and O. Sushkov (UNSW)","Local impurities in 2D quantum antiferromagnets","5 pages, REVTex, 2 Postscript figures; presented at the International
  Conference on Magnetism 97, Cairns; to be published in J. Magn. Magn. Mat.
  177-180 (1998)","J. Magn. Magn. Mat. 177-181, 727 (1998).","10.1016/S0304-8853(97)00844-5","UNSW-ICM97","cond-mat.str-el",,"  The two-dimensional quantum Heisenberg antiferromagnet at zero temperature
with two kinds of locally frustrating defects - isolated ferromagnetic bonds
and impurity spins, is studied. For a quantum spin, coupled
antiferromagnetically to the two sublattices, we find a local ground state
transition. In the case of a ferromagnetic bond, the local magnetization is
found to remain finite even for strong coupling, contrary to previous results,
derived within the linear spin-wave approximation. Our results are based on an
analytic approach, suitable to treat strong defect-environment interaction, as
well as exact diagonalization studies. Technical details and some extension of
this work can be found in cond-mat/9712281.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 05:10:52 GMT""}]","2009-10-31"
"cond-mat/9801002","Shay Wolfling","Shay Wolfling, Yacov Kantor (Tel Aviv University)","A Model Ground State of Polyampholytes","8 two-column pages. 5 eps figures. RevTex. Submitted to Phys. Rev. E","Phys. Rev. E57, 5719 (1998).","10.1103/PhysRevE.57.5719","TAU-CMP-98-01","cond-mat.soft cond-mat.stat-mech",,"  The ground state of randomly charged polyampholytes is conjectured to have a
structure similar to a necklace, made of weakly charged parts of the chain,
compacting into globules, connected by highly charged stretched `strings'. We
suggest a specific structure, within the necklace model, where all the neutral
parts of the chain compact into globules: The longest neutral segment compacts
into a globule; in the remaining part of the chain, the longest neutral segment
(the 2nd longest neutral segment) compacts into a globule, then the 3rd, and so
on. We investigate the size distributions of the longest neutral segments in
random charge sequences, using analytical and Monte Carlo methods. We show that
the length of the n-th longest neutral segment in a sequence of N monomers is
proportional to N/(n^2), while the mean number of neutral segments increases as
sqrt(N). The polyampholyte in the ground state within our model is found to
have an average linear size proportional to sqrt(N), and an average surface
area proportional to N^(2/3).
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 07:12:47 GMT""}]","2009-10-31"
"cs/9801101",,"G. Gogic, C. H. Papadimitriou, M. Sideri","Incremental Recompilation of Knowledge","See http://www.jair.org/ for any accompanying files","Journal of Artificial Intelligence Research, Vol 8, (1998), 23-37",,,"cs.AI",,"  Approximating a general formula from above and below by Horn formulas (its
Horn envelope and Horn core, respectively) was proposed by Selman and Kautz
(1991, 1996) as a form of ``knowledge compilation,'' supporting rapid
approximate reasoning; on the negative side, this scheme is static in that it
supports no updates, and has certain complexity drawbacks pointed out by
Kavvadias, Papadimitriou and Sideri (1993). On the other hand, the many
frameworks and schemes proposed in the literature for theory update and
revision are plagued by serious complexity-theoretic impediments, even in the
Horn case, as was pointed out by Eiter and Gottlob (1992), and is further
demonstrated in the present paper. More fundamentally, these schemes are not
inductive, in that they may lose in a single update any positive properties of
the represented sets of formulas (small size, Horn structure, etc.). In this
paper we propose a new scheme, incremental recompilation, which combines Horn
approximation and model-based updates; this scheme is inductive and very
efficient, free of the problems facing its constituents. A set of formulas is
represented by an upper and lower Horn approximation. To update, we replace the
upper Horn formula by the Horn envelope of its minimum-change update, and
similarly the lower one by the Horn core of its update; the key fact which
enables this scheme is that Horn envelopes and cores are easy to compute when
the underlying formula is the result of a minimum-change update of a Horn
formula by a clause. We conjecture that efficient algorithms are possible for
more complex updates.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2007-05-23"
"cs/9801102",,"J. Engelfriet","Monotonicity and Persistence in Preferential Logics","See http://www.jair.org/ for any accompanying files","Journal of Artificial Intelligence Research, Vol 8, (1998), 1-21",,,"cs.AI",,"  An important characteristic of many logics for Artificial Intelligence is
their nonmonotonicity. This means that adding a formula to the premises can
invalidate some of the consequences. There may, however, exist formulae that
can always be safely added to the premises without destroying any of the
consequences: we say they respect monotonicity. Also, there may be formulae
that, when they are a consequence, can not be invalidated when adding any
formula to the premises: we call them conservative. We study these two classes
of formulae for preferential logics, and show that they are closely linked to
the formulae whose truth-value is preserved along the (preferential) ordering.
We will consider some preferential logics for illustration, and prove syntactic
characterization results for them. The results in this paper may improve the
efficiency of theorem provers for preferential logics.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2007-05-23"
"gr-qc/9801001","Tsvi Piran","Shahar Hod and Tsvi Piran","Late-Time Evolution of Charged Gravitational Collapse and Decay of
  Charged Scalar Hair - II","Latex 15 pages, Revtex.sty","Phys.Rev. D58 (1998) 024018","10.1103/PhysRevD.58.024018",,"gr-qc",,"  We study analytically the initial value problem for a charged massless
scalar-field on a Reissner-Nordstr\""om spacetime. Using the technique of
spectral decomposition we extend recent results on this problem. Following the
no-hair theorem we reveal the dynamical physical mechanism by which the charged
hair is radiated away. We show that the charged perturbations decay according
to an inverse power-law behaviour at future timelike infinity and along future
null infinity. Along the future outer horizon we find an oscillatory inverse
power-law relaxation of the charged fields. We find that a charged black hole
becomes ``bald'' slower than a neutral one, due to the existence of charged
perturbations. Our results are also important to the study of mass-inflation
and the stability of Cauchy horizons during a dynamical gravitational collapse
of charged matter in which a charged black-hole is formed.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 05:05:07 GMT""}]","2009-10-31"
"hep-ex/9801001","Erez Etzion","Erez Etzion","Experimental Studies of Electroweak Physics","10 pages, 5 figures, Invited talk at ""Fundemental Particles and
  Interactions"", Vanderbilt University, Nashville, Tennessee, May 1997",,"10.1063/1.55095","SLAC-PUB-7654","hep-ex",,"  Some experimental new Electroweak physics results measured at the LEP/SLD and
the TEVATRON are discussed. The excellent accuracy achieved by the experiments
still yield no significant evidence for deviation from the Standard Model
predictions, or signal to physics beyond the Standard Model. The Higgs particle
still has not been discovered and a low bound is given to its mass.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 15:13:52 GMT""}]","2009-10-31"
"hep-ex/9801002","Erez Etzion","Erez Etzion","Measurements of Hadronic Asymmetries in e+e- Collisions","8 Pages, 5 eps files, Presented at the International Europhysics
  Conference on High Energy Physics, August 1997, Jerusalem, Israel",,,"SLAC-PUB-7709","hep-ex",,"  High precision experimental new electroweak results measured at the four LEP
experiments and the SLD collaboration are discussed. Heavy quark (b b-bar and c
c-bar) forward-backward asymmetries measured at LEP are presented along with
polarized forward-backward and left-right asymmetries measured at SLD. The
results are compared, and the combined averages are used to evaluate the
Standard Model parameters.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 15:56:48 GMT""}]","2007-05-23"
"hep-ph/9712550","Jan Kalinowski","Jan Kalinowski","Sleptons in R-Parity Violating SUSY","latex, 14 pages, figures included, presented at the XXI School of
  Theoretical Physics ""Recent Progress in Theory and Phenomenology of
  Fundamental Interactions"", Ustron, September 1997","Acta Phys.Polon.B28:1629-1634,1997",,"IFT-22-97","hep-ph",,"  In R-parity violating SUSY models sleptons can be produced singly in e+e- and
qqbar collisions. The formation of slepton resonances at LEP2 or Tevatron at
current energies is an exciting possibility. Existing LEP2 and Tevatron data
can be exploited to look for sleptons and, if unsuccessful, to derive bounds on
the Yukawa couplings of sleptons to quark and lepton pairs.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 17:02:15 GMT""}]","2011-03-17"
"hep-ph/9712551","Goran Senjanovic","Charanjit S. Aulakh, Alejandra Melfo, Andrija Rasin, Goran Senjanovic","Supersymmetry and Large Scale Left-Right Symmetry","LaTeX, 30 pages. Minor changes. Some references added","Phys.Rev.D58:115007,1998","10.1103/PhysRevD.58.115007",,"hep-ph",,"  We show that the low energy limit of the minimal supersymmetric Left-Right
models is the supersymmetric standard model with an exact R-parity. The theory
predicts a number of light Higgs scalars and fermions with masses much below
the $B-L$ and $SU(2)_R$ breaking scales. The non-renormalizable version of the
theory has a striking prediction of light doubly charged supermultiplets which
may be accessible to experiment. Whereas in the renormalizable case the scale
of parity breaking is undetermined, in the non-renormalizable one it must be
bigger than about $10^{10} - 10^{12}$ GeV. The precise nature of the see-saw
mechanism differs in the two versions, and has important implications for
neutrino masses.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 19:34:15 GMT""},{""version"":""v2"",""created"":""Wed, 18 Feb 1998 22:01:35 GMT""}]","2011-02-09"
"hep-ph/9712552","T. Pradhan","T. Pradhan","A Model of Composite Quarks and Leptons","7 pages, no figures",,,"IP-BBSR/97-49","hep-ph",,"  In continuation of our model of composite electron, its companion neutrinos,
photon and electro-weak gauge bosons as well as their super-partners based on
extended Lorentz group $SU(3)\otimes SU(3)$ in (8+1) dimensional space-time, we
show that the remaining leptons, quarks, lepto-quarks and gluons as well as
their respective super-partners can be considered as composites of fundamental
particles belonging to the $5\otimes 5$ dimensional representation of the
further extended Lorentz group $SU(5)\otimes SU(5)$ in (24+1) dimensional
space-time. The fundamental particles constituting the composite ones do not
posses quantum numbers of the latter such as charge, hypercharge etc. Since
according to our estimate based on experimental limit on the electron
life-time, the mass of the fundamental particles is in the Planckian regime,
the composite particles would break up into their constituents at these
energies and lose their quantum numbers.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:49:39 GMT""}]","2007-05-23"
"hep-ph/9801201",,"Jonathan L. Rosner (University of Chicago)","B Physics - A Theoretical Review","23 pages, latex, 4 figures, further corrections to references","Nucl.Instrum.Meth.A408:308-323,1998","10.1016/S0168-9002(98)00251-4","EFI-97-58","hep-ph",,"  This overview of what we can hope to learn from high-statistics experiments
in B physics in the next few years includes: (a) a review of parameters of the
Cabibbo-Kobayashi-Maskawa (CKM) Matrix; (b) direct determination of magnitudes
of CKM elements; (c) forthcoming information from studies of kaons; (d) CP
violation in B decays; (e) aspects of rate measurements; (f) the role of
charm-anticharm annihilation; (g) remarks on tagging; and (h) effects beyond
the standard model.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 03:39:22 GMT""},{""version"":""v2"",""created"":""Fri, 9 Jan 1998 21:26:43 GMT""},{""version"":""v3"",""created"":""Wed, 4 Feb 1998 02:22:43 GMT""}]","2014-11-17"
