"adap-org/9801002","Fernando Fagundes Ferreira","F F Ferreira and J F Fontanari","Probabilistic Analysis of the Number Partitioning Problem","14 pages and 5 figures",,"10.1088/0305-4470/31/15/007",,"adap-org cond-mat.stat-mech math-ph math.MP nlin.AO",,"  Given a sequence of $N$ positive real numbers $\{a_1,a_2,..., a_N \}$, the
number partitioning problem consists of partitioning them into two sets such
that the absolute value of the difference of the sums of $a_j$ over the two
sets is minimized. In the case that the $a_j$'s are statistically independent
random variables uniformly distributed in the unit interval, this NP-complete
problem is equivalent to the problem of finding the ground state of an
infinite-range, random anti-ferromagnetic Ising model. We employ the annealed
approximation to derive analytical lower bounds to the average value of the
difference for the best constrained and unconstrained partitions in the large
$N$ limit. Furthermore, we calculate analytically the fraction of metastable
states, i.e. states that are stable against all single spin flips, and found
that it vanishes like $N^{-3/2}$.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 13:29:47 GMT""}]","2009-10-30"
"astro-ph/9801125","Carraro Giovanni","Cesario Lia, Giovanni Carraro, Cesare Chiosi, Marco Voli","A new parallel TreeSPH code","8 pages, 4 figures, to appear in ""Science and SuperComputing at
  Cineca-Report 1997""",,,,"astro-ph",,"  In this report we describe a parallel implementation of a Tree-SPH code
realized using the SHMEM libraries in the Cray T3E supercomputer at CINECA. We
show the result of a 3D test to check the code performances against its scalar
version. Finally we compare the load balancing and scalability of the code with
PTreeSPH (Dav\'e et al 1997), the only other parallel Tree-SPH code present in
the literature.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 08:36:50 GMT""}]","2007-05-23"
"astro-ph/9801126","Philippe Jetzer","F. De Paolis, G. Ingrosso, Ph. Jetzer and M. Roncadelli","Halo dark clusters of brown dwarfs and molecular clouds","Latex file. To appear in Astrophysical Journal","Astrophys.J.500:59,1998","10.1086/305692","ZU-TH 8/96","astro-ph",,"  The discovery of Massive Astrophysical Compact Halo Objects (MACHOs) in
microlensing experiments makes it compelling to understand their physical
nature, as well as their formation mechanism. Within the present uncertainties,
brown dwarfs are a viable candidate for MACHOs, and the present paper deals
with this option. According to a recently proposed scenario, brown dwarfs are
clumped along with cold molecular clouds into dark clusters -- in several
respects similar to globular clusters -- which form in the outer part of the
galactic halo. Here, we analyze the dynamics of these dark clusters and we
address the possibility that a sizable fraction of MACHOs can be binary brown
dwarfs. Moreover, we point out that Ly-$\alpha$ absorption systems naturally
fit within the present picture.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 11:00:14 GMT""}]","2011-05-12"
"astro-ph/9801127","Lev Yungelson","Lev Yungelson (INASAN, Moscow, Russia), Simon F. Portegies Zwart
  (Astronomical Institute ``Anton Pannekoek'', Amsterdam, The Netherlands)","Evolution of Close Binaries: Formation and Merger of Neutron Star
  Binaries","9 pages, 3 figures, LaTex (uses art10.sty, frontier.sty, psfig.sty).
  To appear in the proceedings of the ""Second Workshop on Gravitational Wave
  Data Analysis"", held 13-15 November 1997, Orsay, France",,,,"astro-ph",,"  We discuss the formation and evolution of binaries which contain neutron
stars or black holes. It is shown that in a stellar system which for $10^{10}$
yr had star formation rate similar to the current one in the Galactic disc, the
rate of neutron star mergers is $\sim 2 \times 10^{-5} yr{-1}$, consistent with
the observational estimates. The rate of black hole and neutron star mergers is
by an order of magnitude lower. The pairs of black holes form but do not merge
because heavy mass loss by their progenitors efficiently moves the binary
components apart.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 12:42:16 GMT""}]","2007-05-23"
"astro-ph/9801128","Chris Carilli","C.L. Carilli (NRAO), H.J.A. Rottgering, G.K. Miley L. Pentericci
  (Leiden), D.E. Harris (SAO)","Radio Observations of High Redshift Radio Galaxies","New paragraph and references in section 2",,,,"astro-ph",,"  We review some aspects of radio continuum polarimetric imaging of high
redshift radio galaxies. The correlation between extreme values of Faraday
rotation observed toward radio emitting structures in nearby radio galaxies,
and X-ray emitting cluster atmospheres, is presented as a method for targeting
objects at high redshift for deep X-ray searches. We present an X-ray detection
of the extreme rotation measure radio galaxy PKS 1138-262 at z = 2.156, and we
argue that the X-ray emission is from a cluster atmosphere with a luminosity of
1.7x10^{44} h^{-2} ergs sec^{-1}. We also present results on the correlation
between size and redshift for a sample of ultra-luminous radio galaxies between
0 < z < 4.3. Source sizes decrease systematically with redshift, suggesting
either denser environments, or younger sources, at high redshift. An
alternative explanation is significant inverse Compton losses off the microwave
background at high redshift.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 14:16:35 GMT""},{""version"":""v2"",""created"":""Wed, 18 Feb 1998 13:55:48 GMT""}]","2007-05-23"
"chao-dyn/9801018","Darryl D. holm","Darryl D. Holm (1) and Vladimir Zeitlin (2) ((1) Los Alamos National
  Laboratory, (2) Universite P. et M. Curie)","Hamilton's principle for quasigeostrophic motion","16 pages, LATeX, no figures",,"10.1063/1.869623","LA-UR-97-2205","chao-dyn nlin.CD",,"  We show that the equation of quasigeostrophic (QG) potential vorticity
conservation in geophysical fluid dynamics follows from Hamilton's principle
for stationary variations of an action for geodesic motion in the f-plane case
or its prolongation in the beta-plane case. This implies a new momentum
equation and an associated Kelvin circulation theorem for QG motion. We treat
the barotropic and two-layer baroclinic cases, as well as the continuously
stratified case.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 17:51:30 GMT""}]","2009-10-31"
"chao-dyn/9801019","Krzysztof Kowalski","K. Kowalski and J. Rembielinski","Groups and nonlinear dynamical systems. Dynamics on the SU(2) group","22 pages LaTeX, uses espart.sty and equation.sty","Physica D 99 (1996) 237-251",,"kft-96-56","chao-dyn nlin.CD",,"  An abstract Newton-like equation on a general Lie algebra is introduced such
that orbits of the Lie-group action are attracting set. This equation generates
the nonlinear dynamical system satisfied by the group parameters having an
attractor coinciding with the orbit. The periodic solutions of the abstract
equation on a Lie algebra are discussed. The particular case of the SU(2) group
is investigated. The resulting nonlinear second-order dynamical system in $R^3$
as well as its constrained version referring to the generalized spherical
pendulum are shown to exhibit global Hopf bifurcation.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 14:51:41 GMT""}]","2007-05-23"
"chao-dyn/9801020","Krzysztof Kowalski","K. Kowalski and J. Rembielinski","Groups and nonlinear dynamical systems. Chaotic dynamics on the
  SU(2)xSU(2) group","12 pages LaTeX, uses espart.sty and equation.sty; accepted for
  publication in Chaos, Solitons & Fractals","Chaos, Solitons & Fractals, 9 (1998) 437-448","10.1016/S0960-0779(97)00113-6","kft-97-35","chao-dyn nlin.CD",,"  In our previous paper: K. Kowalski and J. Rembieli\'nski, Groups and
nonlinear dynamical systems. Dynamics on the SU(2) group, Physica D 99, 237
(1996), we introduced an abstract Newton-like equation on a general Lie algebra
such that submanifolds fixed by the second-order Casimir operator are
attracting set. The corresponding group parameters satisfy the nonlinear
dynamical system having an attractor coinciding with the submanifold. In this
work we discuss the case with the $SU(2)\times SU(2)$ group. The resulting
second-order system in $R^6$ is demonstrated to exhibit chaotic behaviour.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 15:21:50 GMT""}]","2015-06-24"
"cond-mat/9801122","Latremoliere","Fabian H. L. Essler, Vladimir E. Korepin, Franck T. Latremoliere","Temperature Corrections to Conformal Field Theory","8 pages, 3 figures",,"10.1007/s100510050478",,"cond-mat.stat-mech hep-th",,"  We consider finite temperature dynamical correlation functions in the
interacting delta-function Bose gas. In the low-temperature limit the
asymptotic behaviour of correlation functions can be determined from conformal
field theory. In the present work we determine the deviations from conformal
behaviour at low temperatures.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 18:07:04 GMT""}]","2009-10-31"
"cond-mat/9801123","Dpto. de Fisica Teorica","A. Vazquez and O. Sotolongo-Costa (Department of Theoretical Physics,
  Havana University, Havana, Cuba)","Dynamic percolation and Slow Relaxation in Glass-like Materials","5 pages, RevTex",,,,"cond-mat",,"  Glass-like materials are nonequilibrium systems where the relaxation time may
exceed reasonable time scales of observations. In the present paper a dynamic
percolation model is introduced in order to explain the principal properties of
glass-like materials near the dynamic transition. Here, contrary to
conventional percolation problems, clusters are groups of particles dynamically
correlated. Introducing a size dependent relaxation time and the scaling
hypothesis for the distribution of dynamically correlated clusters the two step
relaxation predicted by the mode coupling theory and observed in experiments is
obtained.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 17:38:05 GMT""}]","2007-05-23"
"cond-mat/9801124","Alex Hansen","Alex Hansen, Mogens H. Jensen, Kim Sneppen and Giovanni Zocchi","Critical aspects of hierarchical protein folding","3 pages RevTeX, 6 Postscript figures",,,,"cond-mat.soft chao-dyn nlin.CD q-bio",,"  We argue that the first order folding transitions of proteins observed at
physiological chemical conditions end in a critical point for a given
temperature and chemical potential of the surrounding water. We investigate
this critical point using a hierarchical Hamiltonian and determine its
universality class. This class differs qualitatively from those of other known
models.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 17:49:52 GMT""}]","2007-05-23"
"cond-mat/9801125","Alexander Shnirman","Alexander Shnirman and Gerd Schoen","Quantum Measurements Performed with a Single-Electron Transistor","7 pages, 4 figures, submitted to Phys. Rev. B, more numerical
  simulations done","Phys. Rev. B 57, 15400 (1998)","10.1103/PhysRevB.57.15400",,"cond-mat.mes-hall quant-ph",,"  Low-capacitance Josephson junction systems as well as coupled quantum dots,
in a parameter range where single charges can be controlled, provide physical
realizations of quantum bits, discussed in connection with quantum computing.
The necessary manipulation of the quantum states can be controlled by applied
gate voltages. In addition, the state of the system has to be read out. Here we
suggest to measure the quantum state by coupling a single-electron transistor
to the q-bit. As long as no transport voltage is applied, the transistor
influences the quantum dynamics of the q-bit only weakly. We have analyzed the
time evolution of the density matrix of the transistor and q-bit when a voltage
is turned on. For values of the capacitances and temperatures which can be
realized by modern nano-techniques the process constitutes a quantum
measurement process.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 17:59:42 GMT""},{""version"":""v2"",""created"":""Mon, 19 Jan 1998 15:25:58 GMT""},{""version"":""v3"",""created"":""Thu, 12 Feb 1998 18:26:59 GMT""}]","2007-05-23"
"cond-mat/9801126","Jens Paaske","J. Paaske, D. V. Khveshchenko","Intrinsic temperature dependences of transport coefficients within the
  hot-spot model for normal state YBCO","4 pages, LaTex, 2 EPS figures","Phys. Rev. B 57, R8127 (1998)","10.1103/PhysRevB.57.R8127",,"cond-mat.supr-con cond-mat.str-el",,"  The temperature dependences of the galvanomagnetic and thermoelectric
transport coefficients within a generic hot-spot model are reconsidered.
Despite the recent success in explaining ac Hall effect data in
YBa_{2}Cu_{3}O_{7}, a general feature of this model is a departure from the
approximately universal temperature dependences observed for normal state
transport in the optimally doped cuprates. In this paper, we discuss such
systematic deviations and illustrate some of their effects through a concrete
numerical example using the calculated band structure for YBa_{2}Cu_{3}O_{7}.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 19:24:24 GMT""}]","2007-05-23"
"cond-mat/9801127","Dr. Daniel A. Lidar","Ofer Malcai (1), Daniel A. Lidar (1,2), Ofer Biham (1) and David Avnir
  (1) ((1) Hebrew University of Jerusalem, Israel, (2) University of
  California, Berkeley, USA)","Scaling Range and Cutoffs in Empirical Fractals","15 pages, 8 figures, 1 table. This paper also contains the histograms
  relevant for ""The limited Scaling Range of Empirical Fractals"":
  http://xxx.lanl.gov/ps/cond-mat/9801038","Phys. Rev. E, vol. 56, pp. 2817-2828 (1997)","10.1103/PhysRevE.56.2817",,"cond-mat",,"  Fractal structures appear in a vast range of physical systems. A literature
survey including all experimental papers on fractals which appeared in the six
Physical Review journals (A-E and Letters) during the 1990's shows that
experimental reports of fractal behavior are typically based on a scaling range
$\Delta$ which spans only 0.5 - 2 decades. This range is limited by upper and
lower cutoffs either because further data is not accessible or due to crossover
bends. Focusing on spatial fractals, a classification is proposed into (a)
aggregation; (b) porous media; (c) surfaces and fronts; (d) fracture and (e)
critical phenomena. Most of these systems, [except for class (e)] involve
processes far from thermal equilibrium. The fact that for self similar fractals
[in contrast to the self affine fractals of class (c)] there are hardly any
exceptions to the finding of $\Delta \le 2$ decades, raises the possibility
that the cutoffs are due to intrinsic properties of the measured systems rather
than the specific experimental conditions and apparatus. To examine the origin
of the limited range we focus on a class of aggregation systems. In these
systems a molecular beam is deposited on a surface, giving rise to nucleation
and growth of diffusion-limited-aggregation-like clusters. Scaling arguments
are used to show that the required duration of the deposition experiment
increases exponentially with $\Delta$. Furthermore, using realistic parameters
for surfaces such as Al(111) it is shown that these considerations limit the
range of fractal behavior to less than two decades in agreement with the
experimental findings. It is conjectured that related kinetic mechanisms that
limit the scaling range are common in other nonequilibrium processes which
generate spatial fractals.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 02:42:46 GMT""}]","2016-08-31"
"cond-mat/9801128","Cynthia J. Olson","C. J. Olson, C. Reichhardt, and Franco Nori","Fractal Networks, Braiding Channels, and Voltage Noise in Intermittently
  Flowing Rivers of Quantized Magnetic Flux","4 pages, 3 figures. Accepted to Phys. Rev. Lett","Phys. Rev. Lett. 80, 2197 (1998).","10.1103/PhysRevLett.80.2197",,"cond-mat.supr-con",,"  We analyze the microscopic dynamics of vortex motion through channels that
form river-like fractal networks in a variety of superconducting samples, and
relate it to macroscopic measurable quantities such as the power spectrum. As a
function of pinning strength, we calculate the fractal dimension, tortuosity,
and the corresponding voltage noise spectrum. Above a certain pinning strength,
a remarkable universal drop in both tortuosity and noise power occurs when the
vortex motion changes from shifting braiding channels to unbraided channels. We
compare our results with experiments.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 02:45:08 GMT""}]","2009-10-31"
"cond-mat/9801129","Julio Abad","J. Abad and M. R\'ios","Excitations and S-matrix for su(3) spin chain combining ${3}$ and
  ${3^{*}}","17 pages, plaintex, harvmac (to be published in J. of Phys. A)",,"10.1088/0305-4470/31/10/005","DFTUZ 97-10","cond-mat hep-th",,"  The associated Hamiltonian for a su(3) spin chain combining ${3}$ and
${3^{*}}$ representations is calculated. The ansatz equations for this chain
are obtained and solved in the thermodynamic limit, and the ground state and
excitations are described. Thus, relations between the number of roots and the
number of holes in each level have been found . The excited states are
characterized by means of these quantum numbers. Finally, the exact S matrix
for a state with two holes is found.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 07:43:03 GMT""}]","2016-08-15"
"cond-mat/9801130","Ilya V. Tokatly","I. V. Tokatly","Phase transition in two-dimensional multicomponent Bose liquid: a new
  type of quasi-long-range order","4 pajes, revtex",,,"QDN-22","cond-mat.stat-mech cond-mat.soft",,"  The $\nu$-component two-dimensional (2D) Bose liquid is considered. It is
shown that the finite temperature phase transition exists in this 2D
continuously degenerate multicomponent system. The new type of quasi-long-range
order occurs as a result of this transition. The correlation function in
ordered state is a product of the power-law XY-universality class type function
and the exponential function corresponding to the $SU(\nu)$ invariant model.
The transition temperature is calculated for the diluted system. It is found
that the physical mechanism of the phase transition is changed when $\nu$
exceeds the critical value $\nu_c = 4$. The experimental realization of the
considered model is discussed briefly.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 07:54:28 GMT""}]","2007-05-23"
"cond-mat/9801131","Yu Yue","Yue Yu","A Systematic Improvement for Calculation to Conductivity in Anomalous
  Propagation of Surface Acoustic Wave at $\nu={1/2}$","4 pages, revtex, 2 figures",,,,"cond-mat",,"  We report a systematic improvement to calculate the conductivity which
associates to the anomaly of the propagation of surface acoustic waves at
$\nu={1/2}$ above a two-dimensional electron gas. We try to resolve the
discrepancy between theoretical and experimental values for the magnitude of
$\sigma_{xx}(q)$ by considering the contribution to the response functions from
the self-interaction among the Chern-Simons gauge fluctuations.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 08:44:05 GMT""}]","2007-05-23"
"cond-mat/9801132","Jean-Philippe Bouchaud","Jean-Philippe Bouchaud (Saclay), Michael Cates (Edimburg)","Triangular avalanches and uphill instabilities","submitted to `Granular Matter'",,,,"cond-mat.soft",,"  Recent experiments show that an avalanche initiated from a point source
propagates downwards by invading a triangular shaped region. The opening angle
of this triangle appears to reach 180$^o$ for a critical inclination of the
pile, beyond which avalanches also propage upwards. We propose a simple
interpretation of these observations, based on an extension of a
phenomenological model for surface flows.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 09:15:48 GMT""}]","2007-05-23"
"cond-mat/9801133","Smain Balaska","S.Balaska and W.Ruehl (U.Kaiserslautern)","Remarks on ``Coloring Random Triangulation''","6 pages, no figures, LaTeX",,,,"cond-mat",,"  We transform the two-matrix model, studied by P.Di Francesco and al., into a
normal one-matrix model by identifying a ``formal'' integral used by these
authors as a proper integral. We show also, using their method, that the
results obtained for the resolvent and the density are not reliable.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 10:49:30 GMT""}]","2007-05-23"
