"adap-org/9811002","Barbara Drossel","Barbara Drossel","A simple model for the formation of a complex organism","Final version, including more references, to appear in PRL","Phys. Rev. Lett. 82, 5144 (1999)","10.1103/PhysRevLett.82.5144",,"adap-org nlin.AO q-bio",,"  A simple model for the formation of a complex organism is introduced.
Individuals can communicate and specialize, leading to an increase in
productivity. If there are limits to the capacity of individuals to communicate
with other individuals, the individuals form groups that interact with each
other, leading to a complex organism that has interacting units on all scales.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 15:56:54 GMT""},{""version"":""v2"",""created"":""Mon, 10 May 1999 13:52:22 GMT""}]","2009-10-30"
"astro-ph/9811191","Halton Arp","Halton Arp","A QSO 2.4 arcsec from a dwarf galaxy - the rest of the story","4 pages, 3 figures, to appear in A&A Letters",,,,"astro-ph",,"  D. Reimers and H.-J. Hagen report in A&A 329, L25 (1998) that a QSO of z =
  .807 is a ""by chance projection"" on the center of a galaxy of z = .009. A
considerable amount of previously published evidence would lead us to expect an
active, low redshift galaxy within about one degree of such a quasar. It is
shown here that, in fact, there is a bright Seyfert galaxy of z = .008 only
36.9 arcmin distance. Moreover, it turns out that a total of five quasars, plus
the dwarf galaxy, are accurately aligned along the minor axis of this Seyfert
with the quasars in descending order of redshift, i.e., z = 2.13, 1.97, .81,
  .69 and .35.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 10:55:24 GMT""}]","2007-05-23"
"astro-ph/9811192","Stephane Leon","S. Leon, F. Combes and D. Friedli","Single CO Peak in NGC 5850","2 pages, including 1 figure to appear in the proceedings of ""Galaxy
  Dynamics"", Rutgers University, Aug. 8-12",,,,"astro-ph",,"  NGC 5850 is a prototype of double-barred galaxy (Friedli et al. 1996)
classified as SBb(sr) I-II (Higdon et al. 1998; Prieto et al. 1997). This kind
of system is primordial to understand the physical mechanism responsible for
feeding galaxy nuclei and boost the star formation rate. The CO(1-0) emission
has been mapped in NGC 5850, i) in the very center, using the IRAM Plateau de
Bure interferometer, to reach a 2.4\arcsec$\times$1.5\arcsec\
(PA$=$$-165^\circ$) spatial resolution, and ii) in the primary bar with the
IRAM-30m telescope, with a 22\arcsec beam. We have found CO emission in the
center of NGC 5850, located in a single peak on the northern part of the
nuclear ring. The high velocity dispersion of the molecular gas may prevent
star formation in that region. Gas simulations performed with a single bar
pattern and without the tidal influence of the companion NGC 5846 are unable to
reproduce the features observed in NGC 5850 (Combes, Leon, Friedli & Buta 1998,
in preparation). The decoupling of a second bar appears necessary. The presence
of the single molecular peak could be due to an $m=1$ mode excited by the
massive companion.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 11:23:40 GMT""}]","2007-05-23"
"astro-ph/9811193","Vladimir Usov","V.V. Usov","Reply to Comment on ""Bare quark matter surfaces of strange stars and
  $e^+e^-$ emission""","2 pages, To appear in Phys. Rev. Letters","Phys.Rev.Lett. 81 (1998) 4775","10.1103/PhysRevLett.81.4775",,"astro-ph hep-ph nucl-th",,"  I reply to A. Mitra's comment on my PRL paper ""Bare quark matter surfaces of
strange stars and $e^+e^-$ emission"". I show that his points of criticism are
not correct.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 10:47:25 GMT""}]","2009-10-31"
"astro-ph/9811194","Martin Harwit","Martin Harwit","The Cosmic Infrared Background Radiation, Star Formation Rate, and
  Metallicity","15 pages, 1 figure, accepted at Astrophysical Journal Letters",,"10.1086/311812",,"astro-ph",,"  The density of the far infrared / submillimeter (FIR/SMM) diffuse
extragalactic radiation field has recently been determined from COBE data.
Nearly simultaneously, deep FIR/SMM surveys have detected substantial numbers
of optically unidentified sources, which have led to the proposal that galaxies
and protogalaxies at red shifts z = 2 to 4 may account for an appreciable
fraction of the background. Here, I show that, if the reported radiation levels
are generated through nucleosynthesis, most of this energy must have been
produced at epochs $z \lesssim 2$. Hubble Deep Field data cited by Madau et al.
(1998) indicate that the bulk of the integrated extragalactic background must
have been generated even more recently at $z < 1$.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 11:09:17 GMT""}]","2009-10-31"
"astro-ph/9811195","Ohad Shemmer","Ohad Shemmer and Shai Kaspi (School of Physics and Astronomy and the
  Wise Observatory, Tel-Aviv University, Tel-Aviv, Israel)","The Discovery of a Nearby M Dwarf","10 pages, latex, including 3 ps figures, accepted for publication in
  'THE OBSERVATORY'",,,,"astro-ph",,"  We report the discovery of a nearby M dwarf star, found accidentally while
observing the old nova DN Gem at the Wise Observatory. The star is designated
1200-05296925 in the PMM USNO-A1.0 catalogue and its coordinates, calculated
for 1997 November 27 are: RA=6 55 05.13 Dec = +32 09 54.1 (Equinox J2000, Epoch
J1997.90). Astrometric measurements for the star yielded a yearly proper motion
rate of 0.155$\pm$0.002 arcseconds in right ascension and negligible yearly
proper motion rate in declination. The apparent V magnitude of the star was
measured as m_V=13.87$\pm$0.16 mag and spectral identification yielded a
spectral type of M3.5Ve$\pm$0.5 subclasses. Using relations between spectral
type and absolute V magnitude in M dwarfs, we arrive at an absolute magnitude
of M_V=12.3^{+1.2}_{-1.1} mag, which corresponds to a distance of
21^{+15}_{-10} pc.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 11:27:37 GMT""}]","2007-05-23"
"astro-ph/9811196","Arnon Dar","Arnon Dar","Comment on ``Cosmological Gamma Ray Bursts and the Highest Energy Cosmic
  Rays''","Comment on a letter with the above title published by E. Waxman in
  PRL 75, 386 (1995). Submitted for publication in PRL/Comments","Phys.Rev.Lett.76:3878-3879,1996","10.1103/PhysRevLett.76.3878",,"astro-ph",,"  In a letter with the above title, published some time ago in PRL, Waxman made
the interesting suggestion that cosmological gamma ray bursts (GRBs) are the
source of the ultra high energy cosmic rays (UHECR). This has also been
proposed independently by Milgrom and Usov and by Vietri. However, recent
observations of GRBs and their afterglows and in particular recent data from
the Akeno Great Air Shwoer Array (AGASA) on UHECR rule out extragalactic GRBs
as the source of UHECR.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 11:54:20 GMT""}]","2010-11-30"
"astro-ph/9811197","Xu Ren Xin","Ren Xin Xu (1, and 3), G. J. Qiao (2, 1 and 3) ((1) Department of
  Geophysics, Peking University, Beijing, P. R. China, (2) CCAST (World
  Laboratory), Beijing, P. R.China, (3) CAS-PKU Joint Beijing Astrophysics
  Center, Beijing, P. R. China)","The `bare' strange stars might not be bare","11 pages, 1 Postscript figures, LaTeX, Chin. Phys. Lett. 1998,
  Vol.15, Nov.12, p.934","Chin.Phys.Lett. 15 (1998) 934-936","10.1088/0256-307X/15/12/026",,"astro-ph",,"  It is proposed that the `bare' strange matter stars might not be bare, and
radio pulsars might be in fact `bare' strange stars. As strange matter stars
being intensely magnetized rotate, the induced unipolar electric fields would
be large enough to construct magnetospheres. This situation is very similar to
that discussed by many authors for rotating neutron stars. Also, the strange
stars with accretion crusts in binaries could act as X-ray pulsars or X-ray
bursters. There are some advantages if radio pulsars are `bare' strange stars.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 13:58:03 GMT""}]","2015-06-24"
"astro-ph/9811198","Red Hat Linux User","A. Merloni, M. Vietri, L. Stella, D. Bini","On gravitomagnetic precession around black holes","Accepted for publication in MNRAS. MN-Latex, 2 figures",,"10.1046/j.1365-8711.1999.02307.x",,"astro-ph",,"  We compute exactly the Lense-Thirring precession frequency for point masses
in the Kerr metric, for arbitrary black hole mass and specific angular
momentum. We show that this frequency, for point masses at or close to the
innermost stable orbit, and for holes with moderate to extreme rotation, is
less than, but comparable to the rotation frequency. Thus, if the quasi
periodic oscillations (QPOs) observed in the modulation of the X-ray flux from
some black holes candidates are due to Lense-Thirring precession of orbiting
material, we predict that a separate, distinct QPO ought to be observed in each
object.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 15:42:14 GMT""}]","2009-10-31"
"cond-mat/9811145","Sharon C. Glotzer","Claudio Donati, Sharon C. Glotzer and Peter H. Poole","Growing spatial correlations of particle displacements in a simulated
  liquid on cooling toward the glass transition",,,"10.1103/PhysRevLett.82.5064",,"cond-mat.soft",,"  We define a correlation function that quantifies the spatial correlation of
single-particle displacements in liquids and amorphous materials. We show for
an equilibrium liquid that this function is related to fluctuations in a bulk
dynamical variable. We evaluate this function using computer simulations of an
equilibrium glass-forming liquid, and show that long range spatial correlations
of displacements emerge and grow on cooling toward the mode coupling critical
temperature.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 21:12:52 GMT""}]","2009-10-31"
"cond-mat/9811151","Rob Seviour","A.F. Volkov, V.V. Pavlovskii and R. Seviour","Proximity-induced transport in hybrid mesoscopic normal-superconducting
  metal structures","8 pages, 5 figures, with added refrences",,"10.1006/spmi.1999.0749",,"cond-mat.supr-con",,"  Using an approach based on quasiclassical Green's functions we present a
theoretical study of transport in mesoscopic S/N structures in the diffusive
limit. The subgap conductance in S/N structures with barriers (zero bias and
finite bias anomalies) are discused. We also analyse the temperature dependence
of the conductance variation $\delta S(T)$ for a Andreev interferometer. We
show that besides the well know low temperature maximum a second maximum near
$T_c$ may appear. We present the results of studies on the Josephson effect in
4 terminal S/N/S contacts and on the possible sign reversal of the Josephson
critical current.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 17:55:12 GMT""},{""version"":""v2"",""created"":""Thu, 26 Nov 1998 18:23:35 GMT""}]","2009-10-31"
"cond-mat/9811159","Franco Bagnoli","F. Bagnoli, R. Rechtman and S. Ruffo","Damage spreading and Lyapunov exponents in cellular automata",,"Phys. Lett. A 172, 34-38 (1992)","10.1016/0375-9601(92)90185-O",,"cond-mat.stat-mech",,"  Using the concept of the Boolean derivative we study damage spreading for one
dimensional elementary cellular automata and define their maximal Lyapunov
exponent. A random matrix approximation describes quite well the behavior of
``chaotic'' rules and predicts a directed percolation-type phase transition.
After the introduction of a small noise elementary cellular automata reveal the
same type of transition.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 16:36:41 GMT""}]","2007-05-23"
"cond-mat/9811160","Pratip Bhattacharyya","Pratip Bhattacharyya","Growth of surfaces generated by a probabilistic cellular automaton","17 pages text (LaTeX) + 14 figures (PostScript). To appear in Int. J.
  Mod. Phys. C (1999)",,"10.1142/S0129183199000115",,"cond-mat.stat-mech",,"  A one-dimensional cellular automaton with a probabilistic evolution rule can
generate stochastic surface growth in $(1 + 1)$ dimensions. Two such discrete
models of surface growth are constructed from a probabilistic cellular
automaton which is known to show a transition from a active phase to a
absorbing phase at a critical probability associated with two particular
components of the evolution rule. In one of these models, called model $A$ in
this paper, the surface growth is defined in terms of the evolving front of the
cellular automaton on the space-time plane. In the other model, called model
$B$, surface growth takes place by a solid-on-solid deposition process
controlled by the cellular automaton configurations that appear in successive
time-steps. Both the models show a depinning transition at the critical point
of the generating cellular automaton. In addition, model $B$ shows a kinetic
roughening transition at this point. The characteristics of the surface width
in these models are derived by scaling arguments from the critical properties
of the generating cellular automaton and by Monte Carlo simulations.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 17:19:30 GMT""},{""version"":""v2"",""created"":""Wed, 18 Nov 1998 08:40:53 GMT""}]","2015-06-25"
"cond-mat/9811161","Dan M. Stamper-Kurn","H.-J. Miesner, D.M. Stamper-Kurn, J. Stenger, S. Inouye, A. Chikkatur,
  and W. Ketterle","Observation of metastable states in spinor Bose-Einstein condensates","3 figures included in paper, fourth figure separate",,"10.1103/PhysRevLett.82.2228",,"cond-mat",,"  Bose-Einstein condensates have been prepared in long-lived metastable excited
states. Two complementary types of metastable states were observed. The first
is due to the immiscibility of multiple components in the condensate, and the
second to local suppression of spin-relaxation collisions. Relaxation via
re-condensation of non-condensed atoms, spin relaxation, and quantum tunneling
was observed. These experiments were done with F=1 spinor Bose-Einstein
condensates of sodium confined in an optical dipole trap.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 17:52:20 GMT""}]","2009-10-31"
"cond-mat/9811162","Angeles Rodriguez","M. A. R. de Cara, O. Pla, F. Guinea","Competition, efficiency and collective behavior in the ""El Farol"" bar
  model","7 pages Latex, 7 Postscript figures; changed reference,
  acknowledgments included. Accepted for publication in Europen Physics Journal
  B","The European Physical Journal B 10, 187 (1999)","10.1007/s100510050843",,"cond-mat.stat-mech adap-org nlin.AO",,"  The El Farol bar model, proposed to study the dynamics of competition of
agents in a variety of contexts (W. B. Arthur, Amer. Econ. Assoc. Pap. and
Proc. 84, 406 (1994)) is studied. We characterize in detail the three regions
of the phase diagram (efficient, inefficient and better than random) of the
simplest version of the model (D. Challet and Y.-C. Zhang, Physica A, 246, 407
(1997)). The efficient region is shown to have a rich structure, which is
investigated in some detail. Changes in the payoff function enhance further the
tendency of the model towards a wasteful distribution of resources.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 19:41:53 GMT""},{""version"":""v2"",""created"":""Tue, 12 Jan 1999 17:56:12 GMT""}]","2009-10-31"
"cond-mat/9811163","Fernando Fagundes Ferreira","F. F. Ferreira and J. F. Fontanari","Statistical Mechanics Analysis of the Continuous Number Partitioning
  Problem","9 pages, 1 figure",,"10.1016/S0378-4371(99)00079-5",,"cond-mat.stat-mech",,"  The number partitioning problem consists of partitioning a sequence of
positive numbers ${a_1,a_2,..., a_N}$ into two disjoint sets, ${\cal A}$ and
${\cal B}$, such that the absolute value of the difference of the sums of $a_j$
over the two sets is minimized. We use statistical mechanics tools to study
analytically the Linear Programming relaxation of this NP-complete integer
programming. In particular, we calculate the probability distribution of the
difference between the cardinalities of ${\cal A}$ and ${\cal B}$ and show that
this difference is not self-averaging.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 19:44:06 GMT""},{""version"":""v2"",""created"":""Thu, 12 Nov 1998 20:13:39 GMT""}]","2009-10-31"
"cond-mat/9811164","Jose P. Rodriguez","J. P. Rodriguez and Emilio Artacho","Metallic Surface Reconstruction Driven by Frustrated Antiferromagnetism","11 pages of PLAIN TeX, 2 postscript figures, to appear in Physical
  Review B",,"10.1103/PhysRevB.59.R705",,"cond-mat.str-el",,"  A magnetic origin for the honeycomb reconstruction of metallic surfaces with
three-fold symmetry like Pb/Ge (111) is proposed. Assuming that the groundstate
is an antiferromagnetic insulator over the triangular lattice of adatom sites
(Pb), we demonstrate that the former is simultaneously unstable to canting and
to a structural distortion if the surface is soft enough. We therefore predict
a net magnetization over the reconstructed surface at sufficiently low
temperature.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 20:20:57 GMT""}]","2009-10-31"
