"astro-ph/9811422","Ibrahim Arbab Arbab","Arbab I.Arbab","Primordial Black Holes With Variable Gravity","A more revised version",,,,"astro-ph gr-qc",,"  We have studied the evolution of primordial black holes (PBHs) in a universe
with a variable gravitational constant and bulk viscosity. We have found that
the strength of gravity has changed appreciably in the early universe. The
gravitational constant attained its greatest value at t=10^{-23} sec after the
Big Bang. PBHs formed at the GUT and electroweak epochs would have masses about
$1.85\times 10^9 g$ and $1.8\times 10^{-7} g$ respectively. Their temperatures
when they explode are $6\times 10^8K$ and 6 K respectively. PBHs formed during
nuclear epoch are hard to detect at the present time. The gravitational
constant ($G$) is found to increase as $G\propto t^2$ in the radiation epoch.
The gamma rays bursts (GRBs) may have their origin in the evaporation of the
PBHs formed during GUT time.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 22:43:21 GMT""},{""version"":""v2"",""created"":""Mon, 30 Nov 1998 22:59:17 GMT""},{""version"":""v3"",""created"":""Thu, 3 Dec 1998 17:07:32 GMT""},{""version"":""v4"",""created"":""Mon, 14 Jun 1999 16:09:42 GMT""}]","2007-05-23"
"astro-ph/9811433","Juergen Kerp","J. Kerp (1), P.M.W. Kalberla (1), M.J. Freyberg (2), Dap Hartmann (1)
  and W.B. Burton (3) ((1) Radioastronomisches Institut der Uni Bonn, (2)
  Max-Planck-Institut fuer extraterrestrische Physik, (3) Sterrewacht Leiden)","Soft X-rays from High-Velocity Clouds","3 pages, 5 figures, to be published in ""Highlights in X-ray
  Astronomy"" in honour of Joachim Truemper's 65th birthday",,,,"astro-ph",,"  The ROSAT mission gave us the unique possibility to study the galactic
interstellar medium by ``shadowing'' observations on arcmin angular resolution
level. The high sensitivity of the ROSAT PSPC in combination with the large
field of view allows the detailed study of individual clouds, while the ROSAT
all-sky survey is the main source for studies of the large-scale intensity
distribution of the diffuse soft X-ray emission.
  We show that neutral hydrogen clouds are associated with soft X-ray emission,
E(X-ray) < 3/4 keV. These neutral hydrogen clouds, known as high-velocity
clouds (HVCs), are located partly within the galactic halo, and partly in
intergalactic space. The ROSAT detection of soft X-ray emission from some of
these HVCs is the first detection of HVCs in emission other than HI 21-cm line
radiation.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 09:27:22 GMT""}]","2007-05-23"
"astro-ph/9811435","Juergen Kerp","P.M.W. Kalberla (1), J. Kerp (1), U. Haud (2) ((1) Radioastronomisches
  Institut Uni Bonn (2) Tartu Observatory)","HVCs probing a gaseous Galactic halo","10 pages, 4 figures, to be published in the Proceedings of the
  Stromlo Workshop on High-Velocity Clouds",,,"ASP Conference Series, Vol. 666, Eds., B.K. Gibson and M.E. Putman","astro-ph",,"  We study the hypothesis that high-velocity clouds (HVCs) may originate from
instabilities within the gaseous phase of the Galactic halo. According to the
hydrostatic equilibrium model of Kalberla & Kerp (1998), we determine the
probability distribution of occurrence of instabilities within the Galactic
halo. Instabilities may produce condensations within the Galactic halo beyond a
z-distances of 4 kpc, which are accelerated by gravity and decelerated by
drag-forces. We present evidence that the HI high-velocity dispersion
component, discovered by Kalberla et al. (1998) is associated with
high-velocity-halo gas. The physical properties of this high-velocity-halo gas
are similar to the recently detected highly-ionized HVCs by Sembach et al.
(1995, 1998). Accordingly, the HI high-velocity dispersion component may be the
neutral tracer of the turbulent gas motions within the Galactic halo. Our
calculations demonstrate, that the sky-averaged signal of in-falling
condensations does not differ significantly from the HI emission of the
turbulent Galactic halo gas.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 12:08:35 GMT""}]","2007-05-23"
"astro-ph/9811436","Didier Barret","J.F. Olive (CESR, Toulouse), D. Barret (CESR, Toulouse), L. Boirin
  (CESR, Toulouse), J.E. Grindlay (Harvard U., Cambridge)","RXTE Broad Band X-ray Spectrum of the Burster 1E1724-3045","Submitted for publication in Advances in Space Research, Proc. of the
  32nd COSPAR Meeting held in Nagoya, 12-15 July, 1998, ""Broad band Spectra of
  Cosmic X-ray sources"", 6 pages, 2 figures",,,"CESR-98-04","astro-ph",,"  The X-ray burster 1E1724-3045 located in the globular cluster Terzan 2 is
known as one of the persistent (though variable) hard X-ray sources as shown by
the SIGMA observations of the Galactic Center region. 1E1724-3045 was observed
with the PCA and HEXTE experiments onboard the RXTE on November 1996 for about
100 ksec. The broad band spectral capability and sensitivity of RXTE enables us
to study simultaneously the X-ray (2-20 keV) and hard X-ray components (E>20
keV) of this source. During the observation, this ``Atoll'' source was in its
``Island'' state characterized by a hard Comptomized spectrum with an electron
temperature kTe~29 keV, an optical depth of 2.9 (spherical geometry) and a
temperature for the ``seed'' photons of 1.2 keV. Below 5 keV, there is a soft
excess which we fit with a blackbody of kTbb=0.7 keV. The Comptonization
temperature is significantly lower those observed for black holes candidates in
their low luminosity states (kTe >~ 50 keV). Finally, our observation allows us
to associate the presence of an hard tail with a low luminosity X-ray state
(1-20 keV luminosity of 10^37 erg/s at 7.7 kpc).
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 12:19:39 GMT""}]","2007-05-23"
"astro-ph/9811438","Juergen Kerp","P.M.W. Kalberla, J. Kerp (Radioastronomisches Institut der Uni Bonn)","The gaseous Milky Way Halo","10 pages, 2 figures, to be published in the Proceedings of the
  Stromlo Workshop on High-Velocity Clouds",,,"ASP Conference Series, Vol. 666, Eds., B.K. Gibson and M.E. Putman","astro-ph",,"  In 1998 several papers claim the detection of an ubiquitous gaseous phase
within the Galactic halo. Here we like to focus on the detections of X-ray
emitting gas within the Galactic halo as well as the discovery of a pervasive
neutral Galactic halo gas. We discuss critically the major differences between
the recent publications as well as the limitations of the analyses.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 12:41:31 GMT""}]","2007-05-23"
"astro-ph/9811439","Juergen Kerp","P.M.W. Kalberla, J. Kerp (Radioastronomisches Institut der Uni Bonn)","Hydrostatics of the Galactic Halo","6 pages, 5 figures, to be published in the Proceedings of ""The Third
  Stromlo Symposium: The Galactic Halo""",,,"ASP Conference Series, Vol. 666, Eds. B.K. Gibson, T.S., Axelrod,
  M.K. Putman","astro-ph",,"  We investigated a hydrostatic equilibrium model of the Milky Way following
Parker (1966), to constrain the large scale properties of the interstellar
medium. In our approach we found an excellent agreement between our simple
hydrostatic equilibrium model of the Milky Way and the recent all-sky survey
data rangeing from the gamma-ray to the radio regime. On large scales the
galactic disk-halo system is found to be stable against Parker-instabilities.
Pressure support from the Galactic disk is essential to stabilise the halo. In
particular the diffuse ionised gas layer acts as a disk-halo interface.
Assuming that the distribution of the soft X-ray emitting plasma traces the
gravitational potential, we derived the dark matter content of the Milky Way to
be about M ~ 2.8 10^11 M_o. Our findings are consistent with the rotation curve
of the Galaxy.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 13:05:19 GMT""}]","2007-05-23"
"astro-ph/9811440","Paul P. van der Werf","Paul P. van der Werf, D.L. Clements, P.A. Shaver, and M.R.S. Hawkins","Discovery of distant high luminosity infrared galaxies","6 pages, accepted for publication in A&A",,,,"astro-ph",,"  We have developed a method for selecting the most luminous galaxies detected
by IRAS based on their extreme values of R, the ratio of 60 micron and B-band
luminosity. These objects have optical counterparts that are close to or below
the limits of Schmidt surveys. We have tested our method on a 1079 deg^2 region
of sky, where we have selected a sample of IRAS sources with 60 micron flux
densities greater than 0.2 Jy, corresponding to a redshift limit z~1 for
objects with far-IR luminosities of 10^{13} L_sun. Optical identifications for
these were obtained from the UK Schmidt Telescope plates, using the likelihood
ratio method. Optical spectroscopy has been carried out to reliably identify
and measure the redshifts of six objects with very faint optical counterparts,
which are the only objects with R>100 in the sample. One object is a
hyperluminous infrared galaxy (HyLIG) at z=0.834. Of the remaining, fainter
objects, five are ultraluminous infrared galaxies (ULIGs) with a mean redshift
of 0.45, higher than the highest known redshift of any non-hyperluminous ULIG
prior to this study. High excitation lines reveal the presence of an active
nucleus in the HyLIG, just as in the other known infrared-selected HyLIGs. In
contrast, no high excitation lines are found in the non-hyperluminous ULIGs. We
discuss the implications of our results for the number density of HyLIGs at z<1
and for the evolution of the infrared galaxy population out to this redshift,
and show that substantial evolution is indicated. Our selection method is
robust against the presence of gravitational lensing if the optical and
infrared magnification factors are similar, and we suggest a way of using it to
select candidate gravitationally lensed infrared galaxies.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 13:20:24 GMT""}]","2007-05-23"
"astro-ph/9811441","Osmi Vilhu","Osmi Vilhu","Super-Eddington accretion in GRS 1915+105","to appear in High Energy Phenomena in Accreting Black Holes (eds. J.
  Poutanen and R. Svensson), PASP conf.ser. 1999",,,,"astro-ph",,"  Classical modelling suggests that, during the RXTE observations studied, GRS
1915+105 was near or above the critical accretion rate and the optically thick
inner disk penetrated inside the advection-dominated flow. The system was very
unstable leading to a rich pattern of variability, e.g. the Rings which might
be characteristic to disk instabilities very close to the innermost stable
orbit (Vilhu and Nevalainen, 1998, ApJ 508, L85). Small values of R_in obtained
require a rapidly rotating Kerr hole, unless the central mass is smaller than
2-3 solar masses. A thermal sombrero provides a reasonable modelling of the
rings, although the broad-band RXTE/OSSE spectrum analysed seems to require a
significant injection of relativistic electrons, the hot phase being not a pure
thermal one. Observations below 2 keV and simultaneous broad-band spectra
between 2--400 keV are needed to better fix the size of the black body disk and
the role of relativistic injection. Further, theoretical work on emerging
spectra of Kerr-holes is required to replace the classical model used.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 14:16:58 GMT""}]","2007-05-23"
"chao-dyn/9812001","Martin Greiner","B. Jouault, M. Greiner, and P. Lipa","Fix-point Multiplier Distributions in Discrete Turbulent Cascade Models","14 pages, 17 figures, subm. to Physica D",,,,"chao-dyn nlin.CD",,"  One-point time-series measurements limit the observation of three-dimensional
fully developed turbulence to one dimension. For one-dimensional models, like
multiplicative branching processes, this implies that the energy flux from
large to small scales is not conserved locally. This then renders the random
weights used in the cascade curdling to be different from the multipliers
obtained from a backward averaging procedure. The resulting multiplier
distributions become solutions of a fix-point problem. With a further
restoration of homogeneity, all observed correlations between multipliers in
the energy dissipation field can be understood in terms of simple
scale-invariant multiplicative branching processes.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 09:40:12 GMT""}]","2007-05-23"
"chao-dyn/9812002","Frederic Moisy","F. Moisy, P. Tabeling, H. Willaime (Laboratoire de Physique
  Statistique, Ecole Normale Superieure, Paris (France))","Kolmogorov equation in fully developed turbulence","4 pages, 4 figures, RevTex",,"10.1103/PhysRevLett.82.3994","LPS-ENS/D22-98-11","chao-dyn nlin.CD",,"  The Kolmogorov equation with a forcing term is compared to experimental
measurements, in low temperature helium gas, in a range of microscale Reynolds
numbers $R_{\lambda}$ between 120 and 1200. We show that the relation is
accurately verified by the experiment (i.e. within +/- 3 % relative error, over
ranges of scales extending up to three decades). Two scales are extracted from
the analysis, and revealed experimentally, one characterizing the external
forcing, and the other, varying as $R_{\lambda}^{-3/5}$, defining the position
of the maximum of the function $- S_{3}(r)/r$, and for which a physical
interpretation is offered.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 15:03:29 GMT""}]","2009-10-31"
"cond-mat/9811376","Piguet C.-A.","N. Macris and C.-A. Piguet","Coexistence of long-range order for two observables at finite
  temperatures","12 pages, accepted for publication in J. of Phys. A",,"10.1088/0305-4470/32/5/007",,"cond-mat.stat-mech",,"  We give a criterion for the simultaneous existence or non existence of two
long-range orders for two observables, at finite temperatures, for quantum
lattice many body systems. Our analysis extends previous results of G.-S. Tian
limited to the ground state of similar models. The proof involves an inequality
of Dyson-Lieb-Simon which connects the Duhamel two-point function to the usual
correlation function. An application to the special case of the Holstein model
is discussed.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 16:08:34 GMT""}]","2009-10-31"
"cond-mat/9811377","Arindam Ghosh","Arindam Ghosh(1), A. K. Raychaudhuri, R. Sreekala, M. Rajeswari and T.
  Venkatesan ((1) Indian Institute of Science, Bangalore, India)","Kinetics of electric field induced oxygen ion migration in epitaxial
  metallic oxide films","8 pages, 3 figures",,,,"cond-mat.dis-nn cond-mat.mtrl-sci",,"  In this paper we report the observation of curent induced change of
resistance of thin metallic oxide films. The resistance changes at a very low
current (current density $J \geq 10^{3}$ A/cm$^{2}$). We find that the time
dependence associated with the processes (increase of resistance) show a
streched exponential type dependence at lower temperature, which crosses over
to a creep type behavior at $T \geq$ 350 K. The time scale associated shows a
drastic drop in the magnitude at $T \approx$ 350 K, where a long range
diffusion sets in increasing the conductivity noise. The phenomena is like a
""glass-transition"" in the random lattice of oxygen ions.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 16:30:38 GMT""}]","2007-05-23"
"cond-mat/9811378","Horacio M. Cataldo","H. M. Cataldo","Stability of a hard-sphere binary quasicrystal","14 pages, 6 eps figures included. Revised version to appear in Phil.
  Mag. B","Phil. Mag. B 79, 1603 (1999)","10.1080/13642819908218325",,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  The stability of a quasicrystalline structure, recently obtained in a
molecular-dynamics simulation of rapid cooling of a binary melt, is analyzed
for binary hard-sphere mixtures within a density-functional approach. It is
found that this quasicrystal is metastable relative to crystalline and fluid
phases for diameter ratios above 0.83. Such trend is partially reversed for
lower diameter ratios, since the quasicrystal becomes stable with respect to
the crystal but does not reach a coexistence with the fluid.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 21:31:38 GMT""},{""version"":""v2"",""created"":""Wed, 19 May 1999 01:04:34 GMT""}]","2017-02-08"
"cond-mat/9811379","Lavagna","C. Pepin, M. Lavagna","Spin Dynamics near the Quantum Critical Point of Heavy-Fermions","6 pages, 1 figure, Proceedings of the SCES98'Conference, Paris, july
  98 to appear in Physics B (1999)",,"10.1016/S0921-4526(98)00860-6",,"cond-mat.str-el",,"  The dynamical spin susceptibility is studied in the magnetically-disordered
phase of heavy-Fermion systems near the antiferromagnetic quantum phase
transition. In the framework of the $S=1/2$ Kondo lattice model, we introduce a
perturbative expansion treating the spin and Kondo-like degrees of freedom on
an equal footing. The general expression of the dynamical spin susceptibility
that we derive presents a two-component behaviour: a quasielastic peak as in a
Fermi liquid theory, and a strongly q-dependent inelastic peak typical of a
non-Fermi liquid behaviour. Very strikingly, the position of the inelastic peak
is found to be pushed to zero at the antiferromagnetic transition with a
vanishing relaxation rate. The comparison has been quantitatively made with
Inelastic Neutron Scattering (INS) experiments performed in $CeCu_{6}$ and
$Ce_{1-x}La_{x}Ru_{2}Si_{2}$. The excellent agreement that we have found gives
strong support to a two-band model with new prospects for the study of the
quantum critical phenomena in the vicinity of the magnetic phase transition.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 17:08:21 GMT""}]","2009-10-31"
