"adap-org/9809003","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Autocatalytic Sets and the Growth of Complexity in an Evolutionary Model","13 pages REVTEX (including figures), 4 Postscript figures",,"10.1103/PhysRevLett.81.5684","IISc-CTS/9/98","adap-org cond-mat nlin.AO",,"  A model of $s$ interacting species is considered with two types of dynamical
variables. The fast variables are the populations of the species and slow
variables the links of a directed graph that defines the catalytic interactions
among them. The graph evolves via mutations of the least fit species. Starting
from a sparse random graph, we find that an autocatalytic set (ACS) inevitably
appears and triggers a cascade of exponentially increasing connectivity until
it spans the whole graph. The connectivity subsequently saturates in a
statistical steady state. The time scales for the appearance of an ACS in the
graph and its growth have a power law dependence on $s$ and the catalytic
probability. At the end of the growth period the network is highly non-random,
being localized on an exponentially small region of graph space for large $s$.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 05:02:32 GMT""}]","2009-10-30"
"astro-ph/9809220","Geoffrey C. Bower","Geoffrey C. Bower, Donald C. Backer","Space VLBI Observations Show $T_b > 10^{12} K$ in the Quasar NRAO 530","12 pages, 2 figures. Accepted for publication in ApJ Letters",,"10.1086/311701",,"astro-ph",,"  We present here space-based VLBI observations with VSOP and a southern
hemisphere ground array of the gamma-ray blazar NRAO 530 at 1.6 GHz and 5 GHz.
The brightness temperature of the core at 1.6 GHz is $5 \times 10^{11}$ K. The
size is near the minimum observable value in the direction of NRAO~530 due to
interstellar scattering. The 5 GHz data show a single component with a
brightness temperature of $\sim 3 \times 10^{12}$ K, significantly in excess of
the inverse Compton limit and of the equipartition brightness temperature limit
(Readhead 1994). This is strong evidence for relativistic motion in a jet
requiring model-dependent Doppler boosting factors in the range 6 to 60. We
show that a simple homogeneous sphere probably does not model the emission
region accurately. We favor instead an inhomogeneous jet model with a Doppler
boosting factor of 15.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 22:38:15 GMT""}]","2009-10-30"
"astro-ph/9809221","Eric Tittley","R. J. Thacker (1,2), E. R. Tittley (2), F. R. Pearce (3), H. M. P.
  Couchman (2), P. A. Thomas (4) ((1) Univ. of Alberta, (2) Univ. of Western
  Ontario, (3) Univ. of Durham, (4) Univ. of Sussex)","Smoothed Particle Hydrodynamics in cosmology: a comparative study of
  implementations","30 pages, 26 figures and 9 tables included. Submitted to MNRAS.
  Postscript version available at
  ftp://phobos.astro.uwo.ca/pub/etittley/papers/sphtest.ps.gz","Mon.Not.Roy.Astron.Soc. 319 (2000) 619","10.1046/j.1365-8711.2000.03927.x",,"astro-ph",,"  We analyse the performance of twelve different implementations of Smoothed
Particle Hydrodynamics (SPH) using seven tests designed to isolate key
hydrodynamic elements of cosmological simulations which are known to cause the
SPH algorithm problems. In order, we consider a shock tube, spherical adiabatic
collapse, cooling flow model, drag, a cosmological simulation, rotating
cloud-collapse and disc stability. In the implementations special attention is
given to the way in which force symmetry is enforced in the equations of
motion. We study in detail how the hydrodynamics are affected by different
implementations of the artificial viscosity including those with a
shear-correction modification. We present an improved first-order
smoothing-length update algorithm that is designed to remove instabilities that
are present in the Hernquist and Katz (1989) algorithm.
  For all tests we find that the artificial viscosity is the most important
factor distinguishing the results from the various implementations. The second
most important factor is the way force symmetry is achieved in the equation of
motion. Most results favour a kernel symmetrization approach. The exact method
by which SPH pressure forces are included has comparatively little effect on
the results. Combining the equation of motion presented in Thomas and Couchman
(1992) with a modification of the Monaghan and Gingold (1983) artificial
viscosity leads to an SPH scheme that is both fast and reliable.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 23:50:56 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 18:12:21 GMT""}]","2009-10-30"
"astro-ph/9809222","Shen","K. Y. Lo (1), Z.-Q. Shen (1,2,3), J.-H. Zhao (4) and P. T. P. Ho (4)
  ((1) ASIAA, Taipei, (2) Shanghai Obs, Shanghai (3) NAOJ, Mitaka (4) CfA,
  Cambridge, MA)","Intrinsic Size OF Sgr A*: 72 Schwarzschild Radii","15 pages including 2 ps figures and 1 table, to appear in ApJ Letters",,"10.1086/311726",,"astro-ph",,"  Recent proper motion studies of stars at the very center of the Galaxy
strongly suggest that Sagittarius (Sgr) A*, the compact nonthermal radio source
at the Galactic Center, is a 2.5 million solar mass black hole. By means of
near-simultaneous multi-wavelength Very Long Baseline Array measurements, we
determine for the first time the intrinsic size and shape of Sgr A* to be 72
Rsc by < 20 Rsc, with the major axis oriented essentially north-south, where
Rsc (= 7.5 x 10^{11} cm) is the Schwarzschild radius for a 2.5 million solar
mass black hole. Contrary to previous expectation that the intrinsic structure
of Sgr A* is observable only at wavelengths shorter than 1 mm, we can discern
the intrinsic source size at 7 mm because (1) the scattering size along the
minor axis is half that along the major axis, and (2) the near simultaneous
multi-wavelength mapping of Sgr A* with the same interferometer makes it
possible to extrapolate precisely the minor axis scattering angle at 7 mm. The
intrinsic size and shape place direct constraints on the various emission
models for Sgr A*. In particular, the advection dominated accretion flow model
may have to incorporate a radio jet in order to account for the structure of
Sgr A*.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 02:57:51 GMT""}]","2009-10-30"
"astro-ph/9809223","Zoltan Haiman","Zoltan Haiman (Fermilab/CfA) and Marco Spaans (CfA)","Models for Dusty Lyman alpha Emitters at High Redshift","16 pages, 4 figures, submitted to ApJ","Astrophys.J.518:138-144,1999","10.1086/307276",,"astro-ph",,"  Models are presented for the Lyman alpha emission of dusty high-redshift
galaxies by combining the Press-Schechter formalism with a treatment of the
inhomogeneous dust distribution inside galaxies. It is found that the amount of
Lyman alpha radiation escaping from the galaxies strongly depends on the time
over which the dust is produced through stellar activity, and on the ambient
inhomogeneity of the HII regions that surround the ionizing OB stars. Good
agreement is found with recent observations, as well as previous
non-detections. Our models indicate that the dust content builds up in no more
than approximately 5x10^8 yr, the galactic HII regions are inhomogeneous with a
cloud covering factor of order unity, and the overall star formation efficiency
is at least about 5%. It is predicted that future observations can detect these
Lyman alpha galaxies upto redshifts of about 8.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 04:26:53 GMT""}]","2008-11-26"
"astro-ph/9809225","Tapas K. Das","Tapas K. Das","On the Formation and Dynamics of Mass Outflux from Matter Accreting onto
  Compact Objects","13 Latex pages including 4 figures in postscript format",,,,"astro-ph",,"  Active galaxies and quasers are believed to harbour Black Holes at their
centers and at the same time produce cosmic radio jets through which immense
amount of matter and energy are ejected out of the core of the galaxy. In our
work we compute the mass outflow rates from advective accretion disks around
black holes, which, in principal could explain the origin of jet formation in
self-consistent manner. These computations are done using combinations of exact
transonic inflow and outflow solutions which may or may not form shock waves.
The approach of our calculation is somewhat different from that used in the
literature so far. Our work for the first time connects the accretion type and
wind type topologies self consistently. Our result, in general, matches with
numerical simulation works and successfully points out to non-steady behavior
which may evacuate the disk producing quiescene states.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 07:57:26 GMT""}]","2007-05-23"
"astro-ph/9809226","Claudio Arlandini","C. Arlandini, F. Kaeppeler, K. Wisshak, R. Gallino, M. Lugaro, M.
  Busso, O. Straniero","s-process nucleosynthesis of 142^Nd: crisis of the classical model","4 pages, 3 figures. To appear in 'Nuclei in the Cosmos 1998'
  proceedings, (Volos, July 5 - 12, 1998)",,,,"astro-ph",,"  The recently improved information on the stellar neutron capture cross
sections of neutron magic nuclei at N = 82, and in particular for 142^Nd,
turned out to represent a sensitive test for models of s-process
nucleosynthesis. While these data were found to be incompatible with the
classical approach, they provide significantly better agreement between the
observed abundance distribution and the predictions of models for low mass AGB
stars.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 11:52:48 GMT""}]","2007-05-23"
"astro-ph/9809227","Jos de Bruijne","P.T. de Zeeuw (1), R. Hoogerwerf (1), J.H.J. de Bruijne (1), A.G.A.
  Brown (2), A. Blaauw (1,3) ((1) Sterrewacht Leiden, Leiden, (2) Instituto de
  Astronomia U.N.A.M., Ensenada, Mexico, (3) Kapteyn Astronomical Institute,
  Groningen)","A Hipparcos census of the nearby OB associations","51 pages, 30 PostScript figures, 6 tables in PostScript format,
  default LaTeX using psfig.sty; accepted for publication in the Astronomical
  Journal, scheduled for January 1999 issue. Abbreviated abstract","Astron.J. 117 (1999) 354-399","10.1086/300682",,"astro-ph",,"  A comprehensive census of the stellar content of the nearby OB associations
is presented, based on Hipparcos positions, proper motions, and parallaxes.
Moving groups are identified by combining de Bruijne's refurbished convergent
point method with the `Spaghetti method' of Hoogerwerf & Aguilar. Monte Carlo
simulations are used to estimate the expected number of interloper field stars.
  Astrometric members are listed for 12 young stellar groups, out to a distance
of ~650 pc. These are the 3 subgroups Upper Scorpius, Upper Centaurus Lupus and
Lower Centaurus Crux of Sco OB2, as well as Vel OB2, Tr 10, Col 121, Per OB2,
alpha Persei (Per OB3), Cas-Tau, Lac OB1, Cep OB2, and a new group designated
as Cep OB6. The selection procedure corrects the list of previously known
astrometric and photometric B- and A-type members, and identifies many new
members, including a significant number of F stars, as well as evolved stars,
e.g., the Wolf-Rayet stars gamma^2 Vel (Vel OB2) and EZ CMa (Col 121), and the
classical Cepheid delta Cep in Cep OB6. In the nearest associations the
later-type members include T Tauri objects and other pre-main sequence stars.
  Astrometric evidence for moving groups in the fields of R CrA, CMa OB1, Mon
OB1, Ori OB1, Cam OB1, Cep OB3, Cep OB4, Cyg OB4, Cyg OB7, and Sct OB2, is
inconclusive, due to their large distance or unfavorable kinematics.
  The mean distances of the well-established groups are systematically smaller
than previous estimates. The mean motions display a systematic pattern, which
is discussed in relation to the Gould Belt. Six of the 12 detected moving
groups do not appear in the classical list of nearby OB associations. The
number of unbound young stellar groups in the Solar neighbourhood may be
significantly larger than thought previously.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 14:52:03 GMT""}]","2009-10-30"
"astro-ph/9809228","Ralph H. France III","Ralph H France III and Moshe Gai (University of Connecticut)","How Well Do We Know the Beta-Decay of N16 and Oxygen Formation in Helium
  Burning?","4 pages, 3 figures, Nuclei In the Cosmos V Supported by USDOE grant
  DE-FG02-94ER40870",,,"UConn 40870-28","astro-ph nucl-ex nucl-th",,"  Contrary to claims that the problem has been solved, the astrophysical E1
S-factor of \c12ag is not yet well known. R-Matrix analyses of elastic
scattering data,\c12ag data, and data on the beta-delayed alpha-particle
emission of N16 are not consistent and a small S-factor solution SE1(300)
cannot be ruled out. In particular, data on the beta- delayed alpha-particle
emission of N16 do not agree. The unaltered Mainz data do not agree with
TRIUMF, but agree with both Seattle and Yale-UConn. The TRIUMF col- laboration
has recalibratedthe Mainz('71) data; however, we dispute both the alteration of
the Mainz data performed by the TRIUMF col- laboration and the very
justification for the recalibration.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:26:40 GMT""}]","2007-05-23"
"chao-dyn/9809014","Kim S.-Y.","Sang-Yoon Kim and Bambi Hu","Critical Behavior of Period Doublings in Coupled Inverted Pendulums","21 pages, RevTeX, 8 eps figures, to appear in the Dec. issue (1998)
  of Phys. Rev. E",,"10.1103/PhysRevE.58.7231",,"chao-dyn nlin.CD",,"  We study the critical behaviors of period doublings in N (N=2,3,4,...)
coupled inverted pendulums by varying the driving amplitude $A$ and the
coupling strength $c$. It is found that the critical behaviors depend on the
range of coupling interaction. In the extreme long-range case of global
coupling, in which each inverted pendulum is coupled to all the other ones with
equal strength, the zero-coupling critical point and an infinity of critical
line segments constitute the same critical set in the $A-c$ plane,
independently of $N$. However, for any other nonglobal-coupling cases of
shorter-range couplings, the structure of the critical set becomes different
from that for the global-coupling case, because of a significant change in the
stability diagram of periodic orbits born via period doublings. The critical
scaling behaviors on the critical set are also found to be the same as those
for the abstract system of the coupled one-dimensional maps.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 00:00:30 GMT""}]","2009-10-31"
"cond-mat/9809225","Hyok-Jon Kwon","Hyok-Jon Kwon and Alan T. Dorsey","The effect of phase fluctuations on the single-particle properties of
  the underdoped cuprates","RevTex 11 pages; 11 epsf figures included. Added and updated
  references","Physical Review B 59, 6438 (1999)","10.1103/PhysRevB.59.6438",,"cond-mat.supr-con",,"  We study the effect of order parameter phase fluctuations on the
single-particle properties of fermions in the underdoped cuprate
superconductors using a phenomenological low-energy theory. We identify the
fermion-phase field coupling as the Doppler-shift of the quasiparticle spectrum
induced by the fluctuating superfluid velocity and we calculate the effect of
these fluctuations on the fermion self-energy. We show that the vortex pair
unbinding near the superconducting transition causes a significant broadening
in the fermion spectral function, producing a pseudogap-like feature. We also
discuss the specific heat and show that the phase fluctuation effect is visible
due to the short coherence length.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 19:30:54 GMT""},{""version"":""v2"",""created"":""Fri, 13 Nov 1998 20:18:14 GMT""}]","2009-10-31"
"cond-mat/9809226","Tomi Ohtsuki","Junji Yoshida, Tomi Ohtsuki and Yoshiyuki Ono","Transport in two dimensional periodic magnetic fields","4 pages, 7 figures, to appear in J. Phys. Soc. Jpn., vol. 67 (1998)
  November",,"10.1143/JPSJ.67.3886",,"cond-mat.mes-hall cond-mat.dis-nn",,"  Ballistic transport properties in a two dimensional electron gas are studied
numerically, where magnetic fields are perpendicular to the plane of two
dimensional electron systemsand periodically modulated both in $x$ and $y$
directions. We show that there are three types of trajectories of classical
electron motions in this system; chaotic, pinned and runaway trajectories. It
is found that the runaway trajectories can explain the peaks of
magnetoresistance as a function of external magnetic fields, which is believed
to be related to the commensurability effect between the classical cyclotron
diameter and the period of magnetic modulation. The similarity with and
difference from the results in the antidot lattice are discussed.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 04:43:15 GMT""}]","2009-10-31"
"cond-mat/9809227","Sergio E. Ulloa","Lilia Meza-Montes, Sergio E. Ulloa and Daniela Pfannkuche","Electron interactions, classical integrability, and level statistics in
  quantum dots","Proceed of Dresden Conf on Mesoscopic Systems","Physica E, Vol 1 (1998)","10.1016/S1386-9477(97)00059-3",,"cond-mat.mes-hall cond-mat.str-el",,"  The role of electronic interactions in the level structure of semiconductor
quantum dots is analyzed in terms of the correspondence to the integrability of
a classical system that models these structures. We find that an otherwise
simple system is made strongly non-integrable in the classical regime by the
introduction of particle interactions. In particular we present a two-particle
classical system contained in a $d$-dimensional billiard with hard walls.
Similarly, a corresponding two-dimensional quantum dot problem with three
particles is shown to have interesting spectral properties as function of the
interaction strength and applied magnetic fields.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 02:38:36 GMT""}]","2009-10-31"
