"astro-ph/9809163","Arnon Dar","Arnon Dar","Cosmic Rays and Gamma Ray Bursts From Microblazars","Cosmic rays above the GZK cutoff will be discussed in a separate
  publication",,,,"astro-ph hep-ph",,"  Highly relativistic jets from merger and accretion induced collapse of
compact stellar objects, which may produce the cosmological gamma ray bursts
(GRBs), are also very efficient and powerful cosmic ray accelerators. The
expected luminosity, energy spectrum and chemical composition of cosmic rays
from Galactic GRBs, most of which do not point in our direction, can explain
the observed properties of Galactic cosmic rays.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 17:29:58 GMT""}]","2007-05-23"
"astro-ph/9809174","Jules P. Halpern","J. P. Halpern, K. M. Leighly, H. L. Marshall, M. Eracleous, T.
  Storchi-Bergmann","EUVE J0425.6-5714: A Newly Discovered AM Herculis Star","13 pages, 5 figures, to appear in PASP, Dec. 1998 issue",,"10.1086/316277",,"astro-ph",,"  We detected a new AM Her star serendipitously in a 25 day observation with
the EUVE satellite. A coherent period of 85.82 min is present in the EUVE Deep
Survey imager light curve of this source. A spectroscopic identification is
made with a 19th magnitude blue star that has H and He emission lines, and
broad cyclotron humps typical of a magnetic cataclysmic variable. A lower limit
to the polar magnetic field of 46 MG is estimated from the spacing of the
cyclotron harmonics. EUVE J0425.6-5714 is also detected in archival ROSAT HRI
observations spanning two months, and its stable and highly structured light
curve permits us to fit a coherent ephemeris linking the ROSAT and EUVE data
over a 1.3 yr gap. The derived period is 85.82107 +/- 0.00020 min, and the
ephemeris should be accurate to 0.1 cycles until the year 2005. A narrow but
partial X-ray eclipse suggests that this object belongs to the group of Am Her
stars whose viewing geometry is such that the accretion stream periodically
occults the soft X-ray emitting accretion spot on the surface of the white
dwarf. A non-detection of hard X-rays from ASCA observations that are
contemporaneous with the ROSAT HRI shows that the soft X-rays must dominate by
at least an order of magnitude, which is consistent with a known trend among AM
Her stars with large magnetic field. This object should not be confused with
the Seyfert galaxy 1H 0419-577 (= LB 1727), another X-ray/EUV source which lies
only 4' away, and was the principal target of these monitoring observations.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:35:06 GMT""}]","2009-10-30"
"cmp-lg/9809003","Mike McHale","Michael Mc Hale (Air Force Research Laboratory)","A Comparison of WordNet and Roget's Taxonomy for Measuring Semantic
  Similarity","6 pages, postscript",,,,"cmp-lg cs.CL",,"  This paper presents the results of using Roget's International Thesaurus as
the taxonomy in a semantic similarity measurement task. Four similarity metrics
were taken from the literature and applied to Roget's The experimental
evaluation suggests that the traditional edge counting approach does
surprisingly well (a correlation of r=0.88 with a benchmark set of human
similarity judgements, with an upper bound of r=0.90 for human subjects
performing the same task.)
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:46:40 GMT""}]","2007-05-23"
"cond-mat/9809187","Liliana Arrachea","Liliana Arrachea and A.A. Aligia","d-wave superconductivity in a generalized Hubbard model","7 pages, including 2 figures",,"10.1103/PhysRevB.59.1333",,"cond-mat.supr-con",,"  We consider an extended Hubbard model with nearest-neighbor correlated
hopping and next nearest-neighbor hopping t' obtained as an effective model for
cuprate superconductors. Using a generalized Hartree-Fock BCS approximation, we
find that for high enough t' and doping, antiferromagnetism is destroyed and
the system exhibits d-wave superconductivity. Near optimal doping we consider
the effect of antiferromagnetic spin fluctuations on the normal self-energy
using a phenomenological susceptibility. The resulting superconducting critical
temperature as a function of doping is in good agreement with experiment.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 21:14:24 GMT""}]","2009-10-31"
"cond-mat/9809188","Klaus Frahm","Klaus M. Frahm","Interaction induced delocalization of two particles: large system size
  calculations and dependence on interaction strength","8 pages, 5 figures, LaTeX, EPJ macro package, submitted to the
  European Physical Journal B","Eur. Phys. J. B 10, 371 (1999)","10.1007/s100510050866",,"cond-mat.mes-hall cond-mat.dis-nn",,"  The localization length $L_2$ of two interacting particles in a
one-dimensional disordered system is studied for very large system sizes by two
efficient and accurate variants of the Green function method. The numerical
results (at the band center) can be well described by the functional form
$L_2=L_1[0.5+c(U) L_1]$ where $L_1$ is the one-particle localization length and
the coefficient $c(U)\approx 0.074 |U|/(1+|U|)$ depends on the strength $U$ of
the on-site Hubbard interaction. The Breit-Wigner width or equivalently the
(inverse) life time of non-interacting pair states is analytically calculated
for small disorder and taking into account the energy dependence of the
one-particle localization length. This provides a consistent theoretical
explanation of the numerically found $U$-dependence of $c(U)$.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 21:21:25 GMT""}]","2011-05-16"
"cond-mat/9809189","Fei Zhou","F. Zhou, B. Spivak, B. Altshuler","Mesoscopic mechanism of adiabatic charge transport","4 pages, 2 figures",,"10.1103/PhysRevLett.82.608",,"cond-mat.mes-hall",,"  We consider adiabatic charge transport through mesoscopic metallic samples
caused by a periodically changing external potential. We find that both the
amplitude and the sign of the charge transferred through a sample per period
are random sample specific quantities. The characteristic magnitude of the
charge is determined by the quantum interference.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 00:38:46 GMT""}]","2009-10-31"
"cond-mat/9809190","Yukito Iba","Yukito Iba (The Institute of Statistical Mathematics)","The Nishimori line and Bayesian Statistics","16 pages, 1 table, no figures, using Iopart.cls and Iopart10.clo,
  submitted to Journal of Physics A (Mathematical and General), this cond-mat
  version contains full titles of the references","Journal of Physics A 32 (1999) 3875-3888","10.1088/0305-4470/32/21/302","ISM Research Memo. No.696","cond-mat.dis-nn cond-mat.stat-mech",,"  ``Nishimori line'' is a line or hypersurface in the parameter space of
systems with quenched disorder, where simple expressions of the averages of
physical quantities over the quenched random variables are obtained. It has
been playing an important role in the theoretical studies of the random
frustrated systems since its discovery around 1980. In this paper, a novel
interpretation of the Nishimori line from the viewpoint of statistical
information processing is presented. Our main aim is the reconstruction of the
whole theory of the Nishimori line from the viewpoint of Bayesian statistics,
or, almost equivalently, from the viewpoint of the theory of error-correcting
codes. As a byproduct of our interpretation, counterparts of the Nishimori line
in models without gauge invariance are given. We also discussed the issues on
the ``finite temperature decoding'' of error-correcting codes in connection
with our theme and clarify the role of gauge invariance in this topic.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 09:16:17 GMT""}]","2009-10-31"
"cond-mat/9809191","David Goulding","David Goulding and Jean-Pierre Hansen","Attraction between like-charged colloidal particles induced by a surface
  a density - functional analysis","12 pages including 2 figures. submitted to physical review letters",,"10.1209/epl/i1999-00276-4",,"cond-mat.soft cond-mat.mtrl-sci",,"  We show that the first non-linear correction to the linearised
Poisson-Boltzman n (or DLVO) theory of effective pair interactions between
charge-stabilised, co lloidal particles near a charged wall leads to an
attractive component of entro pic origin. The position and depth of the
potential compare favourably with rec ent experimental measurements
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 09:59:12 GMT""}]","2009-10-31"
"cond-mat/9809192","Nurten Akman","N. Akman, M. Tomak","Interacting electrons in a 2D quantum dot","12 pages, 5 postscript figures","Physica B, 262 (1999) 317.","10.1016/S0921-4526(98)01159-4",,"cond-mat.str-el",,"  The exact numerical diagonalization of the Hamiltonian of a 2D circular
quantum dot is performed for 2, 3, and 4 electrons.The results are compared
with those of the perturbation theory.Our numerical results agree reasonably
well for small values of the dimensionles coupling constant \lambda=a\over a_B
where a is the dot radius and a_B is the effective Bohr radius.Exact
diagonalization results are compared with the classical predictions, and they
are found to be almost coincident for large \lambda values. PACS Numbers:
73.20.Dx, 73.61.-r
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 10:46:55 GMT""}]","2009-10-31"
"cond-mat/9809193","Vahid Karimipor","V. karimipour","A multi-species asymmetric exclusion process;steady state and
  correlation functions on a periodic lattice","References added, typos corrected",,"10.1209/epl/i1999-00389-2",,"cond-mat",,"  By generalizing the algebra of operators of the Asymmetric Simple Exclusion
Process (ASEP), a multi-species ASEP in which particles can overtake each
other,is defined on both open and closed one dimensional chains. On the ring
the steady state and the correlation functions are obtained exactly. The
relation to particle hopping models of traffic and the possibility of shock
waves in open systems is discussed. The effect of the boundary condition on the
steady state properties of the bulk is studied.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 12:05:11 GMT""},{""version"":""v2"",""created"":""Thu, 15 Oct 1998 11:14:37 GMT""}]","2009-10-31"
"cond-mat/9809194","Martin Huthmann","Martin Huthmann, Timo Aspelmeier, and Annette Zippelius","Granular cooling of hard needles","7 pages, 8 figures; major changes, extended version",,"10.1103/PhysRevE.60.654",,"cond-mat.stat-mech",,"  We have developed a kinetic theory of hard needles undergoing binary
collisions with loss of energy due to normal and tangential restitution. In
addition, we have simulated many particle systems of granular hard needles. The
theory, based on the assumption of a homogeneous cooling state, predicts that
granular cooling of the needles proceeds in two stages: An exponential decay of
the initial configuration to a state where translational and rotational
energies take on a time independent ratio (not necessarily unity), followed by
an algebraic decay of the total kinetic energy $\sim t^{-2}$. The simulations
support the theory very well for low and moderate densities. For higher
densities, we have observed the onset of the formation of clusters and shear
bands.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 12:26:14 GMT""},{""version"":""v2"",""created"":""Tue, 9 Feb 1999 15:45:41 GMT""}]","2009-10-31"
"cond-mat/9809195",,"P. Ao and S.T. Chui","Binary Bose-Einstein Condensate Mixtures in Weakly and Strongly
  Segregated Phases","minor changes","Phys. Rev. A58, 4836 (1998)","10.1103/PhysRevA.58.4836",,"cond-mat",,"  We perform a mean-field study of the binary Bose-Einstein condensate mixtures
as a function of the mutual repulsive interaction strength. In the phase
segregated regime, we find that there are two distinct phases: the weakly
segregated phase characterized by a `penetration depth' and the strongly
segregated phase characterized by a healing length. In the weakly segregated
phase the symmetry of the shape of each condensate will not take that of the
trap because of the finite surface tension, but its total density profile still
does. In the strongly segregated phase even the total density profile takes a
different symmetry from that of the trap because of the mutual exclusion of the
condensates. The lower critical condensate-atom number to observe the complete
phase segregation is discussed. A comparison to recent experimental data
suggests that the weakly segregated phase has been observed.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 13:19:12 GMT""},{""version"":""v2"",""created"":""Wed, 16 Dec 1998 08:56:34 GMT""}]","2009-10-31"
"cond-mat/9809196","Tamas Vicsek","Imre Derenyi and Tamas Vicsek","The kinesin walk: a dynamic model with elastically coupled heads","6 pages, 3 figures","Proc. Natl. Acad. Sci. USA, 93, 6775 (1996)","10.1073/pnas.93.13.6775",,"cond-mat.stat-mech q-bio",,"  Recently individual two-headed kinesin molecules have been studied in in
vitro motility assays revealing a number of their peculiar transport
properties. In this paper we propose a simple and robust model for the kinesin
stepping process with elastically coupled Brownian heads showing all of these
properties. The analytic and numerical treatment of our model results in a very
good fit to the experimental data and practically has no free parameters.
Changing the values of the parameters in the restricted range allowed by the
related experimental estimates has almost no effect on the shape of the curves
and results mainly in a variation of the zero load velocity which can be
directly fitted to the measured data. In addition, the model is consistent with
the measured pathway of the kinesin ATPase.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 13:42:36 GMT""}]","2009-10-31"
"cond-mat/9809197","Claudio Castellano","C. Castellano, A. Gabrielli, M. Marsili, M. A. Munoz and L. Pietronero","High dimensional behavior of the Kardar-Parisi-Zhang growth dynamics","RevTeX, 4 pages, 2 figures. To appear in Phys. Rev. E",,"10.1103/PhysRevE.58.R5209",,"cond-mat.stat-mech",,"  We investigate analytically the large dimensional behavior of the
Kardar-Parisi-Zhang (KPZ) dynamics of surface growth using a recently proposed
non-perturbative renormalization for self-affine surface dynamics. Within this
framework, we show that the roughness exponent $\alpha$ decays not faster than
$\alpha\sim 1/d$ for large $d$. This implies the absence of a finite upper
critical dimension.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:14:50 GMT""}]","2009-10-31"
"cond-mat/9809198","Geoff Canright","I.M. Sandler, G.S. Canright, H.J. Gao, S. Pang, Z.Q. Xue, Z.Y. Zhang","Chiral patterns arising from electrostatic growth models","RevTeX, 12 pages, 9 figures",,"10.1103/PhysRevE.58.6015",,"cond-mat",,"  Recently, unusual and strikingly beautiful seahorse-like growth patterns have
been observed under conditions of quasi-two-dimensional growth. These
`S'-shaped patterns strongly break two-dimensional inversion symmetry; however
such broken symmetry occurs only at the level of overall morphology, as the
clusters are formed from achiral molecules with an achiral unit cell. Here we
describe a mechanism which gives rise to chiral growth morphologies without
invoking microscopic chirality. This mechanism involves trapped electrostatic
charge on the growing cluster, and the enhancement of growth in regions of
large electric field. We illustrate the mechanism with a tree growth model,
with a continuum model for the motion of the one-dimensional boundary, and with
microscopic Monte Carlo simulations. Our most dramatic results are found using
the continuum model, which strongly exhibits spontaneous chiral symmetry
breaking, and in particular finned `S' shapes like those seen in the
experiments.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:48:19 GMT""}]","2009-10-31"
"cs/9809019","Michael Manthey","Michael Manthey","Distributed Computation as Hierarchy","16 pages, 3 figures",,,"Aalborg University, Computer Science Dept. R-98-5005","cs.DC cs.NE",,"  This paper presents a new distributed computational model of distributed
systems called the phase web that extends V. Pratt's orthocurrence relation
from 1986. The model uses mutual-exclusion to express sequence, and a new kind
of hierarchy to replace event sequences, posets, and pomsets. The model
explicitly connects computation to a discrete Clifford algebra that is in turn
extended into homology and co-homology, wherein the recursive nature of objects
and boundaries becomes apparent and itself subject to hierarchical recursion.
Topsy, a programming environment embodying the phase web, is available from
www.cs.auc.dk/topsy.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:25:42 GMT""}]","2007-05-23"
"cs/9809125","Michael Manthey","Michael Manthey","Distributed Computation, the Twisted Isomorphism, and Auto-Poiesis","26 pages, 4 figures. Originally submitted to the neuro-sys archive
  which was never publicly announced (was 9809001)","CASYS'97 First International Conference on Computing Anticipatory
  Systems, Liege (Belgium), August 11-15, 1997. D. Dubois, Ed (Dept.of
  Mathematics, University of Liege)",,,"cs.DC",,"  This paper presents a synchronization-based, multi-process computational
model of anticipatory systems called the Phase Web. It describes a
self-organizing paradigm that explicitly recognizes and exploits the existence
of a boundary between inside and outside, accepts and exploits intentionality,
and uses explicit self-reference to describe eg. auto-poiesis. The model
explicitly connects computation to a discrete Clifford algebraic formalization
that is in turn extended into homology and co-homology, wherein the recursive
nature of objects and boundaries becomes apparent and itself subject to
hierarchical recursion. Topsy, a computer program embodying the Phase Web, is
available at www.cs.auc.dk/topsy.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:42:26 GMT""}]","2007-05-23"
"hep-ex/9809011","Scott Snyder","P. Bhat, H. Prosper, S. Snyder","Top Quark Physics at the Tevatron","119 pages, 59 figures, 17 tables Submitted to Int. J. Mod. Phys. A
  Fixed some minor errors","Int.J.Mod.Phys.A13:5113-5218,1998","10.1142/S0217751X98002389","Fermi-Pub-98/236","hep-ex",,"  The discovery of the top quark in 1995, by the CDF and D0 collaborations at
the Fermilab Tevatron, marked the dawn of a new era in particle physics. Since
then, enormous efforts have been made to study the properties of this
remarkable particle, especially its mass and production cross section. In this
article, we review the status of top quark physics as studied by the two
collaborations using the p-pbar collider data at sqrt(s) = 1.8 TeV. The
combined measurement of the top quark mass, m_t = 173.8 +- 5.0 GeV/c^2, makes
it known to a fractional precision better than any other quark mass. The
production cross sections are measured as sigma (t-tbar) = 7.6 -1.5 +1.8 pb by
CDF and sigma (t-tbar) = 5.5 +- 1.8 pb by D0. Further investigations of t-tbar
decays and future prospects are briefly discussed.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 21:53:09 GMT""},{""version"":""v2"",""created"":""Wed, 28 Oct 1998 04:59:22 GMT""}]","2009-09-25"
"hep-lat/9809084","Shailesh Chandrasekharan","Shailesh Chandrasekharan (Duke University)","Confinement, Chiral Symmetry Breaking and Continuum Limits in Quantum
  Link Models","LATTICE98(spin)","Nucl.Phys.Proc.Suppl. 73 (1999) 739-741","10.1016/S0920-5632(99)85189-5","DUKE-TH-98-174","hep-lat",,"  Using the example of compact U(1) lattice gauge theory we argue that quantum
link models can be used to reproduce the physics of conventional Hamiltonian
lattice gauge theories. In addition to the usual gauge coupling $g$, these
models have a new parameter $j$ which naturally cuts-off large electric flux
quanta on each link while preserving exact U(1) gauge invariance. The
$j\to\infty$ limit recovers the conventional Hamiltonian. At strong couplings,
the theory shows confinement and chiral symmetry breaking for all non-trivial
values of $j$. The phase diagram of the 3+1 dimensional theory suggests that a
coulomb phase is present at large but finite $j$. Setting $g=0$, a new approach
to the physics of compact U(1) gauge theory on the lattice emerges. In this
case the parameter $j$ takes over the role of the gauge coupling, and $j\to
\infty$ describes free photons.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 16:45:37 GMT""}]","2009-10-31"
