"adap-org/9809002","Sergey Gavrilets","Sergey Gavrilets","Dynamics of clade diversification on the morphological hypercube","8 pages, Latex, 2 postscript figures, submitted to Proc.R.Soc.Lond.B",,,,"adap-org nlin.AO q-bio",,"  Understanding the relationship between taxonomic and morphological changes is
important in identifying the reasons for accelerated morphological
diversification early in the history of animal phyla. Here, a simple general
model describing the joint dynamics of taxonomic diversity and morphological
disparity is presented and applied to the data on the diversification of
blastozoans. I show that the observed patterns of deceleration in clade
diversification can be explicable in terms of the geometric structure of the
morphospace and the effects of extinction and speciation on morphological
disparity without invoking major declines in the size of morphological
transitions or taxonomic turnover rates. The model allows testing of hypotheses
about patterns of diversification and estimation of rates of morphological
evolution. In the case of blastozoans, I find no evidence that major changes in
evolutionary rates and mechanisms are responsible for the deceleration of
morphological diversification seen during the period of this clade's expansion.
At the same time, there is evidence for a moderate decline in overall rates of
morphological diversification concordant with a major change (from positive to
negative values) in the clade's growth rate.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:20:56 GMT""}]","2007-05-23"
"astro-ph/9809206","Simon P. Driver","Simon P. Driver (UNSW), Warrick J. Couch (UNSW), Steven Phillipps
  (Univ. Bristol)","Luminosity Distributions within Rich Clusters - III: A comparative study
  of seven Abell/ACO clusters","31 pages including 11 figures. Also available from
  http://star-www.st-and.ac.uk/~spd3/bib.html",,"10.1046/j.1365-8711.1998.01995.x",,"astro-ph",,"  We recover the luminosity distributions over a wide range of absolute
magnitude (-24.5 < M_{R} < -16.5) for a sample of seven rich southern galaxy
clusters. We find a large variation in the ratio of dwarf to giant galaxies,
DGR: 0.8\le $ DGR $\le 3.1. This variation is shown to be inconsistent with a
ubiquitous cluster luminosity function. The DGR shows a smaller variation from
cluster to cluster in the inner regions (r \ls 0.56 Mpc). Outside these regions
we find the DGR to be strongly anti-correlated with the mean local projected
galaxy density with the DGR increasing towards lower densities. In addition the
DGR in the outer regions shows some correlation with Bautz-Morgan type. Radial
analysis of the clusters indicate that the dwarf galaxies are less centrally
clustered than the giants and form a significant halo around clusters. We
conclude that measurements of the total cluster luminosity distribution based
on the inner core alone are likely to be severe underestimates of the dwarf
component, the integrated cluster luminosity and the contribution of galaxy
masses to the cluster's total mass. Further work is required to quantify this.
The observational evidence that the unrelaxed, lower density outer regions of
clusters are dwarf-rich, adds credence to the recent evidence and conjecture
that the field is a predominantly dwarf rich environment and that the dwarf
galaxies are under-represented in measures of the local field luminosity
function.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 08:21:45 GMT""}]","2009-10-30"
"astro-ph/9809207","Claudia Travaglio","C. Travaglio, D. Galli, R. Gallino, M. Busso, F. Ferrini, O. Straniero","Galactic chemical evolution of Ba-peak elements","4 pages, 4 figures. To appear in 'Nuclei in the Cosmos 1998'
  proceedings, (Volos, July 5 - 12, 1998)",,,,"astro-ph",,"  The chemical evolution of the Galaxy is followed for the elements affected by
neutron capture, in particular for those in the atomic number range 56 to 63
(Ba, La, Ce, Pr, Nd, Sm and Eu). Neutrons by the major 13^C source, released in
radiative conditions in the interpulse periods of TP-AGB stars, give rise to an
efficient s-processing, making low-mass AGB the major contributors to the
chemical evolution of heavy elements. The s-process scenario, characterized is
analyzed using AGB stellar evolutionary calculations with the FRANEC Code
(FRASCATI Raphson-Newton Evolutionary Code), and are applied over a wide range
of stellar masses and metallicities. The presence of r-process elements in low
metallicity stars is indicative of a prompt enrichment of the Galaxy by early
generation of stars, and low mass SNII appear to be good candidates for primary
production of r-nuclei. The chemical evolution model used here is organized
over three-zone, halo, thick and thin disk.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 09:10:51 GMT""}]","2007-05-23"
"astro-ph/9809208","Isabel E. de Salamanca","Isabel Salamanca (1 and 2), Roberto Cid-Fernandes (3), Guillermo
  Tenorio-Tagle (2,4 and 5), Eduardo Telles (6), Roberto J. Terlevich (2) and
  Casiana Munoz-Tunon (7) ((1) Observatory of Leiden, The Netherlands, (2)
  Royal Greenwich Observatory U.K., (3) CFM-UFSC, Brasil, (4) IoA, U.K., (5)
  INAOE Mexico, (6) Observatorio Nacional, Brasil, (7) IAC, Spain)","The circumstellar medium of the peculiar supernova SN1997ab","10 pages, 2 figures, acepted for publication in MNRAS. Uses
  referee.sty, psfig.sty and mn.sty. A postscript file can also be retrieved at
  http://www.strw.LeidenUniv.nl/~salamanc/latest.html",,"10.1046/j.1365-8711.1998.02093.x",,"astro-ph",,"  We report the detection of the slow moving wind into which the compact
supernova remnant SN 1997ab is expanding. Echelle spectroscopy provides clear
evidence for a well resolved narrow (Full Width at Zero Intensity, FWZI ~ 180
km/s) P-Cygni profile, both in Ha and Hb, superimposed on the broad emission
lines of this compact supernova remnant. From theoretical arguments we know
that the broad and strong emission lines imply a circumstellar density (n ~
10^7 cm^-3). This, together with our detection, implies a massive and slow
stellar wind experienced by the progenitor star shortly prior to the explosion.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:30:17 GMT""}]","2009-10-30"
"astro-ph/9809209","Nonino","L.N. da Costa","ESO Imaging Survey: Finding Targets for VLT","To appear in: Wide Field Surveys in Cosmology, eds. S. Colombi and Y.
  Mellier; Latex file, 4 pages 1 figure",,,,"astro-ph",,"  Data from the wide-angle, moderately deep ESO Imaging Survey have been used
to produce target lists for the first year of the VLT. About 250 candidate
clusters of galaxies have been identified from the I-band images covering
$\sim$ 17 square degrees. In addition, using the multicolor data available over
an area of 1.3 square degrees over 300 potentially interesting point-sources
have been selected. The color-selected targets include low-mass stars/brown
dwarfs, white-dwarfs and quasars. Images, object catalogs and derived target
lists are available from the world-wide web (http://www.eso.org/eis)
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:16:15 GMT""}]","2007-05-23"
"astro-ph/9809211","Reuven Ramaty","Reuven Ramaty (NASA/GSFC), Richard Lingenfelter (UCSD), Benzion
  Kozlovsky (Tel Aviv Univ.)","LiBeB and the Origin of Cosmic Rays","latex 7 pages, 4 postscript figures (included), uses nicV.sty
  (included). To appear in Proceedings of Nuclei in the Cosmos V",,,,"astro-ph",,"  Be abundances at low metallicities have major implications on cosmic ray
origin, requiring acceleration out of fresh supernova ejecta. The observed,
essentially constant Be/Fe fixes the Be production per SNII, allowing the
determination of the energy supplied to cosmic rays per SNII. The results rule
out acceleration out of the metal-poor ISM, and favor Be production at all
epochs of Galactic evolution by cosmic rays having the same spectrum and source
composition as those at the current epoch. Individual supernova acceleration of
its own nucleosynthetic products and the collective acceleration by SN shocks
of ejecta-enriched matter in the interiors of superbubbles have been proposed
for such origin. A new Monte-Carlo based evolutionary code, into which the
concept of Be and Fe production per supernova is explicitly built in, yields
the supernova acceleration efficiency, 2% for the refractory metals and 12% for
all the cosmic rays.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 15:08:09 GMT""}]","2007-05-23"
"cond-mat/9809215","Enzo Granato","Enzo Granato and J.M. Kosterlitz","Charge glass in two-dimensional arrays of capacitively coupled grains
  with random offset charges","4 pages, 1 figure, to appear in Phys. Rev. Lett","Phys. Rev. Lett. 81, 3888 (1998)","10.1103/PhysRevLett.81.3888",,"cond-mat.dis-nn cond-mat.mes-hall",,"  We study the effect of random offset charges in the insulator to conductor
transition in systems of capacitively coupled grains, as realized in
two-dimensional arrays of ultrasmall Josephson junctions. In presence of
disorder, the conductive transition and charge ordering at nonzero gate
voltages are both destroyed for any degree of disorder $\sigma$ at finite
temperatures $T$, in the thermodynamic limit, but crossover effects will
dominate at length scales smaller than $\xi_{\sigma, T}=T^{-\nu} f(\sigma
T^{-\nu})$, where $\nu $ is the thermal critical exponent of the
zero-temperature charge glass transition. The conductance is linear and
thermally activated but nonlinear behavior sets in at a crossover voltage which
decreases as temperature decreases. For large disorder, the results are
supported by Monte Carlo dynamics simulations of a Coulomb gas with offset
charges and are consistent with the thermally activated behavior found in
recent experiments.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 21:27:04 GMT""}]","2009-10-31"
"cond-mat/9809216","Sergio E. Ulloa","Esmael Badran and Sergio E. Ulloa","Frequency-dependent magnetotransport and particle dynamics in magnetic
  modulation systems","Submitted to PRB - 14 figure files - REVTEX text",,"10.1103/PhysRevB.59.2824",,"cond-mat.mes-hall",,"  We analyze the dynamics of a charged particle moving in the presence of
spatially-modulated magnetic fields. From Poincare surfaces of section and
Liapunov exponents for characteristic trajectories we find that the fraction of
pinned and runaway quasiperiodic orbits {\em vs}. chaotic orbits depends
strongly on the ratio of cyclotron radius to the structure parameters, as well
as on the amplitude of the modulated field. We present a complete
characterization of the dynamical behavior of such structures, and investigate
the contribution to the magnetoconductivity from all different orbits using a
classical Kubo formula. Although the DC conductivity of the system depends
strongly on the pinned and runaway trajectories, the frequency response
reflects the topology of all different orbits, and even their unusual temporal
behavior.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 02:29:59 GMT""}]","2009-10-31"
"cond-mat/9809217","Sergio E. Ulloa","Francisco Mireles and Sergio E. Ulloa","Acceptor binding energies in GaN and AlN","REVTEX file - 1 figure","Phys Rev B 58 (7) 3879-3887 (15 August 1998)","10.1103/PhysRevB.58.3879",,"cond-mat.mtrl-sci",,"  We employ effective mass theory for degenerate hole-bands to calculate the
acceptor binding energies for Be, Mg, Zn, Ca, C and Si substitutional acceptors
in GaN and AlN. The calculations are performed through the 6$\times $6
Rashba-Sheka-Pikus and the Luttinger-Kohn matrix Hamiltonians for wurtzite (WZ)
and zincblende (ZB) crystal phases, respectively. An analytic representation
for the acceptor pseudopotential is used to introduce the specific nature of
the impurity atoms. The energy shift due to polaron effects is also considered
in this approach. The ionization energy estimates are in very good agreement
with those reported experimentally in WZ-GaN. The binding energies for ZB-GaN
acceptors are all predicted to be shallower than the corresponding impurities
in the WZ phase. The binding energy dependence upon the crystal field splitting
in WZ-GaN is analyzed. Ionization levels in AlN are found to have similar
`shallow' values to those in GaN, but with some important differences, which
depend on the band structure parameterizations, especially the value of crystal
field splitting used.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 02:51:22 GMT""}]","2009-10-31"
"cond-mat/9809218","Sergio E. Ulloa","F. Ramirez, E. Cota and S. E. Ulloa","Correlation and symmetry effects in transport through an artificial
  molecule","25 figure files - REVTEX - submitted to PRB",,"10.1103/PhysRevB.59.5717",,"cond-mat.mes-hall",,"  Spectral weights and current-voltage characteristics of an artificial
diatomic molecule are calculated, considering cases where the dots connected in
series are in general different. The spectral weights allow us to understand
the effects of correlations, their connection with selection rules for
transport, and the role of excited states in the experimental conductance
spectra of these coupled double dot systems (DDS). An extended Hubbard
Hamiltonian with varying interdot tunneling strength is used as a model,
incorporating quantum confinement in the DDS, interdot tunneling as well as
intra- and interdot Coulomb interactions. We find that interdot tunneling
values determine to a great extent the resulting eigenstates and corresponding
spectral weights. Details of the state correlations strongly suppress most of
the possible conduction channels, giving rise to effective selection rules for
conductance through the molecule. Most states are found to make insignificant
contributions to the total current for finite biases. We find also that the
symmetry of the structure is reflected in the I-V characteristics, and is in
qualitative agreement with experiment.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 03:34:01 GMT""}]","2009-10-31"
"cond-mat/9809219","Sergio E. Ulloa","Francisco Mireles and Sergio E. Ulloa","Zeeman splitting of shallow donors in GaN","REVTEX file - 2 figures",,"10.1063/1.123270",,"cond-mat.mtrl-sci",,"  The Zeeman splitting of the donor spectra in cubic- and hexagonal-GaN are
studied using an effective mass theory approach. Soft-core pseudopotentials
were used to describe the chemical shift of the different substitutional
dopants. The donor ground states calculated range from 29.5 to 33.7 meV, with
typically 1 meV higher binding in the hexagonal phase. Carbon is found to
produce the largest donor binding energy. The ionization levels and excited
states are in excellent agreement with Hall and optical measurements, and
suggest the presence of residual C in recent experiments.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 03:47:58 GMT""}]","2009-10-31"
"cond-mat/9809220","Tomi Ohtsuki","Yasuyuki Akita and Tomi Ohtsuki","Anderson transition of three dimensional phonon modes","2 pages and another page for 3 figures, J. Phys. Soc. Japan","J. Phys. Soc. Japan., vol.67 (1988) 2954","10.1143/JPSJ.67.2954",,"cond-mat.mes-hall cond-mat.dis-nn",,"  Anderson transition of the phonon modes is studied numerically. The critical
exponent for the divergence of the localization length is estimated using the
transfer matrix method, and the statistics of the modes is analyzed. The latter
is shown to be in excellent agreement with the energy level statistics of the
disrodered electron system belonging to the orthogonal universality class.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 08:42:17 GMT""}]","2009-10-31"
"cond-mat/9809221","Tomi Ohtsuki","Tomi Ohtsuki, Keith Slevin and Tohru Kawarabayashi","Universal conductance distribution in three dimensional systems in high
  magnetic fields","4 pages text and one page for figures, to appear in J.
  Phys.:Condensed Matter, Proceeding of the Oji internatinal seminar on ""Quest
  for New Physical Phases under Extreme Conditions""","J. Phys.:Condensed Matter vol.10 (1998) 11337","10.1088/0953-8984/10/49/022",,"cond-mat.mes-hall",,"  The nature of the critical point of the Anderson transition in high magnetic
fields is discussed with an emphasis on scale invariance and universality of
the critical exponent. Special attention is paid to the distribution function
of the conductance which becomes size and model independent at the critical
point. The fractal properties of the wave function which are related to scale
invariance are also discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 09:34:45 GMT""}]","2009-10-31"
"cond-mat/9809222","J. M. Pitarke","J. M. Pitarke, F. J. Garcia-Vidal, and J. B. Pendry","Interface modes of two-dimensional composite structures","12 pages, 4 figures, to appear in Surf. Sci","Surf. Sci. 433, 605 (1999)","10.1016/S0039-6028(99)00466-5",,"cond-mat.mtrl-sci",,"  The surface modes of a composite consisting of aligned metallic wires with
square cross sections are investigated, on the basis of photonic band structure
calculations. The effective long-wavelength dielectric response function is
computed, as a function of the filling fraction. The dependence of the optical
absorption on the shape of the wires and the polarization of light is
discussed, and the effect of sharp corners analyzed. The effect of the
interaction between the wires on the localization of surface plasmons is also
addressed.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 12:06:46 GMT""}]","2009-10-31"
