"adap-org/9808001","Kunihiko Kaneko","Kunihiko Kaneko","Life as Complex Systems --- Viewpoint from Intra-Inter Dynamics","20 pages including 1 figure; Complexity, in press",,,,"adap-org nlin.AO q-bio",,"  Basic problems in complex systems are surveyed in connection with Life. As a
key issue for complex systems, complementarity between syntax/rule/parts and
semantics/behavior/whole is stressed. To address the issue, a constructive
approach for a biological system is proposed. As a construction in a computer,
intra-inter dynamics is presented for cell biology, where the following five
general features are drawn from our model experiments; intrinsic
diversification, recursive type formation, rule generation, formation of
internal representation, and macroscopic robustness. Significance of the
constructed logic to the biology of existing organisms is also discussed.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 05:00:41 GMT""}]","2007-05-23"
"astro-ph/9808098","Dar Arnon","Arnon Dar and Giora Shaviv","The Solar Neutrino Problem - An Update","To be published in Physics Reports, Proceedings of ``From Atomic
  Nuclei to Stars and Galaxies'' Haifa, January 12-16, 1998. No enclosed
  figures","Phys.Rept.311:115-141,1999","10.1016/S0370-1573(98)00094-5",,"astro-ph hep-ph",,"  The $^8$B solar neutrino flux as measured by Super-Kamiokande is consistent
with the $^{37}$Ar production rate in $^{37}$Cl at Homestake. GALLEX and SAGE,
continue to observe $^{71}$Ge production rates in $^{71}$Ga that are consistent
with the minimal signal expected from the solar luminosity. The observed $^8$B
solar neutrino flux is in good agreement with that predicted by the standard
solar model of Dar and Shaviv with nuclear reaction rates that are supported by
recent measurements of nuclear fusion cross sections at low energies. The
measurements of Super-Kamiokande, SAGE and GALLEX suggest that the expected the
pep, $^7$Be and NO solar neutrino fluxes are strongly suppressed. This can be
explained by neutrino oscillations and the Mikheyev-Smirnov-Wolfenstein effect.
Since neither a flavor change, nor a terrestrial variation, nor a spectral
distortion of the $^8$B solar neutrino flux has been observed yet, the solar
neutrino problem does not provide conclusive evidence for neutrino properties
beyond the standard electroweak model. The deviations of the experimental
results from those predicted by the standard solar models may reflect the
approximate nature of of solar models and of our knowledge of nuclear reaction
rates, radiation transport and particle diffusion in dense stellar plasmas.
Only future observations of spectral distortions, or terrestrial modulation or
flavor change of solar neutrinos in solar neutrino experiments, such as
Super-Kamiokande, SNO, Borexino and HELLAZ will be able to establish that
neutrino properties beyond the minimal standard electroweak model are
responsible for the solar neutrino problem.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 07:33:37 GMT""}]","2011-04-15"
"astro-ph/9808099","Georg Raffelt","H.-T.Janka (MPA, Garching) and G.G.Raffelt (MPP, Munich)","No Pulsar Kicks from Deformed Neutrinospheres","Final version with minor corrections, to be published in PRD.
  Includes a ""Note Added"" in response to astro-ph/9811144","Phys. Rev. D 59, 023005 (1998)","10.1103/PhysRevD.59.023005",,"astro-ph hep-ph",,"  In a supernova core, magnetic fields cause a directional variation of the
neutrino refractive index so that resonant flavor oscillations would lead to a
deformation of the ""neutrinosphere"" for, say, tau neutrinos. The associated
anisotropic neutrino emission was proposed as a possible origin of the observed
pulsar proper motions. We argue that this effect was vastly overestimated
because the variation of the temperature over the deformed neutrinosphere is
not an adequate measure for the anisotropy of neutrino emission. The neutrino
flux is generated inside the neutron star core and is transported through the
atmosphere at a constant luminosity, forcing the temperature gradient in the
atmosphere to adjust to the inflow of energy from below. Therefore, no emission
anisotropy is caused by a deformation of the neutrinosphere to lowest order. An
estimate of the higher-order corrections must take into account the modified
atmospheric temperature profile in response to the deformation of the
neutrinosphere and the corresponding feedback on the core. We go through this
exercise in the framework of a simplified model which can be solved
analytically.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 13:43:14 GMT""},{""version"":""v2"",""created"":""Wed, 2 Dec 1998 09:12:37 GMT""}]","2016-08-25"
"astro-ph/9808100","M. Jahan Miri","M. Jahan-Miri","Observational evidence for superfluidity, and pinning, in the core of
  neutron stars","7 pages, 1 figure, submitted to ApJ, only one part of the earlier
  version, largely revised",,,,"astro-ph",,"  The observed large rates of spinning down after glitches in some radio
pulsars has been previously explained in terms of a long-term spin-up behaviour
of a superfluid part of the crust of neutron stars. We argue that the suggested
mechanism is not viable; being inconsistent with the basic requirements for a
superfluid spin-up, in addition to its quantitative disagreement with the data.
One may therefore conclude, for the first time, that the presence and the
pinned nature of neutron superfluid in the core of neutron stars is evidenced
by the existing observational data.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 14:57:56 GMT""},{""version"":""v2"",""created"":""Thu, 11 Nov 1999 07:48:06 GMT""}]","2007-05-23"
"chao-dyn/9808011","N. V. Antonov","N. V. Antonov","Anomalous scaling regimes of a passive scalar advected by the synthetic
  velocity field",,"Phys. Rev. E60 (1999) 6691","10.1103/PhysRevE.60.6691","St Petersburg University preprint SPbU-IP-98-16","chao-dyn cond-mat nlin.CD",,"  The field theoretic renormalization group (RG) is applied to the problem of a
passive scalar advected by the Gaussian self-similar velocity field with finite
correlation time and in the presence of an imposed linear mean gradient. The
energy spectrum in the inertial range has the form $E(k)\propto
k^{1-\epsilon}$, and the correlation time at the wavenumber k scales as
$k^{-2+\eta}$. It is shown that, depending on the values of the exponents
$\epsilon$ and $\eta$, the model in the inertial range reveals various types of
scaling regimes associated with the infrared stable fixed points of the RG
equations: diffusive-type regimes for which the advection can be treated within
ordinary perturbation theory, and three nontrivial convection-type regimes for
which the correlation functions exhibit anomalous scaling behavior. Explicit
asymptotic expressions for the structure functions and other correlation
functions are obtained; they are represented by superpositions of power laws
with nonuniversal amplitudes and universal (independent of the anisotropy)
anomalous exponents, calculated to the first order in $\epsilon$ and $\eta$ in
any space dimension. For the first nontrivial regime the anomalous exponents
are the same as in the rapid-change version of the model; for the second they
are the same as in the model with time-independent (frozen) velocity field. In
these regimes, the anomalous exponents are universal in the sense that they
depend only on the exponents entering into the velocity correlator. For the
last regime the exponents are nonuniversal (they can depend also on the
amplitudes); however, the nonuniversality can reveal itself only in the second
order of the RG expansion. Comments: Extended version accepted to Phys. Rev. E.
35 pages; REVTeX source with LATeX figures inside.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 07:13:54 GMT""},{""version"":""v2"",""created"":""Fri, 21 Aug 1998 08:20:29 GMT""},{""version"":""v3"",""created"":""Tue, 14 Sep 1999 08:00:01 GMT""}]","2009-10-31"
"chao-dyn/9808012","Javier Rodriguez Laguna","M. del Mar Espinosa, Miguel A. Martin-Delgado, Alfonso Niella, David
  Paramo and Javier Rodriguez-Laguna","Chaos in the Classical Analogue of the Hofstadter Problem","LaTeX, 13 pages. GIF figures included",,,"UCM","chao-dyn nlin.CD",,"  The behaviour of an electron in a potential that resembles that of a
bidimensional solid with a perpendicular magnetic field applied is studied from
a classical point of view. This problem presents the standard features of chaos
and some interesting new patterns. A new chaos indicator, called random walk
indicator, is presented to describe som of these new patterns
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 09:44:37 GMT""}]","2007-05-23"
"cond-mat/9808097","Nogueira Flavio","F. S. Nogueira","Gauge dependenceof the order parameter anomalous dimension in the
  Ginzburg-Landau model and the critical fluctuations in superconductors","EuroLaTex, 7 pages, 2 figures, reference updated; version to be
  published in Europhysics Letters","Europhys.Lett.45:612,1999","10.1209/epl/i1999-00211-3",,"cond-mat.supr-con",,"  The critical fluctuations of superconductors are discussed in a fixed
dimension scaling suited to describe the type II regime. The gauge dependence
of the anomalous dimension of the scalar field is stablished exactly from the
Ward-Takahashi identities. Its fixed point value gives the $\eta$ critical
exponent and it is shown that $\eta$ is gauge independent, as expected on
physical grounds. In the scaling considered, $\eta$ is found to be zero at
1-loop order, while $\nu\approx 0.63$. This result is just the 1-loop values
for the XY model obtained in the fixed dimension renormalization group
approach. It is shown that this XY behavior holds at all orders. The result
$\eta=\eta_{XY}$ should be contrasted with the negative values frequently
reported in the literature.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 16:41:51 GMT""},{""version"":""v2"",""created"":""Wed, 12 Aug 1998 14:26:20 GMT""},{""version"":""v3"",""created"":""Tue, 1 Dec 1998 15:39:33 GMT""},{""version"":""v4"",""created"":""Wed, 6 Jan 1999 12:55:55 GMT""}]","2010-12-17"
"cond-mat/9808098","Vincenzo Fiorentini","V. Fiorentini (CA,Munich), F. Bernardini (CA), F. Della Sala, A.
  DiCarlo, P. Lugli (Rroma-2)","Effects of macroscopic-polarization built-in electrostatic fields in
  III-V nitrides multi-quantum-wells","RevTeX 10 pages, 9 figures",,,,"cond-mat.mtrl-sci",,"  Huge built-in electric fields have been predicted to exist in wurtzite III-V
nitrides thin films and multilayers. Such fields originate from heterointerface
discontinuities of the macroscopic bulk polarization of the nitrides. Here we
discuss the background theory, the role of spontaneous polarization in this
context, and the practical implications of built-in polarization fields in
nitride nanostructures. To support our arguments, we present detailed
self-consistent tight-binding simulations of typical nitride QW structures in
which polarization effects are dominant.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 16:01:33 GMT""},{""version"":""v2"",""created"":""Wed, 20 Jan 1999 16:45:58 GMT""}]","2007-05-23"
"cond-mat/9808099","Samuel De Toro Arias","Samuel De Toro Arias and Christian Vanneste (LPMC Nice, CNRS)","A New Construction for Scalar Wave Equations in Inhomogeneous Media","25 Revtex pages, 15 combined TeX Figures","J. Phys. I France 7 (1997) 1071--1096",,,"cond-mat.dis-nn",,"  The paper describes a formulation of discrete scalar wave propagation in an
inhomogeneous medium by the use of elementary processes obeying a discrete
Huygens' principle and satisfying fundamental symmetries such as time-reversal,
reciprocity and isotropy. Its novelty is the systematic derivation of a unified
equation which, properly tuned by a single parameter, leads to either the
Klein-Gordon equation or the Schr\""{o}dinger equation. The generality of this
method enables one to consider its extension to other types of discrete wave
equations on any kind of discrete lattice.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 16:53:57 GMT""}]","2007-05-23"
"cond-mat/9808100","Sasha Chernyshev","M. E. Zhitomirsky (1,2) and A. L. Chernyshev (3) ((1) Department of
  Physics, University of Toronto, (2) L. D. Landau Institute for Theoretical
  Physics, (3) Department of Physics, Queen's University)","Instability of antiferromagnetic magnons in strong fields","RevTeX, 4 pages, 3 figures, accepted to PRL","Phys. Rev. Lett. 82, 4536 (1999).","10.1103/PhysRevLett.82.4536",,"cond-mat.str-el",,"  We predict that spin-waves in an ordered quantum antiferromagnet (AFM) in a
strong magnetic field become unstable with respect to spontaneous two-magnon
decays. At zero temperature, the instability occurs between the threshold field
$H^*$ and the saturation field $H_c$. As an example, we investigate the
high-field dynamics of a Heisenberg antiferromagnet on a square lattice and
show that the single-magnon branch of the spectrum disappears in the most part
of the Brillouin zone.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 17:18:57 GMT""},{""version"":""v2"",""created"":""Tue, 11 May 1999 17:48:30 GMT""}]","2009-10-31"
"cond-mat/9808101","Oana Malis","O. Malis, K. F. Ludwig, Jr., D. L. Olmsted and B. Chakraborty","Monte Carlo Study of Short-Range Order and Displacement Effects in
  Disordered CuAu","9 pages, 5 figures, 2 tables",,"10.1080/13642819908214846",,"cond-mat.stat-mech",,"  The correlation between local chemical environment and atomic displacements
in disordered CuAu alloy has been studied using Monte Carlo simulations based
on the effective medium theory (EMT) of metallic cohesion. These simulations
correctly reproduce the chemically-specific nearest-neighbor distances in the
random alloy across the entire Cu\$_x\$Au\$_{1-x}\$ concentration range. In the
random equiatomic CuAu alloy, the chemically specific pair distances depend
strongly on the local atomic environment (i.e. fraction of like/unlike nearest
neighbors). In CuAu alloy with short-range order, the relationship between
local environment and displacements remains qualitatively similar. However the
increase in short-range order causes the average Cu-Au distance to decrease
below the average Cu-Cu distance, as it does in the ordered CuAuI phase. Many
of these trends can be understood qualitatively from the different neutral
sphere radii and compressibilities of the Cu and Au atoms.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 21:34:11 GMT""}]","2017-02-08"
"cond-mat/9808102","Hu-Jong Lee","Nam Kim, Yong Joo Doh, Hyun-Sik Chang, and Hu-Jong Lee","Suppressed Superconductivity of the Surface Conduction Layer in
  Bi$_2$Sr$_2$CaCu$_2$O$_{8+x}$ Single Crystals Probed by {\it c}-Axis
  Tunneling Measurements","13 pages, 6 figures",,"10.1103/PhysRevB.59.14639",,"cond-mat.supr-con",,"  We fabricated small-size stacks on the surface of
Bi$_2$Sr$_2$CaCu$_2$O$_{8+x}$ (BSCCO-2212) single crystals with the bulk
transition temperature $T_c$$\simeq$90 K, each containing a few intrinsic
Josephson junctions. Below a critical temperature $T_c'$ ($\ll$ $T_c$), we have
observed a weakened Josephson coupling between the CuO$_2$ superconducting
double layer at the crystal surface and the adjacent one located deeper inside
a stack. The quasiparticle branch in the $IV$ data of the weakened Josephson
junction (WJJ) fits well to the tunneling characteristics of a d-wave
superconductor($'$)/insulator/d-wave superconductor (D$'$ID) junction. Also,
the tunneling resistance in the range $T_c'$$<$$T$$<$$T_c$ agrees well with the
tunneling in a normal metal/insulator/d-wave superconductor (NID) junction. In
spite of the suppressed superconductivity at the surface layer the symmetry of
the order parameter appears to remain unaffected.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 01:49:13 GMT""}]","2009-10-31"
"cond-mat/9808103","Daniel L. Miller","Daniel L. Miller","Inhomogeneous states in quantum dots. I","2 pages, multicol",,,,"cond-mat",,"  In this work we show that the Anderson impurity model applied to ``scar''
wave function may explain large fluctuations of ground state energy of electron
gas in a quantum dot.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 09:46:41 GMT""}]","2007-05-23"
"cond-mat/9808104","Emilio Cuevas","M. Ortuno and E. Cuevas","Localized to extended states transition for two interacting particles in
  a two-dimensional random potential","4 two-column pages, 4 eps figures, Revtex, to be published in
  Europhys. Lett","Europhys. Lett., 46(2), 224-230 (1999)","10.1209/epl/i1999-00248-2",,"cond-mat.dis-nn cond-mat.mes-hall",,"  We show by a numerical procedure that a short-range interaction $u$ induces
extended two-particle states in a two-dimensional random potential. Our
procedure treats the interaction as a perturbation and solve Dyson's equation
exactly in the subspace of doubly occupied sites. We consider long bars of
several widths and extract the macroscopic localization and correlation lengths
by an scaling analysis of the renormalized decay length of the bars. For $u=1$,
the critical disorder found is $W_{\rm c}=9.3\pm 0.2$, and the critical
exponent $\nu=2.4\pm 0.5$. For two non-interacting particles we do not find any
transition and the localization length is roughly half the one-particle value,
as expected.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 09:19:59 GMT""},{""version"":""v2"",""created"":""Mon, 1 Mar 1999 16:49:47 GMT""}]","2009-10-31"
