"adap-org/9805002","Barbara Drossel","Barbara Drossel","Extinction events and species lifetimes in a simple ecological model","4 pages RevTex, including 3 postscript figures","Phys. Rev. Lett.81, 5011 (1998)","10.1103/PhysRevLett.81.5011",,"adap-org cond-mat.stat-mech nlin.AO q-bio",,"  A model for large-scale evolution recently introduced by Amaral and Meyer is
studied analytically and numerically. Species are located at different trophic
levels and become extinct if their prey becomes extinct. It is proved that this
model is self-organized critical in the thermodynamic limit, with an exponent 2
characterizing the size distribution of extinction events. The lifetime
distribution of species, cutoffs due to finite-size effects, and other
quantities are evaluated. The relevance of this model to biological evolution
is critically assessed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 08:36:48 GMT""}]","2009-10-30"
"astro-ph/9805235","Corinne Charbonnel","C. Charbonnel, J.D. do Nascimento Jr","How many low-mass stars do destroy 3He?","Accepted for publication in A&A",,,,"astro-ph",,"  We recall the current status of the long-standing 3He problem, and its
possible connection with chemical anomalies on the red giant branch. In this
context, we collect in the literature all the available observations of the
carbon isotopic ratio in field and cluster giant stars. Using the HIPPARCOS
parallaxes, we get constraints on the evolutionary status of the field stars of
the sample. This allows us to identify the stars that have passed the
luminosity function bump and present 12C/13C ratios in disagreement with the
standard predictions of stellar evolutionary models. We determine statistically
what fraction of low mass stars experience an extra-mixing process on the red
giant branch, and are then expected to destroy their 3He at this evolutionary
phase. The high number we get satisfies the galactic requirements for the
evolution of the 3He abundance.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 15:24:29 GMT""}]","2007-05-23"
"cond-mat/9805201","Richard P. Sear","Richard P. Sear","The stability limit of polydisperse sticky hard spheres","9 pages, no figures, error corrected (polydisperisty does not
  stabilise fluid-fluid coexistence)",,,,"cond-mat.soft cond-mat.stat-mech",,"  It has been shown by Stell [J. Stat. Phys. 63, 1203 (1991)] that at low
temperature monodisperse sticky spheres collapse to form coexisting
close-packed solid and infinitely dilute gases. We show that polydisperse
sticky spheres also collapse and calculate the collapse temperature. The
polydisperse spheres separate into fractions with narrower polydispersities
which can then solidify. This is the first example of a single-peaked
polydisperse mixture phase separating. It implies that a mixture of
polydisperse large hard spheres with much smaller hard spheres does not show
fluid--fluid coexistence.
","[{""version"":""v1"",""created"":""Sun, 17 May 1998 21:54:53 GMT""},{""version"":""v2"",""created"":""Tue, 19 May 1998 17:56:34 GMT""},{""version"":""v3"",""created"":""Tue, 13 Oct 1998 15:29:57 GMT""}]","2007-05-23"
"cond-mat/9805202","Dirk Helbing","Dirk Helbing","A Mathematical Model for the Behavior of Pedestrians","For related work see
  http://www.theo2.physik.uni-stuttgart.de/helbing.html","Behavioral Science 36, 298-310 (1991)",,,"cond-mat.stat-mech",,"  The movement of pedestrians is supposed to show certain regularities which
can be best described by an ``algorithm'' for the individual behavior and is
easily simulated on computers. This behavior is assumed to be determined by an
intended velocity, by several attractive and repulsive effects and by
fluctuations. The movement of pedestrians is dependent on decisions, which have
the purpose of optimizing their behavior and can be explicitly modelled. Some
interesting applications of the model to real situations are given, especially
to formation of groups, behavior in queues, avoidance of collisions and
selection processes between behavioral alternatives.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 07:28:24 GMT""}]","2007-05-23"
"cond-mat/9805203","Andrzej Oles","Louis Felix Feiner (1), Andrzej M. Oles (2), and Jan Zaanen (3) ((1)
  Philips Research Laboratories, Eindhoven, (2) Max-Planck-Institut FKF,
  Stuttgart, (3) Institute Lorentz, Leiden)","Quantum disorder versus order-out-of-disorder in the Kugel-Khomskii
  model","4 pages, ReVTeX, 4 figures",,"10.1088/0953-8984/10/32/001",,"cond-mat.str-el",,"  The Kugel-Khomskii model, the simplest model for orbital degenerate magnetic
insulators, exhibits a zero temperature degeneracy in the classical limit which
could cause genuine quantum disorder. Khaliullin and Oudovenko [Phys. Rev. B
56, R14 243 (1997)] suggested recently that instead a particular classical
state could be stabilized by quantum fluctuations. Here we compare their
approach with standard random phase approximation and show that it strongly
underestimates the strength of the quantum fluctuations, shedding doubts on the
survival of any classical state.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 09:49:26 GMT""}]","2009-10-31"
"cond-mat/9805204","Andrea De Martino","Andrea De Martino (Dip. Fisica, Univ. ""La Sapienza"", Rome, Italy)","The geometrically broken object","7 pages",,,,"cond-mat.stat-mech",,"  We introduce an analytically solvable model for a fragmented object that,
despite of a low degree of randomness and of the extreme simplicity of the
breaking process, displays non self-averaging effects in its thermodynamic
limit.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 10:47:03 GMT""}]","2007-05-23"
"cond-mat/9805205","Savrasov Sergej","S. Y. Savrasov","Linear Response Calculations of Spin Fluctuations","11 pages, RevTex; 3 Figures, postscript, high-resolution printing
  (~1200dpi) is desired",,"10.1103/PhysRevLett.81.2570",,"cond-mat.str-el cond-mat.mtrl-sci",,"  A variational formulation of the time--dependent linear response based on the
Sternheimer method is developed in order to make practical ab initio
calculations of dynamical spin susceptibilities of solids. Using gradient
density functional and a muffin-tin-orbital representation, the efficiency of
the approach is demonstrated by applications to selected magnetic and strongly
paramagnetic metals. The results are found to be consistent with experiment and
are compared with previous theoretical calculations.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 12:25:22 GMT""}]","2009-10-31"
"cond-mat/9805206","Erel Milshtein","O. Biham, E. Milshtein and S. Solomon (The Hebrew University,
  Jerusalem, Israel)","Symmetries and Universality Classes in Conservative Sandpile Models","10 pages of text, RevTeX, additional 3 figures in 4 PS files",,,,"cond-mat",,"  The symmetry properties which determine the critical exponents and
universality classes in conservative sandpile models are identified. This is
done by introducing a set of models, including all possible combinations of
abelian vs. non-abelian, deterministic vs. stochastic and isotropic vs.
anisotropic toppling rules. The universality classes are determined by an
extended set of critical exponents, scaling functions and geometrical features.
Two universality classes are clearly identified: (a) the universality class of
abelian models and (b) the universality class of stochastic models. In
addition, it is found that non-abelian models with deterministic toppling rules
exhibit non-universal behavior.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 12:42:30 GMT""}]","2007-05-23"
"cond-mat/9805207",,"Arne Neumayr and Walter Metzner","Fermion loops, loop cancellation and density correlations in two
  dimensional Fermi systems","24 pages (including 3 EPS figures), LaTeX2e; submitted to Phys. Rev.
  B","Phys.Rev. B58 (1998) 15449","10.1103/PhysRevB.58.15449",,"cond-mat",,"  We derive explicit results for fermion loops with an arbitrary number of
density vertices in two dimensions at zero temperature. The 3-loop is an
elementary function of the three external momenta and frequencies, and the
N-loop can be expressed as a linear combination of 3-loops with coefficients
that are rational functions of momenta and frequencies. We show that the
divergencies of single loops for low energy and small momenta cancel each other
when loops with permuted external variables are summed. The symmetrized N-loop,
i.e. the connected N-point density correlation function of the Fermi gas, does
not diverge for low energies and small momenta. In the dynamical limit, where
momenta scale to zero at fixed finite energy variables, the symmetrized N-loop
vanishes as the (2N-2)-th power of the scale parameter.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 12:47:08 GMT""},{""version"":""v2"",""created"":""Tue, 19 May 1998 08:56:04 GMT""}]","2009-10-31"
"cond-mat/9805208","Jean-Philippe Bouchaud","F. Alberici-Kious, J.-P. Bouchaud, L.F Cugliandolo, P. Doussineau, A.
  Levelut (LMDH-Jussieu, CEA-Saclay and LPTENS/LPTHE-Paris)","Aging in K$_{1-x}$Li$_x$Ta0$_3$: a domain growth interpretation","4 pages. Preprint LPTENS/9820, submitted to Phys. Rev. Lett","Phys. Rev. Lett. 81, 4987 (1998)","10.1103/PhysRevLett.81.4987",,"cond-mat",,"  The aging behaviour of the a.c. susceptibility of randomly substituted
K$_{1-x}$Li$_x$Ta0$_3$ crystals reveals marked differences with spin-glasses in
that cooling rate effects are very important. The response to temperature steps
(including temperature cycles) was carefully studied. A model based on
thermally activated domain growth accounts for all the experimental results,
provided one allows for a large distribution of pinning energies, in such a way
that `slow' and `fast' domains coexist. Interesting similarities with deeply
supercooled liquids are underlined.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 12:58:54 GMT""}]","2009-10-31"
"cond-mat/9805209","Frank Zimmerschied","J.-Q. Liang, H.J.W. Mueller-Kirsten, D.K. Park and F. Zimmerschied","Periodic Instantons and Quantum-Classical Transitions in Spin Systems","10 pages, 3 figures","Phys.Rev.Lett. 81 (1998) 216-219","10.1103/PhysRevLett.81.216",,"cond-mat hep-th",,"  Some models allowing explicit calculation of periodic instantons and
evaluation of their action are studied with regard to transitions from
classical to quantum behaviour as the temperature is lowered and tunneling sets
in. It is shown that (beyond a critical value of a coupling) the spin system
considered acquires a first order transition as a result of the field
dependence of its effective mass, whereas models with constant mass exhibit
only second order transitions.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:25:08 GMT""}]","2009-10-31"
"cond-mat/9805210","Aste Tomaso","Tomaso Aste","Dynamical partitions of space in any dimension","LaTeX 5 eps figures, submetted to J. Phys. A",,"10.1088/0305-4470/31/43/003",,"cond-mat.dis-nn",,"  Topologically stable cellular partitions of D dimensional spaces are studied.
A complete statistical description of the average structural properties of such
partition is given in term of a sequence of D/2-1 (or (D-1)/2) variables for D
even (or odd). These variables are the average coordination numbers of the
2k-dimensional polytopes (2k < D) which make the cellular structure. A
procedure to built D dimensional space partitions trough cell-division and
cell-coalescence transformations is presented. Classes of structures which are
invariant under these transformations are found and the average properties of
such structures are illustrated. Homogeneous partitions are constructed and
compared with the known structures obtained by Voronoi partitions and sphere
packings in high dimensions.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:45:33 GMT""}]","2009-10-31"
"cond-mat/9805211","F. de los Santos","F. de los Santos and P.L. Garrido (Institute Carlos I for Theoretical
  and Computational Physics, U. of Granada, Spain)","Continuum Field Description of Driven Lattice Gases","Latex, 20 pages, no figures. Submitted to J. Stat. Phys",,"10.1023/A:1004580618162","dl-2-98","cond-mat",,"  We review the critical behaviour of the Driven Lattice Gas (DLG) model. As a
result, we obtain a novel Langevin equation for the DLG which depends on the
microscopic transition probabilities. We then show how this dependence affects
the critical behaviour of the the DLG placing the finite and the infinite
driving field cases into different universality classes. Two other well known
anisotropic, conservative, non-equilibrium models, the two-temperature model
and the randomly driven model (RDLG) are also studied. It is shown that the
RDLG with infinite averaged field and the two-temperature model with infinite
parallel temperature fall in the same universality class as the infinitely
driven DLG. A Langevin equation for the two-layer DLG is also presented.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 15:37:30 GMT""}]","2015-06-25"
"cond-mat/9805212","Claude Godreche","A. Baldassarri, J.P. Bouchaud, I. Dornic, and C. Godr\`eche","Generalized persistence exponents: an exactly soluble model","4 pages, 3 figures Submitted to PRL","Phys. Rev. E 59, R20 (1999)","10.1103/PhysRevE.59.R20",,"cond-mat.stat-mech",,"  It was recently realized that the persistence exponent appearing in the
dynamics of nonequilibrium systems is a special member of a continuously
varying family of exponents, describing generalized persistence properties. We
propose and solve a simplified model of coarsening, where time intervals
between spin flips are independent, and distributed according to a L\'evy law.
Both the limit distribution of the mean magnetization and the generalized
persistence exponents are obtained exactly.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 15:39:24 GMT""}]","2009-10-31"
"gr-qc/9805063","Beverly K. Berger","Beverly K. Berger, David Garfinkle, James Isenberg, Vincent Moncrief,
  Marsha Weaver","The Singularity in Generic Gravitational Collapse Is Spacelike, Local,
  and Oscillatory","7 pages includes 4 figures. Uses Revtex and psfig. Received
  ""honorable mention"" in 1998 Gravity Research Foundation essay contest.
  Submitted to Mod. Phys. Lett. A","Mod.Phys.Lett. A13 (1998) 1565-1574","10.1142/S0217732398001649",,"gr-qc",,"  A longstanding conjecture by Belinskii, Khalatnikov, and Lifshitz that the
singularity in generic gravitational collapse is spacelike, local, and
oscillatory is explored analytically and numerically in spatially inhomogeneous
cosmological spacetimes. With a convenient choice of variables, it can be seen
analytically how nonlinear terms in Einstein's equations control the approach
to the singularity and cause oscillatory behavior. The analytic picture
requires the drastic assumption that each spatial point evolves toward the
singularity as an independent spatially homogeneous universe. In every case,
detailed numerical simulations of the full Einstein evolution equations support
this assumption.
","[{""version"":""v1"",""created"":""Sun, 17 May 1998 19:22:03 GMT""}]","2009-10-31"
"gr-qc/9805064","Hiroshi Umetsu","Hisao Suzuki, Eiichi Takasugi and Hiroshi Umetsu","Perturbations of Kerr-de Sitter Black Hole and Heun's Equations","17 pages, LaTeX","Prog.Theor.Phys. 100 (1998) 491-505","10.1143/PTP.100.491","EPHOU 98-005, OU-HET-296","gr-qc",,"  It is well known that the perturbation equations of massless fields for the
Kerr-de Sitter geometry can be written in the form of separable equations. The
equations have five definite singularities so that the analysis has been
expected to be difficult. We show that these equations can be transformed to
Heun's equations, for which we are able to use known technique for the analysis
of the solutions. We reproduce results known previously for the Kerr geometry
and de Sitter geometry in the confluent limits of the Heun's functions. Our
analysis applies can be extended to Kerr-Newman-de Sitter geometry for massless
fields with spin 0 and 1/2.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 08:45:42 GMT""}]","2009-10-31"
"gr-qc/9805065","Domenico Giulini","Domenico Giulini","The Generalized Thin-Sandwich Problem and its Local Solvability","18 pages, Plain TeX","J.Math.Phys. 40 (1999) 2470-2482","10.1063/1.532877","ZU-TH 9/98","gr-qc",,"  We consider Einstein Gravity coupled to dynamical matter consisting of a
gauge field with any compact gauge group and minimally coupled scalar fields.
We investigate the conditions under which a free specification of a spatial
field configuration for the total system and its derivative with respect to
coordinate-time determines a solution to the field equations (generalized
thin-sandwich problem). Sufficient conditions for local solvability (in the
space of fields) are established.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 11:37:10 GMT""}]","2015-06-25"
"gr-qc/9805066","T. P. Singh","T. P. Singh","Gravitational Collapse, Black Holes and Naked Singularities","17 pages, Latex File. Based on a talk given at the Discussion
  Workshop on Black Holes, Bangalore, 9-12 Dec. 1997, to appear in the
  Conference Proceedings","J.Astrophys.Astron.20:221,1999","10.1007/BF02702354","TIFR Preprint","gr-qc astro-ph hep-th",,"  This article gives an elementary review of gravitational collapse and the
cosmic censorship hypothesis. Known models of collapse resulting in the
formation of black holes and naked singularities are summarized. These models,
when taken together, suggest that the censorship hypothesis may not hold in
classical general relativity. The nature of the quantum processes that take
place near a naked singularity, and their possible implication for
observations, is briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:04:53 GMT""}]","2009-10-31"
"gr-qc/9805067","Dharam V. Ahluwalia","D. V. Ahluwalia","Can general-relativistic description of gravitation be considered
  complete?","Essay Awarded ""Honorable Mention"" by Gravity Research Foundation
  (1998). The answer to the question posed in the title is an experimentally
  verifiable ""no.""","Mod.Phys.Lett.A13:1393-1400,1998","10.1142/S0217732398001455","LA-UR-98-1159","gr-qc astro-ph hep-ph hep-th quant-ph",,"  The local galactic cluster, the Great attractor, embeds us in a dimensionless
gravitational potential of about - 3 x 10^{-5}. In the solar system this
potential is constant to about 1 part in 10^{11}. Consequently, planetary
orbits, which are determined by the gradient in the gravitational potential,
remain unaffected. However, this is not so for the recently introduced
flavor-oscillation clocks where the new redshift-inducing phases depend on the
gravitational potential itself. On these grounds, and by studying the
invariance properties of the gravitational phenomenon in the weak fields, we
argue that there exists an element of incompleteness in the
general-relativistic description of gravitation. An incompleteness-establishing
inequality is derived and an experiment is outlined to test the thesis
presented.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 15:36:47 GMT""}]","2008-11-26"
"gr-qc/9805068","N. K. Dadhich","Naresh Dadhich","On Electrogravity Duality","9 pages, LaTeX version","Mod.Phys.Lett. A14 (1999) 337-342","10.1142/S0217732399000389","IUCAA-17/98","gr-qc",,"  By resolving the gravitational field into electric and magnetic parts, we
define an electrogravity duality transformation and discover an interesting
property of the field. Under the duality transformation a vacuum/flat spacetime
maps into the original spacetime with a topological defect of global
monopole/texture. The elctrogravity-duality is thus a topological defect
generating process. It turns out that all black hole solutions possess dual
solutions that imbibe a global monopole.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 15:35:16 GMT""}]","2009-10-31"
"hep-ex/9805018","Andrew Kirk","The WA102 Collaboration, D. Barberis et al","A study of the centrally produced phiphi system in pp interactions at
  450 GeV/c","11 pages, Latex, 4 Figures","Phys.Lett.B432:436-442,1998","10.1016/S0370-2693(98)00661-3",,"hep-ex",,"  The reaction pp to pfps(K+K-K+K-) in which the K+K-K+K- system is centrally
produced has been studied at 450 GeV/c. Phi phi production has been found to
dominate this reaction and is compatible with being produced by double Pomeron
exchange. An angular analysis of the phi phi system favours JPC = 2++ and its
dPT dependence is similar to that observed for glueball candidates.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:13:54 GMT""}]","2008-11-26"
