"adap-org/9812002","Carl Lipo","Mark Madsen (1), Carl Lipo (1 and 2), Michael Cannon (2) ((1) Emergent
  Media, Inc., (2) University of Washington)","Reproductive Tradeoffs In Uncertain Environments: Explaining The
  Evolution Of Cultural Elaboration","32 pages, 5 figures",,,,"adap-org nlin.AO",,"  Dunnell's (1989) explanation for cultural elaboration proposed that
elaboration could be a consequence of selection within uncertain environments.
He developed the theory to the extent that it performed well explaining the
distribution of elaboration at regional scales within eastern North America.
More detailed studies require more detailed development of the theory, so that
additional hypotheses and implications can be deduced. We draw upon theories of
selection in fluctuating environments and portions of life history theory to
propose a formal model of selection for ""waste"" in uncertain environments. We
use agent-based simulation to explore the sufficiency of the theory for
explaining the maintenance of high levels of elaboration within populations,
and deduce novel implications for archaeological evidence usable by others to
test the utility of Dunnell's model in specific localities.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 19:35:27 GMT""}]","2007-05-23"
"astro-ph/9812084","Mario A. Hamuy","Mario Hamuy and Philip A. Pinto (The University of Arizona)","Selection Effects, Biases, and Constraints in the Calan/Tololo Supernova
  Survey","36 pages, 19 figures as extra files, to appear in the AJ",,"10.1086/300759",,"astro-ph",,"  We use Monte Carlo simulations of the Calan/Tololo photographic supernova
survey to show that a simple model of the survey's selection effects accounts
for the observed distributions of recession velocity, apparent magnitude,
angular offset, and projected radial distance between the supernova and the
host galaxy nucleus for this sample of Type Ia supernovae (SNe Ia). The model
includes biases due to the flux-limited nature of the survey, the different
light curve morphologies displayed by different SNe Ia, and the difficulty of
finding events projected near the central regions of the host galaxies. From
these simulations we estimate the bias in the zero-point and slope of the
absolute magnitude-decline rate relation used in SNe Ia distance measurements.
For an assumed intrinsic scatter of 0.15 mag about this relation, these
selection effects decrease the zero-point by 0.04 mag. The slope of the
relation is not significantly biased. We conclude that despite selection
effects in the survey, the shape and zero-point of the relation determined from
the Calan/Tololo sample are quite reliable. We estimate the degree of
incompleteness of the survey as a function of decline rate and estimate a
corrected luminosity function for SNe Ia in which the frequency of SNe appears
to increase with decline rate (the fainter SNe are more common). Finally, we
compute the integrated detection efficiency of the survey in order to infer the
rate of SNe Ia from the 31 events found. For a value of Ho=65 km/sec/Mpc we
obtain a SN Ia rate of 0.21(+0.30)(-0.13) SNu. This is in good agreement with
the value 0.16+/-0.05 SNu recently determined by Capellaro et al. (1997).
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 21:09:42 GMT""}]","2009-10-31"
"astro-ph/9812085","Yanqin Wu","Yanqin Wu & Peter Goldreich","Gravity-Modes in ZZ Ceti Stars III. Eigenvalues and Eigenfuctions","20 pages with 9 figures, submitted to ApJ",,,,"astro-ph",,"  We report on numerical calculations of nonadiabatic eigenvalues and
eigenfunctions for g-modes in ZZ Ceti variables. The spectrum of overstable
$l=1$ modes delineates the instability strip. Its blue edge occurs where
$\omega \tau_c \approx 1$ for the $n=1$ mode. Here $\omega$ is radian frequency
and $\tau_c$ is about four times the thermal timescale at the bottom of the
surface convection zone. As a ZZ Ceti cools, its convection zone deepens,
longer period modes become overstable, but the critical value of $\omega\tau_c$
separating overstable and damped modes rises. The latter is a consequence of
enhanced radiative damping for modes which propagate immediately below the
convection zone. The critical value of $\omega\tau_c$ is of observational
significance because modes with the smallest value of $\omega\tau_c$ are most
observable photometrically. Maximum periods for overstable modes predicted for
our cooler model envelopes are about a factor two longer than the observational
upper limit of $1,200\s$. We assess a number of plausible resolutions for this
discrepancy among which convective overshoot and nonlinear saturation look
promising. The nonadiabatic eigenfunctions enable us to predict relative
amplitudes and phases of photospheric variations of flux and velocity,
quantities made accessible by recent observations. We also present asymptotic
formula for damping rates of high order modes, a result of consequence for
future investigations of nonlinear saturation of the amplidues of overstable
modes.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 22:11:58 GMT""}]","2007-05-23"
"astro-ph/9812086","Puragra GuhaThakurta","Eva K. Grebel and Puragra Guhathakurta","Properties of Two New M31 dSph Companions from Keck Imaging","Accepted for publication in the Astrophysical Journal Letters (Dec 3,
  1998) [7 pages of text including 1 table, 4 figures]",,"10.1086/311852","Lick Observatory Bulletin No. 1382","astro-ph",,"  We have obtained Keck Low Resolution Imaging Spectrograph images in V and I
of the newly discovered Local Group dwarf galaxies Pegasus dSph and Cassiopeia
dSph and their surrounding field. The first stellar luminosity functions and
color-magnitude diagrams are presented for stars with V <~ 25 and I <~ 24. The
distances to the new dwarfs are estimated from the apparent I mag of the tip of
the red giant branch to be: D_MW (Peg dSph) = 830 +/- 80 kpc and D_MW (Cas
dSph) = 760 +/- 70 kpc, consistent with their belonging to the extended M31
satellite system. Both galaxies are dwarf spheroidals (dSphs) with red giant
branch morphologies indicating predominantly old stellar populations and
estimated mean metallicities, <[Fe/H]>, of -1.3 +/- 0.3 for Peg dSph and -1.4
+/- 0.3 for Cas dSph. Their central surface brightness-<[Fe/H]>-absolute
magnitude relationship follows that of other Local Group dSphs, dwarf
ellipticals, and dwarf irregulars. In contrast to four out of nine Milky Way
dSphs (the four that lie beyond D_MW =100 kpc), none of the six known M31 dSphs
appears to have a dominant intermediate-age population.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 23:11:44 GMT""}]","2009-10-31"
"astro-ph/9812087","Piero Madau","Piero Madau","After the Dark Ages: the Evolution of Luminous Sources at z<5","LaTeX, 10 pages, invited review at the Xth Rencontres de Blois
  meeting ``The Birth of Galaxies'', eds. B. Guiderdoni, F. R. Bouchet, Trinh
  X. Thuan, & Tran Thanh Van (Gif-sur-Yvette: Edition Frontieres)",,,,"astro-ph",,"  I review recent observational and theoretical progress in our understanding
of the cosmic evolution of luminous sources. Through a combination of deep
imaging, Keck spectroscopy, and COBE background measurements, important
constraints have emerged on the emission history of the galaxy population as a
whole. A simple stellar evolution model, defined by a star-formation density
that rises from z=0 to z=1.5, a universal Salpeter IMF, and a moderate amount
of dust with A_V=0.23 mag (A_1500=1.2 mag), is able to account for most of the
optical-FIR extragalactic background light, and reproduces the global
ultraviolet, optical, and near-IR photometric properties of the universe. By
contrast, a star-formation density that stayed roughly constant at all epochs
appears to overproduce the local K-band luminosity density. While the bulk of
the stars present today formed relatively recently, the existence of a decline
in the star-formation density above z=2 remains uncertain. If stellar sources
are responsible for photoionizing the intergalactic medium at z=5, the rate of
star formation at this epoch must be comparable or greater than the one
inferred from optical observations of galaxies at z=3. A population of dusty
AGNs at z>2 could make a significant contribution to the FIR background if the
accretion efficiency is close to 10%.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 00:59:50 GMT""},{""version"":""v2"",""created"":""Fri, 4 Dec 1998 03:24:18 GMT""}]","2007-05-23"
"astro-ph/9812088","Arthur Lue","Arthur Lue, Limin Wang, and Marc Kamionkowski (Columbia U.)","Cosmological Signature of New Parity-Violating Interactions","4 pages, 2 figures. Origin of new terms clarified, to be published in
  Physical Review Letters","Phys.Rev.Lett. 83 (1999) 1506-1509","10.1103/PhysRevLett.83.1506","CU-TP-926, CAL-675","astro-ph gr-qc hep-ph hep-th",,"  Does Nature yield any manifestations of parity violation other than those
observed in weak interactions? A map of the cosmic microwave background (CMB)
temperature and polarization will provide a new signature of P violation. We
give two examples of new P violating interactions, which may have something to
do with Planck-scale physics, inflation, and/or quintessence, that would give
rise to such a signature. Although these effects would most likely elude
detection by MAP and the Planck Surveyor, they may be detectable with a future
dedicated CMB polarization experiment.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 01:05:38 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jul 1999 15:36:59 GMT""}]","2009-10-31"
"astro-ph/9812089","Steven D. Bloom","S. D. Bloom, A. P. Marscher, E. M. Moore, W. K. Gear, H. Terasranta,
  E. Valtaoja, H. D. Aller, M. F. Aller","Multiwaveband Observations of Quasars with Flat Radio Spectra and Strong
  Millimeter Emission","38 pages, 17 figures, 12 tables, accepted for publication in Ap J
  Suppl, May 1999",,"10.1086/313204",,"astro-ph",,"  We present multiwaveband observations of a well selected sample of 28 quasars
and two radio galaxies with flat radio spectra and strong millimeter wave
emission (referred to here as FSRQ's). The observations include multifrequency
VLBI measurements, X-ray observations with ROSAT and submillimeter observations
with the JCMT. Particularly interesting among many findings is a correlation
between the X-ray to millimeter spectral index and fraction of flux density
contained in the VLBI core. This tendency toward higher X-ray fluxes from
sources with stronger jet emission implies that the knots in the jet are the
prominent source of X-rays.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 02:06:57 GMT""}]","2009-10-31"
"astro-ph/9812090","Ranga-Ram Chary","R. Chary, B. Zuckerman, E. E. Becklin","Observational Constraints on the Origin of Metals in Cool DA-type White
  Dwarfs","3 pages, 2 figures, Proceedings of `The Universe as seen by ISO'
  conference, Paris, Oct 1998",,,,"astro-ph",,"  We present ISOCAM 7 micron and 15 micron observations of 12 nearby white
dwarfs, 6 of which have been found to have metals such as Ca, Mg and Fe in
their photospheres. Our purpose was to search for an excess of infrared
emission above the stellar photospheres. We find that none of the white dwarfs
other than G29-38 shows a detectable infrared excess and this places strong
constraints on the existence of a dusty disk around these stars. We conclude
that ongoing accretion of the interstellar medium seems an unlikely explanation
for the existence of metals in the photospheres of cool hydrogen atmosphere
white dwarfs.
  The excess associated with G29-38 is 3.8+/-1.0 mJy and 2.9+/-0.6 mJy at 7
micron and 15 micron respectively. The broadband spectrum of this star
strengthens the hypothesis that the infrared excess arises from a disk of
particulate matter surrounding the white dwarf rather than from a cool brown
dwarf companion.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 04:06:45 GMT""}]","2007-05-23"
"astro-ph/9812091","Ben R. Oppenheimer","Ben R. Oppenheimer, S. R. Kulkarni, John R. Stauffer","Brown Dwarfs","29 pages, 7 figures, refereed review article. To appear in
  ""Protostars and Planets IV"", V. Mannings, A. Boss, S. Russell, eds. (Tucson:
  University of Arizona Press) 1999",,,,"astro-ph",,"  After a discussion of the physical processes in brown dwarfs, we present a
complete, precise definition of brown dwarfs and of planets inspired by the
internal physics of objects between 0.1 and 0.001 M_sun. We discuss
observational techniques for characterizing low-luminosity objects as brown
dwarfs, including the use of the lithium test and cooling curves. A brief
history of the search for brown dwarfs leads to a detailed review of known
isolated brown dwarfs with emphasis on those in the Pleiades star cluster. We
also discuss brown dwarf companions to nearby stars, paying particular
attention to Gliese 229B, the only known cool brown dwarf.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 07:04:02 GMT""}]","2007-05-23"
"astro-ph/9812092","Debbie Howell","D. Lynden-Bell","From Quasars to Extraordinary N-body Problems","13 pages, LaTeX with 1 postscript figure included. To appear in
  Proceedings of New York Academy of Sciences, 13th Florida Workshop in
  Nonlinear Astronomy and Physics",,"10.1111/j.1749-6632.1998.tb11247.x",,"astro-ph",,"  We outline reasoning that led to the current theory of quasars and look at
George Contopoulos's place in the long history of the N-body problem. Following
Newton we find new exactly soluble N-body problems with multibody forces and
give a strange eternally pulsating system that in its other degrees of freedom
reaches statistical equilibrium.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 09:36:23 GMT""}]","2009-10-31"
"astro-ph/9812093","Dieter Lutz","E. Oliva, D. Lutz, S. Drapatz, A.F.M. Moorwood","ISO-SWS spectroscopy of IC443 and the origin of the IRAS 12 and 25
  micron emission from radiative supernova remnants","5 pages Latex (A&A Macros 4), 3 ps figures. Accepted for publication
  as an A&A Letter",,,,"astro-ph",,"  ISO-SWS spectral observations of the supernova remnant IC443 are presented.
Like other radiative SNRs, this object is characterized by prominent
line-emitting filaments and relatively strong IRAS 12 and 25 micron emission
which is commonly interpreted as thermal radiation from very small grains
stochastically heated by collisions with the hot plasma behind the shock front.
This interpretation is challenged by the data presented in this Letter which
indicate that most of the 12 and 25 micron IRAS flux is accounted for by
ionized line emission (mainly [NeII] and [FeII]). This result also seems to
hold for other radiative SNRs. We also discuss the possible contribution of H_2
lines to the IRAS 12 micron flux from the southern rim of IC443 and briefly
analyze the element abundances derived from the observed ionic lines.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 10:10:56 GMT""}]","2007-05-23"
"astro-ph/9812094","Frederic Arenou","F. Arenou (Observatoire de Paris/CNRS), X. Luri (Universitat de
  Barcelona)","Distances and absolute magnitudes from trigonometric parallaxes","20 pages, 8 figures, Invited paper in Haguenau Colloquium
  ""Harmonizing Cosmic Distance Scales in a Post-Hipparcos Era"", 14-16/09/98, to
  appear in ASP Conf. Series, D. Egret and A. Heck eds",,,,"astro-ph",,"  We first review the current knowledge of Hipparcos systematic and random
errors, in particular small-scale correlations. Then, assuming Gaussian
parallax errors and using examples from the recent Hipparcos literature, we
show how random errors may be misinterpreted as systematic errors, or
transformed into systematic errors.
  Finally we summarise how to get unbiased estimates of absolute magnitudes and
distances, using either Bayesian or non-parametrical methods. These methods may
be applied to get either mean quantities or individual estimates. In
particular, we underline the notion of astrometry-based luminosity, which
avoids the truncation biases and allows a full use of Hipparcos samples.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 11:54:13 GMT""}]","2007-05-23"
"astro-ph/9812095",,"Eugenio Carretta, Raffaele Gratton, Chris Sneden and Angela Bragaglia","First Dredge-Up and further Mixing Mechanisms along the Red Giant Branch
  in Field Stars","2 pages, 1 figure, LaTex, uses crckapb.sty, poster paper to appear in
  the proceedings of the meeting ""Galaxy Evolution: Connecting the Distant
  Universe with the Local Fossil Record"", Observatoire de Paris-Meudon, 21-25
  September 1998","Astrophys.Space Sci. 265 (1999) 189-190","10.1023/A:1002103408744",,"astro-ph",,"  In this research we use a large sample of field metal-poor stars ([Fe/H]<-1)
in different evolutionary phases to prove observationally that (small mass)
subgiants (stars brighter than the first dredge-up and fainter than the RGB
bump) have abundances of light elements in agreement with predictions from
classical evolutionary models. A further mixing episode occurs just after the
RGB bump, in agreement with the predictions by Charbonnel (1994, A&A, 282, 811;
1995, ApJ, 453, L41) The O-Na anti-correlation, typical signature observed
amongst globular cluster giants, is not present amongst field stars.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 12:20:56 GMT""}]","2009-10-31"
