"adap-org/9812004","Rui Vilela Mendes","R. Vilela Mendes (Grupo de Fisica Matematica, Lisboa, Portugal)","Clustering and synchronization with positive Lyapunov exponents","10 pages Latex, 2 ps figures","Physics Letters A 257 (1999) 132","10.1016/S0375-9601(99)00319-9",,"adap-org nlin.AO",,"  Clustering and correlation effects are frequently observed in chaotic systems
in situations where, because of the positivity of the Lyapunov exponents, no
dimension reduction is to be expected. In this paper, using a globally coupled
network of Bernoulli units, one finds a general mechanism by which strong
correlations and slow structures are obtained at the synchronization edge. A
structure index is defined, which diverges at the transition points. Some
conclusions are drawn concerning the construction of an ergodic theory of
self-organization.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:58:47 GMT""}]","2009-10-30"
"astro-ph/9812341","Werner Hofmann","HEGRA Collaboration, M. Hess et al","The time structure of Cherenkov images generated by TeV gamma-rays and
  by cosmic rays","25 Pages, 16 figures, Latex","Astropart.Phys. 11 (1999) 363-377","10.1016/S0927-6505(99)00003-1",,"astro-ph",,"  The time profiles of Cherenkov images of cosmic-ray showers and of gamma-ray
showers are investigated, using data gathered with the HEGRA system of imaging
atmospheric Cherenkov telescopes during the 1997 outbursts of Mrk 501. Photon
arrival times are shown to vary across the shower images. The dominant feature
is a time gradient along the major axis of the images. The gradient varies with
the distance between the telescope and the shower core, and is maximal for
large distances. The time profiles of cosmic-ray showers and of gamma-ray
showers differ in a characteristic fashion. The main features of the time
profiles can be understood in terms of simple geometrical models. Use of the
timing information towards improved shower reconstruction and cosmic-ray
suppression is discussed.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 07:52:55 GMT""}]","2009-10-31"
"astro-ph/9812342","Stasinska","G. Stasinska","The analysis of giant HII regions using photoionization models","the models used in this paper, including the intensities of IR,
  optical and UV lines, are available from
  ftp://ftp.obspm.fr/pub/obs/grazyna/cd-crete",,,,"astro-ph",,"  After briefly reviewing the impact of various parameters on photoionization
models, we illustrate the importance of the nebular geometry by two examples:
we first compare the results from models with thin shell and full shell
geometry, and we study the influence of a diffuse ionized medium in the
integrated spectra of galaxies at large redshift. Finally, we show how the
calibration of the strong line method for deriving oxygen abundances depends on
the assumed average properties of the ionizing star cluster and on the density
distribution of the nebular gas.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 09:17:34 GMT""}]","2007-05-23"
"astro-ph/9812343","Hans Ritter","A.R. King, H. Ritter","Cygnus X-2, super-Eddington mass transfer, and pulsar binaries","9 pages, 4 encapsulated figures, LaTeX, revised version with a few
  typos corrected and an appendix added, accepted by MNRAS",,"10.1046/j.1365-8711.1999.02862.x",,"astro-ph",,"  We consider the unusual evolutionary state of the secondary star in Cygnus
X-2. Spectroscopic data give a low mass ($M_2 \simeq 0.5 - 0.7\msun$) and yet a
large radius ($R_2 \simeq 7\rsun$) and high luminosity ($L_2 \simeq 150\lsun$).
We show that this star closely resembles a remnant of early massive Case B
evolution, during which the neutron star ejected most of the $\sim 3\msun$
transferred from the donor (initial mass $M_{\rm 2i}\sim 3.6\msun$) on its
thermal time-scale $\sim 10^6$ yr. As the system is far too wide to result from
common-envelope evolution, this strongly supports the idea that a neutron star
efficiently ejects the excess inflow during super--Eddington mass transfer.
Cygnus X-2 is unusual in having had an initial mass ratio $q_{\rm i} = M_{\rm
2i}/M_1$ in a narrow critical range near $q_{\rm i}\simeq 2.6$. Smaller $q_{\rm
i}$ lead to long-period systems with the former donor near the Hayashi line,
and larger $q_{\rm i}$ to pulsar binaries with shorter periods and relatively
massive white dwarf companions. The latter naturally explain the surprisingly
large companion masses in several millisecond pulsar binaries. Systems like
Cygnus X-2 may thus be an important channel for forming pulsar binaries.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 09:36:39 GMT""},{""version"":""v2"",""created"":""Tue, 20 Jul 1999 09:57:30 GMT""}]","2009-10-31"
"astro-ph/9812344","Michele Bellazzini","M. Bellazzini (1), F.R. Ferraro (1), R. Buonanno (2) ((1) Oss.
  Astronomico di Bologna, (2) Oss. Astronomico di Roma)","The Sagittarius Dwarf Galaxy Survey (SDGS) I: CMDs, Reddening and
  Population Gradients. First evidences of a very metal poor population","26 pages, 9 postscript figures + 7 size-reduced .gif figures. Full
  resolution ps file available at http://boas3.bo.astro.it/bap/BAPhome.html
  Accepted by MNRAS",,"10.1046/j.1365-8711.1999.02377.x","BAP-12-1998-042-OAB","astro-ph",,"  We present first results of a large photometric survey devoted to study the
star formation history of the Sagittarius dwarf spheroidal galaxy (Sgr dSph).
Three wide strips (9 X 35 arcmin^2) located at l~5 and b=-16, -14, -12 have
been observed. Each strip is roughly EW oriented, nearly along the major axis
of the galaxy. A control field (~9 X 24 arcmin^2), located outside the body of
Sgr dSph has also been observed for statistic decontamination purposes.
Accurate and well calibrated V,I photometry down to V~22 have been obtained for
\~90000 stars toward the Sgr dSph, and ~8000 stars in the control field. This
is the largest photometric sample (covering the widest spatial extension) ever
observed in the Sgr dSph up to now. The main new results presented in this
paper are: (1) the possible discovery of a strong asymmetry in the distribution
of stars along the major axis, since the north-western arm of the Sgr galaxy
(i.e. the region nearer to the Galactic Bulge) apparently shows a significant
deficiency of Sgr stars and (2) the first direct detection of a very metal poor
(and presumably old) population in the Sgr stellar content. Hints for a
metallicity gradient toward the densest region of the galaxy are also reported.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 09:58:27 GMT""}]","2009-10-31"
"astro-ph/9812345","Daniel Schaerer","Daniel Schaerer (STScI)","New light on the origin of nebular HeII emission in young starbursts","To appear in ""Dwarf Galaxies: Probes for Galaxy Formation and
  Evolution'', Ed. J. Andersen, Highlights of Astronomy, Vol. 11, in press. 2
  pages, including 1 figure. (Sept 97)",,,,"astro-ph",,"  We review the observations of nebular HeII 4686 emission in Local Group
objects and extra-galactic HII regions. Different ionization mechanisms
proposed to explain the unusually high excitation are summarized. The models of
Schaerer (1996) and Schaerer & Vacca (1998) predict nebular HeII emission due
to hot WN and WC/WO stars, in good agreement with observations of Wolf-Rayet
(WR) galaxies showing WR signatures and/or nebular HeII. Comparisons of
synthesis models with observations suggest that nebular HeII emission may be
related to WR stars in all cases. The case of I Zw 18 is discussed. It is shown
that the observed WR lines and nebular HeII can be reproduced with an
instantaneous burst model and a Salpeter IMF. This supports the suggestion that
WR stars are responsible for nebular HeII emission.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 11:12:48 GMT""}]","2007-05-23"
"astro-ph/9812346","Eva Isaksson","K. Mattila, K. Lehtinen, D. Lemke","Detection of widely distributed UIR band emission in the disk of NGC 891","13 pages, 9 figures, 2 tables",,,,"astro-ph",,"  The spectrum of the unidentified infrared (UIR) emission bands between 5.9
and 11.7 [micro]m has been observed for the first time in the disk of an
external galaxy. We have used the low-resolution spectrometer of the ISOPHOT
instrument aboard ISO. The UIR bands at 6.2, 7.7 and 11.3 [micro]m have
absolute intensities which are similar to the values observed for the diffuse
emission of our own Galaxy. The UIR bands between 5.9 and 11.7 [micro]m
contribute ~9% of the total IR radiation of NGC 891. The intensity ratios and
band widths in the NGC 891 disk emissions are similar to the diffuse emission
of the Milky Way, pointing to a common carrier for the UIR bands in the two
galaxies. However, there are some notable variations of the band ratios along
the major axis of the galaxy.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 11:13:21 GMT""}]","2007-05-23"
"astro-ph/9812347","Daniel Schaerer","Daniel Schaerer (OMP, Toulouse), Thierry Contini (School of Physics &
  Astronomy, Tel Aviv Univ.; ESO), Maximilien Pindao (Geneva Obs.)","New catalogue of Wolf-Rayet galaxies and high-excitation extra-galactic
  HII regions","Accepted for publication in A&AS. LaTeX, 19 pages including 3 tables.
  Database and paper available at
  http://www.obs-mip.fr/omp/astro/people/schaerer/ (minor corrections to
  references)",,"10.1051/aas:1999197",,"astro-ph",,"  We present a new compilation of Wolf-Rayet (WR) galaxies and extra-galactic
HII regions showing BROAD HeII emission drawn from the literature. Relevant
information on the presence of other broad emission lines (NIII 4640, CIV 5808
and others) from WR stars of WN and WC subtypes, and other existing broad
nebular lines is provided. In total we include 139 known WR galaxies. Among
these, 57 objects show both broad HeII and CIV features. In addition to the
broad (stellar) HeII emission, a NEBULAR HeII component is well established
(suspected) in 44 (54) objects. We find 19 extra-galatic HII regions without WR
detections showing nebular HeII emission. The present sample can be used for a
variety of studies on massive stars, interactions of massive stars with the
ISM, stellar populations, starburst galaxies etc. The data is accessible
electronically and will be updated periodicaly.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 11:19:13 GMT""},{""version"":""v2"",""created"":""Tue, 2 Feb 1999 16:06:45 GMT""}]","2009-10-31"
"astro-ph/9812348","Andrzej Udalski","A. Udalski, I. Soszynski, M. Szymanski, M. Kubiak, G. Pietrzynski, P.
  Wozniak, and K. Zebrun","The Optical Gravitational Lensing Experiment. Eclipsing Binary Stars in
  the Small Magellanic Cloud","13 pages, 13 tables, 6 figures, Latex+psfig. Acta Astronomica 48, in
  press. Only Appendix A is attached. The remaining appendices are available
  electronically from the OGLE archive http://www.astrouw.edu.pl/~ftp/ogle or
  its US mirror http://www.astro.princeton.edu/~ogle/",,,,"astro-ph",,"  We present the catalog of 1459 eclipsing binary stars detected in the central
2.4 square degree area of the Small Magellanic Cloud during the OGLE-II
microlensing search. The sample includes objects brighter than I=20 mag with
periods ranging from about 0.3 to 250 days. The average completeness of the
catalog is about 80%. Statistics of the entire sample and well detached
systems, suitable for distance determination, are also presented.
  The catalog, finding charts and BVI photometry data for all objects are
available from the OGLE Internet archive.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 11:28:22 GMT""}]","2007-05-23"
"astro-ph/9812349","Lara Sidoli","L. Sidoli, S. Mereghetti, et al","Observations of the Galactic Center Region with Beppo-Sax","4 pages, 2 ps figures, epsfig.sty, to be published in Proc. of the
  Third INTEGRAL Workshop, ""The Extreme Universe"", Taormina 1998",,,,"astro-ph",,"  We are performing a survey of the Galactic Center region with the BeppoSAX
satellite. Several known point sources are visible (including one at the
position of SgrA*), as well as newly discovered sources and diffuse emission.
Here we report the preliminary results of the on-going analysis of both the
point sources and the diffuse X-ray emission.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 11:48:20 GMT""}]","2007-05-23"
"astro-ph/9812350","Krzysztof M. Gorski","K.M. Gorski, E. Hivon, B.D. Wandelt","Analysis Issues for Large CMB Data Sets","6 pages, 2 postscript figures, uses tp.sty, tp9.sty. To appear in
  Proceedings of the MPA/ESO Conferece on Evolution of Large-Scale Structure:
  from Recombination to Garching 2-7 August 1998; eds. A.J. Banday, R.K. Sheth
  and L. Da Costa",,,,"astro-ph",,"  Multi-frequency, high resolution, full sky measurements of the anisotropy in
both temperature and polarisation of the cosmic microwave background radiation
are the goals of the satellite missions MAP (NASA) and Planck (ESA). The
ultimate data products of these missions - multiple microwave sky maps, each of
which will have to comprise more than 10^6 pixels in order to render the
angular resolution of the instruments - will present serious challenges to
those involved in the analysis and scientific exploitation of the results of
both surveys. Some considerations of the relevant aspects of the mathematical
structure of future CMB data sets are presented in this contribution. >>> for
better on-screen rendition of the figures see <<< http://www.tac.dk/~healpix or
http://www.mpa-garching.mpg.de/~cosmo/contributions.html
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 11:52:20 GMT""}]","2007-05-23"
"astro-ph/9812351","Mike Goad","M.R. Goad, A.P. Koratkar, D.J. Axon, K.T. Korista, and P.T. O'Brien","On the absence of broad MgII emission-line variability in NGC 3516
  during 1996","12 pages, 3 figures, accepted for publication in ApJ Letters",,"10.1086/311884",,"astro-ph",,"  During the 1996 HST/FOS monitoring campaign of the Seyfert 1 galaxy NGC 3516,
the UV continuum showed a factor of 5 variation; correspondingly the strongest
broad UV emission lines (e.g. Ly-alpha, CIV) displayed somewhat weaker, though
still significant variations (a factor of 2). In contrast, no variation was
detected in the strong broad MgII+UV FeII emission-line complex. While
historically the flux in the broad MgII emission line has varied (a factor of 2
within a few years), the profile shape has not been observed to change over the
past decade. In contrast, the high ionization lines (HILs) show both
emission-line flux and profile changes on relatively short timescales, which
appear to be correlated with changes in the continuum level. Significantly, on
1996, February 21, the profile shapes of the HILs (e.g. Ly-alpha, CIV) and low
ionization lines (LILs, e.g. MgII) were identical, at which time the continuum
level was at its highest. These results impose stringent constraints upon
viable kinematic models of the BLR in NGC 3516, some of which we discuss below.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 12:14:14 GMT""}]","2009-10-31"
"astro-ph/9812352","Jesper Sommer-Larsen","Jesper Sommer-Larsen","Kinematics and Dynamics of the Galactic Stellar Halo","10 pages incl. 3 figures (Kluwer Proceedings format). Invited review
  at ""Les Rencontres De L'Observatoire, Meudon"" 21-25 Sept. 1998 -- Galaxy
  evolution: Connecting the distant Universe with the local fossil record","Astrophys.Space Sci. 265 (1999) 123-131","10.1023/A:1002114216496",,"astro-ph",,"  The structure, kinematics and dynamics of the Galactic stellar halo are
reviewed including evidence of substructure in the spatial distribution and
kinematics of halo stars. Implications for galaxy formation theory are
subsequently discussed; in particular it is argued that the observed kinematics
of stars in the outer Galactic halo can be used as an important constraint on
viable galaxy formation scenarios.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 12:53:35 GMT""}]","2009-10-31"
"astro-ph/9812353","Renato Falomo","R. Falomo, C. Megan Urry, Riccardo Scarpa, Joseph E. Pesce, Aldo
  Treves","HST snapshot imaging of BL Lac objects","6 pages","BL Lac Phenomenon,Turku 1998, PASP conf. series",,,"astro-ph",,"  Snapshot images of about 100 BL Lac objects were obtained with WFPC2 on HST.
Sources from various samples, in the redshift range 0.05 to 1.2, were observed
and 61 resolved (51 with known z).
  The high resolution and homogeneity of the images allow us to address the
properties of the immediate environments of BL Lacs with unprecedented
capability. Host galaxies of BL Lacs are luminous ellipticals (on average 1 mag
brighter than L*) with no or little disturbed morphology.
  The nucleus, that is always well centered onto the galaxy, contributes in the
optical (R band) to about half of the total luminosity of the object (range of
the contribution from 0.1 to 10). The undisturbed morphology suggests that the
nuclear activity has marginal effect on the overall properties of the hosts.
Nonetheless several examples of close companions have been detected.
  The luminosity distribution of host galaxies is compared with that of a large
sample of FR-I radio galaxies.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:55:36 GMT""}]","2016-08-30"
"astro-ph/9812354","Kanaris Tsinganos","N. Vlahakis and K. Tsinganos","Systematic construction of exact MHD models for astrophysical winds and
  jets","13 pages, 11 figures","Mon. Not. R. Astron. Soc., 298, 777 - 789, 1998","10.1046/j.1365-8711.1998.01660.x",,"astro-ph",,"  By a systematic method we construct general classes of exact and
selfconsistent axisymmetric MHD solutions describing flows which originate at
the near environment of a central gravitating astrophysical object. The
unifying scheme contains two large groups of exact MHD outflow models, (I)
meridionally self-similar ones with spherical critical surfaces and (II)
radially self-similar models with conical critical surfaces. The classification
includes known polytropic models, such as the classical Park er model of a
stellar wind and the Blandford and Payne (1982) model of a disk-wind; it also
contains nonpolytropic models, such as those of winds/jets in Sauty and
Tsinganos (1994), Lima et al (1996) and Trussoni et al (1997). Besides the
unification of these known cases under a common scheme, several new classes
emerge and some are briefly analysed; they could be explored for a further
understanding of the physical properties of MHD outflows from various
magnetized and rotating astrophysical objects in stellar or galactic systems.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 15:30:24 GMT""}]","2009-10-31"
