"adap-org/9807004","Makoto Taiji","Makoto Taiji and Takashi Ikegami","Dynamics of Internal Models in Game Players","19 pages, 6 figures",,"10.1016/S0167-2789(99)00115-3","ISM-98-01","adap-org nlin.AO",,"  A new approach for the study of social games and communications is proposed.
Games are simulated between cognitive players who build the opponent's internal
model and decide their next strategy from predictions based on the model. In
this paper, internal models are constructed by the recurrent neural network
(RNN), and the iterated prisoner's dilemma game is performed. The RNN allows us
to express the internal model in a geometrical shape. The complicated
transients of actions are observed before the stable mutually defecting
equilibrium is reached. During the transients, the model shape also becomes
complicated and often experiences chaotic changes. These new chaotic dynamics
of internal models reflect the dynamical and high-dimensional rugged landscape
of the internal model space.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:12:03 GMT""}]","2009-10-30"
"astro-ph/9807239","Makoto Makita","Takuya Matsuda (1), Makoto Makita (1), Hiroshi Yukawa (1), Henri M.J.
  Boffin (2) ((1) Kobe University, (2) University of Wales, Cardiff)","Spiral Structure in IP Peg: Confronting Theory and Observations","4 pages, LaTeX with 2 ps figures using crckapb.sty. To appear in the
  Proceedings of Numerical Astrophysics 1998, Tokyo, Japan, 10-13 March, 1998,
  eds. S. M. Miyama, K. Tomisaka and T. Hanawa (Kluwer Academic Publishers)",,"10.1007/978-94-011-4780-4_64",,"astro-ph",,"  The first convincing piece of evidence of spiral structure in the accretion
disc in IP Pegasi was found by Steeghs et al. (1997). We performed two kinds of
2D hydrodynamic simulations, a SFS finite volume scheme and a SPH scheme, with
a mass ratio of 0.5. Both results agreed well with each other. We constructed
Doppler maps and line flux-binary phase relations based on density
distributions, the results agreeing well with those obtained by observation.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 11:38:20 GMT""},{""version"":""v2"",""created"":""Thu, 13 Aug 1998 12:26:57 GMT""}]","2016-01-27"
"astro-ph/9807240","Scott T. Kay","Scott T. Kay and Richard G. Bower (University of Durham)","Measuring \Omega_0 from the Entropy Evolution of Clusters","14 pages including 5 figures; accepted for publication in MNRAS",,"10.1046/j.1365-8711.1999.02745.x","stk_paper1_1998","astro-ph",,"  In this paper, we have extended the entropy-driven model of cluster evolution
developed by Bower (1997) in order to be able to predict the evolution of
galaxy clusters for a range of cosmological scenarios. We have applied this
model to recent measurements of the evolution of the L_x-T normalisation and
X-ray luminosity function in order to place constraints on cosmological
parameters. We find that these measurements alone do not select a particular
cosmological frame-work. An additional constraint is required on the effective
slope of the power spectrum to break the degeneracy that exists between this
and the background cosmology. We have therefore included a theoretical
calculation of the \Omega_0 dependence on the power spectrum, based on the cold
dark matter paradigm, which infers \Omega_0<0.55 (0.1<\Omega_0<0.7 for
\Omega_0+\Lambda_0=1), at the 95% confidence level. Alternatively, an
independent measurement of the slope of the power spectrum from galaxy
clustering requires \Omega_0<0.6 (\Omega_0<0.65 for \Omega_0+\Lambda_0=1),
again to 95% confidence. The rate of entropy evolution is insensitive to the
values of \Omega_0 considered, although is sensitive to changes in the
distribution of the intracluster medium.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 14:49:57 GMT""},{""version"":""v2"",""created"":""Tue, 13 Apr 1999 11:40:46 GMT""}]","2009-10-30"
"astro-ph/9807241","Tomasz Plewa","Tomasz Plewa and Ewald Mueller (MPA, Garching)","The Consistent Multi-fluid Advection method","Accepted for publication in A&A, Main Journal. Revised version: typos
  and modified discussion. No figures available in this version; a complete
  distribution can be downloaded from
  http://www.camk.edu.pl/~tomek/papers/cma.uu",,,,"astro-ph",,"  Simple modifications for higher-order Godunov-type difference schemes are
presented which allow for accurate advection of multi-fluid flows in
hydrodynamic simulations. The constraint that the sum of all mass fractions has
to be equal to one in every computational zone throughout the simulation is
fulfilled by renormalizing the mass fractions during the advection step. The
proposed modification is appropriate for any difference scheme written in
conservation form. Unlike other commonly used methods it does not violate the
conservative character of the advection method. A new steepening mechanism,
which is based on modification of interpolation profiles, is used to reduce
numerical diffusion across composition discontinuities. Additional procedures
are described, which are necessary to enforce monotonicity. Several numerical
experiments are presented which demonstrate the capability of our Consistent
Multi-fluid Advection (CMA) method in case of smooth and discontinuous
distributions of fluid phases and under different hydrodynamic conditions. It
is shown that due to the reduced diffusivity of the proposed scheme the
abundance of some heavy elements obtained from hydrodynamic simulations of type
II supernova explosions can change by a factor of a few in the most extreme
cases.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 14:53:15 GMT""},{""version"":""v2"",""created"":""Mon, 16 Nov 1998 18:18:13 GMT""}]","2009-09-25"
"astro-ph/9807242","Pieter G. van Dokkum","Pieter G. van Dokkum, Marijn Franx, Daniel D. Kelson, and Garth D.
  Illingworth","Luminosity Evolution of Early-type Galaxies to z=0.83: Constraints on
  Formation Epoch and Omega","To be published in ApJ Letters, Volume 504, September 1, 1998. 5
  pages, 4 figures","Astrophys.J.504:L17,1998","10.1086/311567",,"astro-ph",,"  We present deep spectroscopy with the Keck telescope of eight galaxies in the
luminous X-ray cluster MS1054-03 at z=0.83. The data are combined with imaging
observations from the Hubble Space Telescope (HST). The spectroscopic data are
used to measure the internal kinematics of the galaxies, and the HST data to
measure their structural parameters. Six galaxies have early-type spectra, and
two have ""E+A"" spectra. The galaxies with early-type spectra define a tight
Fundamental Plane (FP) relation. The evolution of the mass-to-light ratio is
derived from the FP. The M/L ratio evolves as \Delta log M/L_B \propto -0.40 z
(Omega_m=0.3, Omega_Lambda=0). The observed evolution of the M/L ratio provides
a combined constraint on the formation redshift of the stars, the IMF, and
cosmological parameters. For a Salpeter IMF (x=2.35) we find that z_form>2.8
and Omega_m<0.86 with 95% confidence. The constraint on the formation redshift
is weaker if Omega_Lambda>0: z_form>1.7 if Omega_m=0.3 and Omega_Lambda=0.7. At
present the limiting factor in constraining z_form and Omega from the observed
luminosity evolution of early-type galaxies is the poor understanding of the
IMF. We find that if Omega_m=1 the IMF must be significantly steeper than the
Salpeter IMF (x>2.6).
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 15:10:28 GMT""}]","2009-10-30"
"cmp-lg/9807011","Adwait Ratnaparkhi","Adwait Ratnaparkhi (University of Pennsylvania)","Statistical Models for Unsupervised Prepositional Phrase Attachment","uses colacl.sty","Proceedings of the 17th International Conference on Computational
  Linguistics (COLING-ACL '98)",,,"cmp-lg cs.CL",,"  We present several unsupervised statistical models for the prepositional
phrase attachment task that approach the accuracy of the best supervised
methods for this task. Our unsupervised approach uses a heuristic based on
attachment proximity and trains from raw text that is annotated with only
part-of-speech tags and morphological base forms, as opposed to attachment
information. It is therefore less resource-intensive and more portable than
previous corpus-based algorithms proposed for this task. We present results for
prepositional phrase attachment in both English and Spanish.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 22:05:04 GMT""}]","2007-05-23"
"cond-mat/9807291","Eugene Pivovarov","Eugene Pivovarov","Hubbard model with SU(4) symmetry","8 pages, 2 figures, REVTeX, AMSFonts",,,"CALT-68-2187","cond-mat.supr-con cond-mat.str-el",,"  In the model considered, the nonlocal interaction of the fermions in
different sublattices of a bipartite lattice is introduced. It can also be
regarded as local interaction of fermions with opposite ``hypercharge''. The
corresponding term in the Hamiltonian is SU(4)-invariant and appears to be the
most tractable version of the SO(5)-invariant model that unifies
antiferromagnetic and d-wave superconducting order parameters. The model has
been studied primarily in the weak interaction limit and in the mean field
approximation. Near the half-filling the antiferromagnetic critical temperature
has a peak. However, the superconducting transition takes place when the Fermi
surface crosses the area where the density of states is of order of inverse
coupling coefficient. Thus, in mean-field approximation, there exist an
interval of values of the chemical potential, for which the system is a
superconductor for arbitrary high temperatures. The temperature dependence of
specific heat, Hall coefficient, and DC conductivity in the normal phase agrees
with that experimentally observed in high-$T_c$ cuprates.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 00:13:00 GMT""}]","2007-05-23"
"cond-mat/9807306","Imry Yosef","Yoseph Imry (Weizmann Institute of Science)","Mesoscopic Physics and the Fundamentals of Quantum Mechanics","25 pages 3 eps figures",,"10.1238/Physica.Topical.076a00171",,"cond-mat",,"  We start by reviewing some interesting results in mesoscopic physics
illustrating nontrivial insights on Quantum Mechanics. We then review the
general principles of dephasing (sometimes called ""decoherence"") of
Quantum-Mechanical interference by coupling to the environment degrees of
freedom. A particular recent example of dephasing by a current-carrying
(nonequilibrium) system is then discussed in some detail. This system is itself
a manifestly Quantum Mechanical one and this is another illustration of
detection without the need for ""classical observers"" etc. We conclude by
describing briefly a recent problem having to do with the orbital magnetic
response of conduction electrons (another manifestly Quantum Mechanical
property): The magnetic response of a normal layer (N) coating a
superconducting cylinder (S). Some recent very intriguing experimental results
on a giant paramagnetic component of this response are explained using special
states in the normal layer. It is hoped that these discussions illustrate not
only the vitality and interest of mesoscopic physics\cite{book} but also its
extreme relevance to fundamental issues in Quantum Mechanics.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 16:11:42 GMT""}]","2009-10-31"
"cond-mat/9807307","Serguei N. Dorogovtsev","S. N. Dorogovtsev (Ioffe Physico-Technical Institute, St. Petersburg,
  Russia)","Avalanche mixing of granular solids in a rotating 2D drum and discrete
  mapping","11 pages (epsf-LaTeX) and 8 EPS figures",,,,"cond-mat chao-dyn math-ph math.MP nlin.CD nlin.PS patt-sol",,"  Evolution of mixing of granular solids in a slowly rotated 2D drum is
considered as a discrete mapping. The rotation is around the axis of the
upright drum which is filled partially, and the mixing occurs only at a free
surface of a material. The most simple cases that demonstrate clearly the
essence of such a type of mixing are studied analytically. We calculate the
characteristic time of the mixing and the distribution of the mixed material
over the drum.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 17:19:36 GMT""}]","2007-05-23"
"cond-mat/9807308","R. Torsten Clay","S. Mazumdar, S. Ramasesha, R.T. Clay, D.K. Campbell","Theory of Coexisting Charge and Spin-Density Waves in (TMTTF)_2Br,
  (TMTSF)_2PF_6 and alpha-(BEDT-TTF)_2MHg(SCN)_4","5 pages, 4 EPS figures","Phys. Rev. Lett. 82, 1522 (1999)","10.1103/PhysRevLett.82.1522",,"cond-mat.str-el",,"  Recent experiments indicate that the spin-density waves (SDWs) in
(TMTTF)_2Br, (TMTSF)_2PF_6 and alpha-(BEDT-TTF)_2MHg(SCN)_4 are highly
unconventional and coexist with charge-density waves (CDWs). We present a
microscopic theory of this unusual CDW-SDW coexistence.
  A complete understanding requires the explicit inclusion of strong Coulomb
interactions, lattice discreteness, the anisotropic two-dimensional nature of
the lattice, and the correct bandfilling within the starting Hamiltonian.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 20:59:40 GMT""}]","2016-08-31"
"cond-mat/9807309","Rajeev Ahluwalia","Rajeev Ahluwalia","Phase Separation in a Simple Model with Dynamical Asymmetry","16 pages in LaTeX format and 6 Postscript figures",,"10.1103/PhysRevE.59.263",,"cond-mat.soft",,"  We perform computer simulations of a Cahn-Hilliard model of phase separation
which has dynamical asymmetry between the two coexisting phases. The dynamical
asymmetry is incorporated by considering a mobility function which is order
parameter dependent. Simulations of this model reveal morphological features
similar to those observed in viscoelastic phase separation. In the early
stages, the minority phase domains form a percolating structure which shrinks
with time eventually leading to the formation of disconnected domains. The
domains grow as L(t) ~ t^{1/3} in the very late stages. Although dynamical
scaling is violated in the area shrinking regime, it is restored at late times.
However, the form of the scaling function is found to depend on the extent of
dynamical asymmetry.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 18:33:24 GMT""}]","2009-10-31"
"cond-mat/9807310","Kok-Kiong Loh","Kok-Kiong Loh and Joseph Rudnick (UCLA Physics Department)","Textures and the shapes of domains in Langmuir monolayers","replaced with publised version, 4 pages, 5 figures included","Phys. Rev. Letts. 81, 4935-4938 (1998)","10.1103/PhysRevLett.81.4935",,"cond-mat.soft",,"  Two-dimensional domains containing an XY-like order parameter exhibit
non-trivial internal structure and take on shapes controlled by the
configuration that the order parameter adopts. The textures exhibited by the
order parameter in such domains are controlled by the interplay between bulk
and surface contributions to the energy. We report calculations of the internal
texture and the shape of such domains. These calculations lead to the
determination of the equilibrium properties of two-dimensional domains, such as
those observed in Langmuir monolayers. This allows for the unambiguous
exploration of the implications of experimental findings.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 21:04:34 GMT""},{""version"":""v2"",""created"":""Mon, 29 Mar 1999 23:26:50 GMT""}]","2009-10-31"
"cond-mat/9807311","S. M. Cronenwett","S. M. Cronenwett, S. M. Maurer, S. R. Patel, C. M. Marcus, C. I.
  Duruoz, J. S. Harris","Mesoscopic Coulomb Blockade in One-channel Quantum Dots","12 pages, including 4 figures",,"10.1103/PhysRevLett.81.5904",,"cond-mat.mes-hall",,"  Signatures of ""mesoscopic Coulomb blockade"" are reported for quantum dots
with one fully transmitting point-contact lead, T1 = 1, T2 << 1. Unlike Coulomb
blockade (CB) in weak-tunneling devices (T1, T2 << 1), one-channel CB is a
mesoscopic effect requiring quantum coherence. Several distinctive features of
mesoscopic CB are observed, including a reduction in CB upon breaking
time-reversal symmetry with a magnetic field, relatively large fluctuations of
peak position as a function of magnetic field, and strong temperature
dependence on the scale of the quantum level spacing.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 21:51:39 GMT""}]","2009-10-31"
